formula,actual,predicted,elements,residual
Ag2O,0.12333333333333335,0.12148002993899175,Ag O,0.0018533033943416016
AgIn9Te14,1.95,2.1167406270567977,Ag In Te,-0.1667406270567977
AgInS2,2.46,2.5519611210291355,Ag In S,-0.09196112102913556
AgInTe2,1.5,1.5575083506898275,Ag In Te,-0.05750835068982753
AgAlTe2,0.035,0.12794920015411826,Ag Al Te,-0.09294920015411827
Ag4Ba6Sn4S16,1.5,1.1631825832846785,Ag Ba Sn S,0.3368174167153215
AgIn5S8,0.88,0.9391234089073901,Ag In S,-0.059123408907389985
Cs2AgBiBr6,0.3,0.3732115819478263,Cs Ag Bi Br,-0.07321158194782629
AgSbTe2,2.85,2.65306586078472,Ag Sb Te,0.1969341392152799
AgF,1.65,2.098728976830669,Ag F,-0.4487289768306693
Ag2S,3.89,3.822953103621243,Ag S,0.06704689637875694
Ag0.4Cd0.5In2.2Te4,5.743333333333332,4.193137182375777,Ag Cd In Te,1.5501961509575557
Ag2Ga2SiS6,1.8,1.1839125020933905,Ag Ga Si S,0.6160874979066095
AgInO2,2.385,2.825428561285888,Ag In O,-0.44042856128588825
Ag2.7Ba6Sn4.3S16,6.89,6.469611942062754,Ag Ba Sn S,0.4203880579372461
RbAg2SbS4,1.8733333333333333,1.2147035341651513,Rb Ag Sb S,0.658629799168182
AgAsTe2,1.9,2.791056226907441,Ag As Te,-0.8910562269074411
AgS,0.8,0.8204615854012598,Ag S,-0.020461585401259752
Ba2AgInS4,2.81,2.969821610342533,Ba Ag In S,-0.15982161034253295
Ag2ZnSiS4,2.12,1.7805117445853096,Ag Zn Si S,0.3394882554146905
Ag0.5Pb1.75GeS4,1.45,2.069192705987005,Ag Pb Ge S,-0.619192705987005
AgGaTe2,2.12,1.8739979276843128,Ag Ga Te,0.2460020723156873
RbAg2TeS6,0.59,1.0911350528442352,Rb Ag Te S,-0.5011350528442352
Cs4Ag9Sb4S12,1.5,2.225638301139268,Cs Ag Sb S,-0.7256383011392682
KAg2SbS4,2.25,2.1454519502427143,K Ag Sb S,0.10454804975728572
AgTlSe2,2.347,2.3858426033492304,Ag Tl Se,-0.0388426033492304
AgGaSiSe4,0.95,1.476030653701029,Ag Ga Si Se,-0.5260306537010291
Cs2TiAg2S4,9.33,8.681608227234673,Cs Ti Ag S,0.6483917727653274
K2Ag3Sb3S7,1.625,2.0334769649127207,K Ag Sb S,-0.4084769649127207
