formula,actual,predicted,elements,residual
AgAlTe2,0.035,0.12794920015411826,"['Ag', 'Al', 'Te']",-0.09294920015411827
AlN,6.89,6.0333433634242475,"['Al', 'N']",0.8566566365757513
BaAl4Se7,4.76,4.709375624965216,"['Ba', 'Al', 'Se']",0.05062437503478368
In0.6Al0.4P,0.365,0.7494998955984595,"['In', 'Al', 'P']",-0.3844998955984595
Ga0.5Al0.5As,2.23,2.0809642053810062,"['Ga', 'Al', 'As']",0.14903579461899374
In0.99Al0.01P,2.64,3.0657955271629467,"['In', 'Al', 'P']",-0.42579552716294655
Li6Al2Te8O22,0.23666666666666664,0.36535909762574015,"['Li', 'Al', 'Te', 'O']",-0.1286924309590735
Cs2Al2B2O7,1.56,1.5198025455985071,"['Cs', 'Al', 'B', 'O']",0.040197454401492916
Ga0.01Al0.99P,1.1,0.5856755967900797,"['Ga', 'Al', 'P']",0.5143244032099203
Ba8Al10B12O41,4.76,4.232035162619239,"['Ba', 'Al', 'B', 'O']",0.5279648373807609
AlVTe2O8,3.78,4.3709092742379285,"['Al', 'V', 'Te', 'O']",-0.5909092742379287
CuAlSe2,0.24,0.4074071728028601,"['Cu', 'Al', 'Se']",-0.1674071728028601
Ga0.25Al0.75As,1.86,2.67678398406108,"['Ga', 'Al', 'As']",-0.8167839840610799
NaAlGeS4,1.03,1.5953399685977327,"['Na', 'Al', 'Ge', 'S']",-0.5653399685977327
In0.8Al0.2P,6.4433333333333325,6.262782045703733,"['In', 'Al', 'P']",0.1805512876295996
Ga0.85Al0.15As,2.0,1.826215517753087,"['Ga', 'Al', 'As']",0.17378448224691298
Al2S3,2.0,2.0211221549480345,"['Al', 'S']",-0.021122154948034492
AgAlO2,0.2695,0.4685795710379521,"['Ag', 'Al', 'O']",-0.1990795710379521
Ga0.7Al0.3As,2.54,2.349350999233496,"['Ga', 'Al', 'As']",0.19064900076650385
Cd0.01Te0.01Al0.99Sb0.99,3.68,3.6939110345344255,"['Cd', 'Te', 'Al', 'Sb']",-0.013911034534426214
Li4.5Al0.5TeO6,0.7833333333333332,0.784428830826772,"['Li', 'Al', 'Te', 'O']",-0.0010954974934387351
Ga0.4Al0.6As,2.79,3.642497629952585,"['Ga', 'Al', 'As']",-0.8524976299525853
CuAlS2,0.46,0.6071570740845242,"['Cu', 'Al', 'S']",-0.14715707408452422
Rb3Al3Ge7S20,1.37,1.2996579012565077,"['Rb', 'Al', 'Ge', 'S']",0.0703420987434924
Cd0.9Te0.9Al0.1Sb0.1,3.47,4.4357002595580015,"['Cd', 'Te', 'Al', 'Sb']",-0.9657002595580012
AgAlSe2,0.28,0.3304805245283671,"['Ag', 'Al', 'Se']",-0.0504805245283671
In0.4Al0.6P,1.71,1.988133574430376,"['In', 'Al', 'P']",-0.2781335744303761
AlB12,4.3,4.2178111815128405,"['Al', 'B']",0.08218881848715931
LiAlB14,2.83,2.527905670031825,"['Li', 'Al', 'B']",0.3020943299681749
KAlGeS4,2.35,2.3978268368492452,"['K', 'Al', 'Ge', 'S']",-0.04782683684924472
Sm3Al0.33SiS7,0.35,0.41915821480132376,"['Sm', 'Al', 'Si', 'S']",-0.06915821480132378
In0.01Al0.99P,4.85,4.191724699603337,"['In', 'Al', 'P']",0.6582753003966628
EuAl2O4,0.48,0.36793553202478346,"['Eu', 'Al', 'O']",0.11206446797521652
Cd0.95Te0.95Al0.05Sb0.05,2.0,2.3569465391120543,"['Cd', 'Te', 'Al', 'Sb']",-0.3569465391120543
Al2Te3,0.3967857142857144,0.2232909036788744,"['Al', 'Te']",0.17349481060684002
Na8Al8Si38,1.0,0.7989369816172901,"['Na', 'Al', 'Si']",0.2010630183827099
Ga0.8Al0.2P,2.48,2.308761379663567,"['Ga', 'Al', 'P']",0.1712386203364331
AlP,0.67,0.7516559041926332,"['Al', 'P']",-0.08165590419263312
Li3AlP2,1.0699999999999998,1.0303088934918367,"['Li', 'Al', 'P']",0.0396911065081631
Ga0.6Al0.4P,1.91,2.438637659364604,"['Ga', 'Al', 'P']",-0.5286376593646043
Rb3Al3Ge7Se20,0.495,2.6976951498413246,"['Rb', 'Al', 'Ge', 'Se']",-2.2026951498413245
K8Al8Si38,3.1,3.258015841959791,"['K', 'Al', 'Si']",-0.158015841959791
Ga0.99Al0.01P,3.44,2.473478114895004,"['Ga', 'Al', 'P']",0.9665218851049956
K2Al2B2O7,2.374,2.229447764137591,"['K', 'Al', 'B', 'O']",0.14455223586240915
AlSb,2.48,2.7163926403758167,"['Al', 'Sb']",-0.23639264037581675
Al0.74Gd3Si0.7S7,3.85,3.628179250228344,"['Al', 'Gd', 'Si', 'S']",0.22182074977165644
Al2Se3,0.28,0.3363558523091559,"['Al', 'Se']",-0.05635585230915585
MnAl3,2.0,2.022157509953944,"['Mn', 'Al']",-0.022157509953943944
In0.9Al0.1P,0.6,0.8467106121825783,"['In', 'Al', 'P']",-0.2467106121825783
Ba6Al4B14O33,2.24,2.3092946674786834,"['Ba', 'Al', 'B', 'O']",-0.06929466747868318
Tb4Al2O9,3.125,3.0274681102881846,"['Tb', 'Al', 'O']",0.09753188971181537
AgAlS2,3.13,3.1297669807636868,"['Ag', 'Al', 'S']",0.00023301923631313667
AlBi,0.4,0.8022926447390508,"['Al', 'Bi']",-0.4022926447390508
Cd0.55Te0.55Al0.45Sb0.45,1.93,1.5651057032667346,"['Cd', 'Te', 'Al', 'Sb']",0.3648942967332653
Cd0.6Te0.6Al0.4Sb0.4,1.8,1.5135840559624647,"['Cd', 'Te', 'Al', 'Sb']",0.2864159440375353
Cd0.99Te0.99Al0.01Sb0.01,1.6,1.2460543703884035,"['Cd', 'Te', 'Al', 'Sb']",0.3539456296115966
CuAlTe2,2.06,1.5976683513212568,"['Cu', 'Al', 'Te']",0.4623316486787432
Dy3Al0.5SiS7,2.22,2.6283851275105654,"['Dy', 'Al', 'Si', 'S']",-0.4083851275105652
Ga0.2Al0.8P,2.43,2.7139070163884718,"['Ga', 'Al', 'P']",-0.28390701638847204
Ga0.4Al0.6P,2.4,2.568929913823464,"['Ga', 'Al', 'P']",-0.1689299138234639
Ga0.65Al0.35As,2.0,1.764400414259196,"['Ga', 'Al', 'As']",0.235599585740804
In0.3Al0.7P,2.3,2.2947234908775123,"['In', 'Al', 'P']",0.00527650912248756
In0.5Al0.5P,2.35,2.035754880665248,"['In', 'Al', 'P']",0.314245119334752
In0.7Al0.3P,1.9,1.787230201037314,"['In', 'Al', 'P']",0.11276979896268592
