formula,actual,predicted,elements,residual
Bi2AsO4Cl,0.71,0.634256800507897,Bi As O Cl,0.07574319949210295
Bi3F3I4O13,1.9,1.1475902682879546,Bi F I O,0.7524097317120453
Cs2AgBiBr6,0.3,0.3732115819478263,Cs Ag Bi Br,-0.07321158194782629
Bi25FeO39,0.64,1.5678557356127367,Bi Fe O,-0.9278557356127368
K9Bi13S24,4.68,3.992275389231677,K Bi S,0.6877246107683228
Ba2GaBiSe5,6.975,6.1908529959476635,Ba Ga Bi Se,0.7841470040523353
Cd3BiP3O12,1.84,1.8349027478148496,Cd Bi P O,0.005097252185150447
Pb2BiS2I3,0.4866666666666666,0.9323888169447212,Pb Bi S I,-0.4457221502780546
Bi7F11O5,3.6,2.1144769045513083,Bi F O,1.4855230954486918
Bi2Te1.2Se1.8,5.42,5.006009921789568,Bi Te Se,0.413990078210432
BiOCl,1.96,1.7334248448814815,Bi O Cl,0.22657515511851845
BiSBr,10.3,11.995721703415267,Bi S Br,-1.6957217034152663
Bi2I4O13,0.66,0.9004774504323603,Bi I O,-0.24047745043236024
Cs3Bi2I9,1.2,1.1610891364356617,Cs Bi I,0.03891086356433826
Bi1.6Te3Sb0.4,2.2,2.3826416697831103,Bi Te Sb,-0.18264166978311014
ErBiW2O9,2.9,2.5667432029642594,Er Bi W O,0.3332567970357405
BiI3,1.45,1.4895983611790748,Bi I,-0.039598361179074885
Sr2Bi5.42La2.58S14,0.7,0.7682986146307922,Sr Bi La S,-0.06829861463079223
RbBiSe2,4.0,3.6028276998313498,Rb Bi Se,0.39717230016865024
Ca4Bi6O13,1.4,0.9777963395482896,Ca Bi O,0.4222036604517103
Bi2YVO8,0.9,0.6532448731812774,Bi Y V O,0.2467551268187225
Bi24VO41,2.25,1.8858095324717947,Bi V O,0.3641904675282053
BiFeSe3O9,0.16499999999999998,0.15013748934231064,Bi Fe Se O,0.014862510657689345
Sn2BiS2I3,1.5,0.8013587695963595,Sn Bi S I,0.6986412304036405
KRbBi8Se13,3.0,2.909904188939177,K Rb Bi Se,0.0900958110608232
Cd3Bi2,0.28,0.1923536315109944,Cd Bi,0.08764636848900563
Bi2Mo2Se2O13,0.32,0.3360274253333815,Bi Mo Se O,-0.016027425333381473
Bi24BO39,0.31,0.6686604257240818,Bi B O,-0.3586604257240818
Bi6Cu3S10I,0.22,0.11509768976091285,Bi Cu S I,0.10490231023908717
RbBi3Se4Te,0.5,0.6577812970917849,Rb Bi Se Te,-0.1577812970917849
BiSeI,0.28,0.23370994349809585,Bi Se I,0.04629005650190418
EuBiW2O9,0.07500000000000001,0.3535910549372234,Eu Bi W O,-0.2785910549372234
BiPO4,3.27,4.2694886389484425,Bi P O,-0.9994886389484424
BaBiO2Cl,1.63,2.3878066103898417,Ba Bi O Cl,-0.7578066103898418
BiTeI,3.7,3.43922911748322,Bi Te I,0.26077088251678004
PbBiBO4,1.38,1.9272265226664704,Pb Bi B O,-0.5472265226664705
CsBi3Se5,0.73,0.6329944422081129,Cs Bi Se,0.09700555779188713
BiOI,7.3,6.591026060696348,Bi O I,0.708973939303652
Cs3Bi2Br9,1.319,0.8381426658050142,Cs Bi Br,0.4808573341949858
Bi2Te3,4.8599999999999985,4.462197302246215,Bi Te,0.39780269775378496
EuBi2Se4,0.16,0.3839176767167256,Eu Bi Se,-0.2239176767167256
Pb3BiV3O12,0.21,0.2473494019353151,Pb Bi V O,-0.03734940193531512
Bi2Te0.9Se2.1,1.66,1.1125590900190672,Bi Te Se,0.5474409099809328
Bi14.7In11.3S38,0.9,0.8838353026290573,Bi In S,0.016164697370942727
Bi12SiO20,4.35,4.170361482876109,Bi Si O,0.179638517123891
EuBi2Te4,2.64,2.023143033488997,Eu Bi Te,0.6168569665110031
CeBiW2O9,0.6,0.5463224709301411,Ce Bi W O,0.0536775290698589
Ba2BiInS5,1.6900000000000002,2.190820493471312,Ba Bi In S,-0.5008204934713116
Bi3Se2NO11,2.06,2.0244341699289574,Bi Se N O,0.03556583007104264
Ba3Sn0.87Bi2.13Se8,4.9,3.2141210759085705,Ba Sn Bi Se,1.6858789240914298
Pb0.8Se0.8Bi0.4Te0.6,0.51,1.212334645901711,Pb Se Bi Te,-0.702334645901711
CuPbBiSe3,2.6,2.4932283207535364,Cu Pb Bi Se,0.10677167924646368
Bi1.4Te3Sb0.6,2.625,2.4955010376578795,Bi Te Sb,0.12949896234212055
AgPbBiSe3,0.8,0.9286625054522286,Ag Pb Bi Se,-0.12866250545222854
BiSb0.15,4.0,3.7615836373991733,Bi Sb,0.2384163626008271
CsBi2,2.78,2.723673095572667,Cs Bi,0.0563269044273329
Bi4PdSe4O12,0.7782533333333334,0.7924688651341851,Bi Pd Se O,-0.014215531800851776
CaBi2O4,1.51,3.0361149893443438,Ca Bi O,-1.5261149893443442
Bi0.4Te3Sb1.6,0.8,1.1169217629155694,Bi Te Sb,-0.3169217629155694
Eu3Bi4S9,2.48,3.0422192897374774,Eu Bi S,-0.5622192897374774
KBiCu2S3,1.89,2.2771857423152992,K Bi Cu S,-0.38718574231529934
LiBi4Nb3O12,1.0,1.0203714801080137,Li Bi Nb O,-0.020371480108013703
BiOBr,2.5,2.380377931029943,Bi O Br,0.1196220689700569
Cs2AgBiCl6,0.28,0.3374382735737411,Cs Ag Bi Cl,-0.05743827357374109
CsBiSe2,1.02,2.214980430761062,Cs Bi Se,-1.194980430761062
