formula,actual,predicted,elements,residual
InSb2Se4Br,2.4,1.569479618209639,'In' 'Sb' 'Se' 'Br',0.8305203817903608
Cs2AgBiBr6,0.3,0.3732115819478263,'Cs' 'Ag' 'Bi' 'Br',-0.07321158194782629
TlHg6S4Br5,1.2733333333333334,1.446571536742196,'Tl' 'Hg' 'S' 'Br',-0.17323820340886265
PbSbO2Br,2.35,2.4258917468326877,'Pb' 'Sb' 'O' 'Br',-0.07589174683268762
In4As5O12Br3,1.2,1.2066564204536103,'In' 'As' 'O' 'Br',-0.006656420453610368
HgBrCl,3.3,2.9533349022233875,'Hg' 'Br' 'Cl',0.3466650977766124
BiSBr,10.3,11.995721703415267,'Bi' 'S' 'Br',-1.6957217034152663
CBr4,0.7,0.8477827382436356,'C' 'Br',-0.14778273824363564
HgBr2,0.79,1.2368830753874231,'Hg' 'Br',-0.4468830753874231
Rb2TeBr6,0.466,2.5165431776600515,'Rb' 'Te' 'Br',-2.050543177660052
LiBr,2.09,2.9062028403891675,'Li' 'Br',-0.8162028403891677
SrPb3Br8,1.3733333333333333,1.0982825526485245,'Sr' 'Pb' 'Br',0.2750507806848088
TlBr,1.02,1.6745220728363934,'Tl' 'Br',-0.6545220728363934
Cs3Sb2Br9,2.58,2.3228754197648955,'Cs' 'Sb' 'Br',0.2571245802351045
Pb10B3O13Br3,2.29,1.97149108033656,'Pb' 'B' 'O' 'Br',0.3185089196634401
AsBr3,1.6,1.512614552938115,'As' 'Br',0.08738544706188511
Cs3Bi2Br9,1.319,0.8381426658050142,'Cs' 'Bi' 'Br',0.4808573341949858
Hg4As2.5InBr3.5,2.13,1.91494682217172,'Hg' 'As' 'In' 'Br',0.21505317782827985
SbSeBr,0.7033333333333333,0.6303907992696391,'Sb' 'Se' 'Br',0.07294253406369411
SnBr2,1.13,0.7981970394618028,'Sn' 'Br',0.33180296053819713
Pb3Br2Se2O6,2.38,2.5204086320540338,'Pb' 'Br' 'Se' 'O',-0.14040863205403387
Rb3Sb2Br9,2.48,2.4022468757704067,'Rb' 'Sb' 'Br',0.07775312422959324
Hg2Br2,0.45,0.8012305735756966,'Hg' 'Br',-0.3512305735756966
Tl2TeBr6,2.1,1.5294661786922346,'Tl' 'Te' 'Br',0.5705338213077655
BiOBr,2.5,2.380377931029943,'Bi' 'O' 'Br',0.1196220689700569
RbBr,5.734999999999999,5.841410703617657,'Rb' 'Br',-0.1064107036176578
CuBr,3.057,2.7761928774055047,'Cu' 'Br',0.28080712259449525
InBi2S4Br,2.91,2.8929253027855406,'In' 'Bi' 'S' 'Br',0.01707469721445953
Rb3Bi2Br9,4.1,3.7326948373417363,'Rb' 'Bi' 'Br',0.3673051626582633
TlHg6Se4Br5,4.1850000000000005,4.27103233176143,'Tl' 'Hg' 'Se' 'Br',-0.08603233176142933
PbBr2,1.4,1.7431231781801817,'Pb' 'Br',-0.3431231781801818
SbSBr,1.39,0.6774778654749669,'Sb' 'S' 'Br',0.712522134525033
Pb6BBrO7,2.06,2.193435581567397,'Pb' 'B' 'Br' 'O',-0.13343558156739688
Ba3FeS4Br,2.8,2.655434191973721,'Ba' 'Fe' 'S' 'Br',0.14456580802627886
Cs2TeBr6,5.42,5.514314203991782,'Cs' 'Te' 'Br',-0.09431420399178236
NaBr,2.25,2.0573229346546595,'Na' 'Br',0.1926770653453405
Rb2CdBr2I2,0.66,2.2713770250308603,'Rb' 'Cd' 'Br' 'I',-1.61137702503086
Hg6As4CdBr6,0.93,1.3299104875377186,'Hg' 'As' 'Cd' 'Br',-0.3999104875377185
CdBr2,2.41,2.325770715979731,'Cd' 'Br',0.08422928402026919
Cd4P2Br3,1.72,1.4891191361547569,'Cd' 'P' 'Br',0.2308808638452429
RbNb4Br11,2.35,2.69774762756572,'Rb' 'Nb' 'Br',-0.34774762756571986
PbBiO2Br,0.256,0.3424840450487512,'Pb' 'Bi' 'O' 'Br',-0.08648404504875118
BiSeBr,2.035,2.169150902796547,'Bi' 'Se' 'Br',-0.13415090279654684
AgBr,2.52,2.8763374166815616,'Ag' 'Br',-0.3563374166815616
BiBr3,2.66,3.1054007151589325,'Bi' 'Br',-0.4454007151589323
Cd4As2Br3,1.8633333333333333,1.9300395007053304,'Cd' 'As' 'Br',-0.06670616737199707
CdSb2Se3Br2,1.4,2.1676005988620908,'Cd' 'Sb' 'Se' 'Br',-0.7676005988620909
CsBr,6.99,6.290146515871568,'Cs' 'Br',0.6998534841284334
Hg2Br2Te2,2.06,1.8230317897373682,'Hg' 'Br' 'Te',0.2369682102626325
InBi2Se4Br,1.21,1.4455658253044383,'In' 'Bi' 'Se' 'Br',-0.2355658253044384
InSb2S4Br,1.8,1.7563946691935506,'In' 'Sb' 'S' 'Br',0.04360533080644946
KBr,7.6,6.814790711112093,'K' 'Br',0.7852092888879065
Pb14B2O14Br6,2.62,2.750252960225051,'Pb' 'B' 'O' 'Br',-0.13025296022505106
