formula,actual,predicted,elements,residual
TiC0.9,0.257,0.3203037823370476,'Ti' 'C',-0.06330378233704759
CBr4,0.7,0.8477827382436356,'C' 'Br',-0.14778273824363564
NiC2N2,0.5555,0.8423889106477755,'Ni' 'C' 'N',-0.28688891064777555
Bi2O2CO3,1.64,1.4941501336050589,'Bi' 'O' 'C',0.14584986639494102
CuNiC4N4,5.42,5.763277523237528,'Cu' 'Ni' 'C' 'N',-0.3432775232375285
LiRbCO3,1.12,1.138126669023772,'Li' 'Rb' 'C' 'O',-0.0181266690237718
Mg3B50C8,0.67,0.8029242927719071,'Mg' 'B' 'C',-0.1329242927719071
CI4,0.54,0.4172997474650391,'C' 'I',0.12270025253496092
B4C,1.64,1.9568407002799084,'B' 'C',-0.3168407002799085
LiCsCO3,6.19,5.943711952478362,'Li' 'Cs' 'C' 'O',0.24628804752163802
LiKCO3,6.32,6.366888551348094,'Li' 'K' 'C' 'O',-0.04688855134809344
ZrC,0.6,0.8832965039913994,'Zr' 'C',-0.2832965039913994
