formula,actual,predicted,elements,residual
Hg0.01Cd0.99Se,3.67,5.61657907462188,Hg Cd Se,-1.9465790746218798
CdIn30Te46,2.16,1.8698776491877125,Cd In Te,0.29012235081228765
CsDy9Cd4Se18,2.3,1.9745890132916184,Cs Dy Cd Se,0.3254109867083814
Hg0.77Cd0.23Te,1.725,1.869572860901881,Hg Cd Te,-0.14457286090188082
CsCd4In5Se12,0.43,0.35224618418103937,Cs Cd In Se,0.07775381581896063
Cd4GdB3O10,1.08,0.8536612060325393,Cd Gd B O,0.2263387939674608
Rb3CdB5O10,2.0,1.5845671364019704,Rb Cd B O,0.4154328635980296
Cs2Cd3B16O28,1.18,1.0019668939428623,Cs Cd B O,0.17803310605713762
CdSe,3.45,3.067975869716234,Cd Se,0.3820241302837664
Cd5Ga2S2Te6,1.66,1.976944267652924,Cd Ga S Te,-0.3169442676529237
Li2CdSnS4,0.8,1.0131981752118673,Li Cd Sn S,-0.21319817521186726
PbCdP4O12,1.5550000000000002,2.3097632772713137,Pb Cd P O,-0.7547632772713135
Cs2Cd3Te4,1.92,1.9402827467416424,Cs Cd Te,-0.020282746741642432
CdMoSb4O10,0.46,0.9746253506066846,Cd Mo Sb O,-0.5146253506066847
Cd3BiP3O12,1.84,1.8349027478148496,Cd Bi P O,0.005097252185150447
K2Cd2Te3,1.126,0.7954003675376935,K Cd Te,0.3305996324623064
La4Cd4In2S13,4.9,3.54364054158202,La Cd In S,1.3563594584179803
NaCd4P3,1.3,1.4345247202297724,Na Cd P,-0.13452472022977235
Ag0.4Cd0.5In2.2Te4,5.743333333333332,4.193137182375777,Ag Cd In Te,1.5501961509575557
Cd6P7,4.77,4.645081878697709,Cd P,0.12491812130229095
CdS0.8Se0.2,1.0,1.4229777166574404,Cd S Se,-0.4229777166574405
CdSnAs2,1.3,1.3627408711513722,Cd Sn As,-0.06274087115137217
CdGa2Se4,1.3,1.1025792845262272,Cd Ga Se,0.1974207154737728
CdIn2S4,0.8,0.4961258094291434,Cd In S,0.30387419057085663
CuCd2InTe4,3.85,3.5028253048371862,Cu Cd In Te,0.34717469516281385
Hg0.6Cd0.4Se,0.78,0.7823073785191621,Hg Cd Se,-0.0023073785191620733
Cd4As2I3,0.85,0.7863030347315867,Cd As I,0.06369696526841329
Hg0.72Cd0.28Te,1.0,1.3799039419927208,Hg Cd Te,-0.3799039419927208
CsSmCdSe3,2.7,2.9328651512152515,Cs Sm Cd Se,-0.2328651512152513
Rb2CdP2Se6,0.23,1.6648390132129105,Rb Cd P Se,-1.4348390132129103
K2CdP2Se6,0.85,1.3180071640482236,K Cd P Se,-0.4680071640482236
Hg0.7Cd0.3Te,1.1,1.1645531876266069,Hg Cd Te,-0.064553187626607
CdGeAs2,3.1630000000000003,3.1388040963495287,Cd Ge As,0.024195903650471532
Ag2CdP2S6,3.8,3.3733987071209386,Ag Cd P S,0.4266012928790612
CuCdInSe3,1.03,0.6108999357685976,Cu Cd In Se,0.4191000642314025
Ba5CdGa6Se15,3.1500000000000004,2.8944930593028717,Ba Cd Ga Se,0.2555069406971282
Cd3Bi2,0.28,0.1923536315109944,Cd Bi,0.08764636848900563
CdSnP2,2.0,1.7657830880015668,Cd Sn P,0.2342169119984332
Hg0.9Cd0.1Se,3.5,2.7156141528830884,Hg Cd Se,0.7843858471169116
CdTeO3,1.2,1.1524457711698493,Cd Te O,0.0475542288301507
Cd2V2Te2O11,4.42,4.01289139861029,Cd V Te O,0.4071086013897096
Ag2CdGeS4,6.31,6.056969995411433,Ag Cd Ge S,0.2530300045885667
CdS0.35Se0.65,1.68,1.3766272569409608,Cd S Se,0.3033727430590392
Cu2CdSnSe4,2.1035,2.012745588284329,Cu Cd Sn Se,0.09075441171567088
CdAs2,0.51,0.7793750042410155,Cd As,-0.26937500424101546
Hg0.4Cd0.6Se,3.35,2.3862529648954167,Hg Cd Se,0.9637470351045834
Ga0.95Sb0.95Cd0.05Te0.05,0.23,0.14588457140129396,Ga Sb Cd Te,0.08411542859870605
Cd4LuB3O10,4.091,3.8394919586254703,Cd Lu B O,0.2515080413745299
