formula,actual,predicted,elements,residual
Bi2AsO4Cl,0.71,0.634256800507897,Bi As O Cl,0.07574319949210295
BiOCl,1.96,1.7334248448814815,Bi O Cl,0.22657515511851845
HgBrCl,3.3,2.9533349022233875,Hg Br Cl,0.3466650977766124
In2As2O5Cl2,0.3,0.9962638943907772,In As O Cl,-0.6962638943907773
InSb2S4Cl,2.97,3.988258851851554,In Sb S Cl,-1.0182588518515532
YClMoO4,2.53,2.367510311212383,Y Cl Mo O,0.1624896887876166
Hg2Cl2,2.26,2.8028791073651558,Hg Cl,-0.5428791073651564
Ba3P3O10Cl,2.68,2.5533775697939776,Ba P O Cl,0.1266224302060226
Hg4As2ZrCl6,1.5494374999999998,1.3751807008962351,Hg As Zr Cl,0.1742567991037649
Hg4As2UCl6,3.8,3.964999647518991,Hg As U Cl,-0.1649996475189912
Ba4Ge3Se9Cl2,2.54,2.729812127109139,Ba Ge Se Cl,-0.18981212710913908
Hg6P6In2Cl9,2.15,1.4821009037741222,Hg P In Cl,0.6678990962258777
BaBiO2Cl,1.63,2.3878066103898417,Ba Bi O Cl,-0.7578066103898418
Sr3Se3O8Cl,2.83,2.40140988888015,Sr Se O Cl,0.42859011111984996
Zn6S5Cl2,2.65,2.5457249684867778,Zn S Cl,0.10427503151322216
Hg4P2HfCl6,4.119999999999999,2.435488134838584,Hg P Hf Cl,1.684511865161415
CdIO3Cl,2.85,2.8083938292984154,Cd I O Cl,0.041606170701584684
NaCl,0.28,0.3516298381021325,Na Cl,-0.07162983810213247
KUO3Cl,4.84,3.781259675727489,K U O Cl,1.0587403242725109
Sr4Te3O8Cl4,0.26,0.4580138904866598,Sr Te O Cl,-0.1980138904866598
Hg7InS6Cl5,1.0,2.9665600514073045,Hg In S Cl,-1.9665600514073045
Cd4P2Cl3,1.3533333333333333,1.3608100675355441,Cd P Cl,-0.007476734202210622
K3B6O10Cl,0.221,0.6703494303650244,K B O Cl,-0.4493494303650244
Ba4Si3Se9Cl2,2.54,2.9149830491994804,Ba Si Se Cl,-0.3749830491994803
Cs2AgBiCl6,0.28,0.3374382735737411,Cs Ag Bi Cl,-0.05743827357374109
Na3WO4Cl,0.17666666666666667,0.850431340274457,Na W O Cl,-0.6737646736077904
InBi2S4Cl,0.72,0.4660046339320614,In Bi S Cl,0.2539953660679386
Ba4Ge3S9Cl2,1.32,1.6253101116447397,Ba Ge S Cl,-0.30531011164473965
PbBiO2Cl,1.1,1.3283444450045303,Pb Bi O Cl,-0.22834444500453024
Hg4P2ZrCl6,1.71,1.8708651127733853,Hg P Zr Cl,-0.16086511277338533
CsCl,7.45,6.666763359896962,Cs Cl,0.7832366401030395
Pb17O8Cl18,3.44,2.9493328913029133,Pb O Cl,0.4906671086970866
Ba3InS4Cl,1.31,0.9305477025109621,Ba In S Cl,0.3794522974890381
TlCl,1.6,2.8521191547411733,Tl Cl,-1.2521191547411732
SnCl2,1.82,2.3516787218156154,Sn Cl,-0.5316787218156154
LiBi3O4Cl2,7.6,5.726292493000496,Li Bi O Cl,1.8737075069995035
PbCl2,0.67,0.5868565984872278,Pb Cl,0.08314340151277222
RbCl,1.465,1.2779886294349838,Rb Cl,0.18701137056501627
HgCl2,2.99,3.0218099711941404,Hg Cl,-0.0318099711941402
TlCuCl3,1.6,0.6815105455358816,Tl Cu Cl,0.9184894544641184
CdBiO2Cl,0.25,0.06727110126090974,Cd Bi O Cl,0.18272889873909026
Hg3S2Bi2Cl8,1.0,0.7709383420618492,Hg S Bi Cl,0.2290616579381508
Hg7.5As4Cl6,2.3,1.9857419250868231,Hg As Cl,0.3142580749131767
BiSCl,1.1065,0.8320728571803881,Bi S Cl,0.2744271428196119
Pb2BO3Cl,0.22,0.0993521730925222,Pb B O Cl,0.1206478269074778
Cs2HgI2Cl2,0.51,1.2120070450076907,Cs Hg I Cl,-0.7020070450076907
YbClWO4,2.1,1.8684205596624408,Yb Cl W O,0.2315794403375593
AgCl,4.4,5.399122308203518,Ag Cl,-0.9991223082035176
Hg3ZnS2Cl4,1.05,0.965113134352011,Hg Zn S Cl,0.08488686564798907
LiCl,1.9,1.7334582212103289,Li Cl,0.16654177878967102
Pb3Cl4TeO3,1.0725,1.2837759998447087,Pb Cl Te O,-0.21127599984470868
Hg4As2HfCl6,2.17,2.5616138641137405,Hg As Hf Cl,-0.39161386411374055
Hg3Te2UCl6,3.29,3.4963843907355443,Hg Te U Cl,-0.20638439073554427
BaClBF4,2.55,2.3767152951654267,Ba Cl B F,0.17328470483457314
SrBiO2Cl,0.51,0.5449304170631297,Sr Bi O Cl,-0.03493041706312972
Hg6.5As4CdCl6,1.74,1.7324911866854098,Hg As Cd Cl,0.00750881331459019
Ba4Sb3S8Cl,2.09,2.6072644699590017,Ba Sb S Cl,-0.5172644699590019
CdCl2,5.75,5.639108902270973,Cd Cl,0.11089109772902717
Cs39Cl6Ga53Se96,2.74,2.306661213421588,Cs Cl Ga Se,0.4333387865784122
Cs3Sn3F2Cl7,2.96,4.711559588334975,Cs Sn F Cl,-1.7515595883349748
CuCl,3.255557142857142,3.485097532633258,Cu Cl,-0.2295403897761159
Hg3Te2Bi2Cl8,2.8,2.8523770396726564,Hg Te Bi Cl,-0.05237703967265661
Hg8As4Bi3Cl13,2.43,2.395240206148056,Hg As Bi Cl,0.034759793851943936
KCl,8.5,8.2181989484756,K Cl,0.2818010515244005
La20Mo12O63Cl4,2.4,2.852317807048532,La Mo O Cl,-0.4523178070485319
Na3MoO4Cl,4.69,4.581701871209216,Na Mo O Cl,0.10829812879078472
Na3Sn2F6Cl,3.88,6.085294693387279,Na Sn F Cl,-2.2052946933872786
TbClWO4,4.24,3.5224683705615085,Tb Cl W O,0.7175316294384917
ZnHg3Se2Cl4,2.23,2.469223651705615,Zn Hg Se Cl,-0.2392236517056152
