formula,actual,predicted,elements,residual
CoP3,2.2,2.0312700540952147,'Co' 'P',0.16872994590478552
Na7Co2O6,3.2,3.2024447293661336,'Na' 'Co' 'O',-0.00244472936613338
CoAs3,2.433333333333333,1.9909484439692715,'Co' 'As',0.4423848893640616
La2CoVO6,2.75,2.8551281895184366,'La' 'Co' 'V' 'O',-0.1051281895184366
PbCoO3,3.2,3.9514233126714338,'Pb' 'Co' 'O',-0.7514233126714341
Mg2Co,1.31,0.9047360799012436,'Mg' 'Co',0.4052639200987565
CoSb3,0.7050000000000001,1.4662642222093494,'Co' 'Sb',-0.7612642222093493
CoAsS,1.27,1.0017481364423757,'Co' 'As' 'S',0.2682518635576243
CsYbCoSe3,2.4,2.372341572067098,'Cs' 'Yb' 'Co' 'Se',0.02765842793290174
K10Co4Sn4S17,0.65,0.6825929233902429,'K' 'Co' 'Sn' 'S',-0.03259292339024289
TiCoSb,1.25,1.3013098443017244,'Ti' 'Co' 'Sb',-0.05130984430172436
La2CoTiO6,0.9916666666666668,0.8073798556126777,'La' 'Co' 'Ti' 'O',0.18428681105398914
Co2Te3O8,1.1,1.4857337364089194,'Co' 'Te' 'O',-0.3857337364089193
CoAsSe,0.2,0.5576910427634479,'Co' 'As' 'Se',-0.35769104276344793
CoP2,0.35,0.4895517752148599,'Co' 'P',-0.1395517752148599
CoPS,0.4,0.6116465947707717,'Co' 'P' 'S',-0.21164659477077166
CoSb2,0.185,0.3662376458503296,'Co' 'Sb',-0.1812376458503296
CoSbS,0.305,0.6575452233385555,'Co' 'Sb' 'S',-0.3525452233385555
CoTe1.88,0.2,0.7157539884677497,'Co' 'Te',-0.5157539884677498
CsLuCoS3,1.34,1.4938328525414266,'Cs' 'Lu' 'Co' 'S',-0.15383285254142653
