formula,actual,predicted,elements,residual
TlCr5S4Se4,1.89,1.9475908631765693,"['Tl', 'Cr', 'S', 'Se']",-0.05759086317656936
TlCr5Se8,3.0264,2.4698618591686143,"['Tl', 'Cr', 'Se']",0.5565381408313859
SrCrO4,0.5,0.6911278715383329,"['Sr', 'Cr', 'O']",-0.19112787153833288
Cr2O3,1.56,0.9963110709296981,"['Cr', 'O']",0.5636889290703021
TlCr5S3Se5,0.6,1.210188697332586,"['Tl', 'Cr', 'S', 'Se']",-0.6101886973325861
CrO3,2.3,2.108845964390201,"['Cr', 'O']",0.1911540356097987
Pb6B2CrO12,0.57,0.7765352503133851,"['Pb', 'B', 'Cr', 'O']",-0.20653525031338515
TlCr5S6Se2,2.8,2.4567600042860223,"['Tl', 'Cr', 'S', 'Se']",0.3432399957139776
TlCr5S5Se3,0.6,1.0004634404623216,"['Tl', 'Cr', 'S', 'Se']",-0.4004634404623216
TlCr5S8,0.905,1.0712071491273418,"['Tl', 'Cr', 'S']",-0.1662071491273418
CrO2,1.4,1.4944661377913366,"['Cr', 'O']",-0.09446613779133672
PbCrO4,1.58,1.4980654192241634,"['Pb', 'Cr', 'O']",0.08193458077583671
Lu2CrS4,0.95,0.8602640388502056,"['Lu', 'Cr', 'S']",0.08973596114979432
CrTe2,1.1,0.8904678344097068,"['Cr', 'Te']",0.2095321655902933
Li4.5Cr0.5TeO6,0.5,0.5166880015958828,"['Li', 'Cr', 'Te', 'O']",-0.016688001595882795
Cr3Se4,0.7226666666666666,0.7167086866313515,"['Cr', 'Se']",0.005957980035315114
Bi2CrI2O11,2.4,2.465306898228558,"['Bi', 'Cr', 'I', 'O']",-0.06530689822855829
Cr2S3,1.0,1.2650909888890531,"['Cr', 'S']",-0.26509098888905314
CrSb2,0.15000000000000002,0.08032889067885307,"['Cr', 'Sb']",0.06967110932114695
CrSi2,1.3,0.4541630885082633,"['Cr', 'Si']",0.8458369114917368
K3Cr2P3S12,1.35,1.806622408559857,"['K', 'Cr', 'P', 'S']",-0.4566224085598569
TlCr5S2Se6,0.75,0.7828728083262568,"['Tl', 'Cr', 'S', 'Se']",-0.03287280832625683
TlCr5S7Se,0.97,0.902874980511509,"['Tl', 'Cr', 'S', 'Se']",0.06712501948849092
TlCr5SSe7,0.71,0.7391853285638739,"['Tl', 'Cr', 'S', 'Se']",-0.029185328563873906
