formula,actual,predicted,elements,residual
CsDy9Cd4Se18,2.3,1.9745890132916184,'Cs' 'Dy' 'Cd' 'Se',0.3254109867083814
CsCd4In5Se12,0.43,0.35224618418103937,'Cs' 'Cd' 'In' 'Se',0.07775381581896063
Cs2ZnGe3Se8,1.9,1.7566224017969017,'Cs' 'Zn' 'Ge' 'Se',0.14337759820309826
CsLu7Se11,2.76,2.1088148944467644,'Cs' 'Lu' 'Se',0.6511851055532354
Cs2Cd3B16O28,1.18,1.0019668939428623,'Cs' 'Cd' 'B' 'O',0.17803310605713762
CsYZnSe3,2.04,2.7957909249913917,'Cs' 'Y' 'Zn' 'Se',-0.7557909249913917
Cs2PdSe8,1.2,1.108263799515468,'Cs' 'Pd' 'Se',0.0917362004845319
Cs6.40Na1.60Ga8Ge38,1.2,0.814652871698625,'Cs' 'Na' 'Ga' 'Ge',0.38534712830137496
CsSbS2,0.208,0.23361890818767786,'Cs' 'Sb' 'S',-0.02561890818767787
Li4Cs3B7O14,3.4,3.627979055923161,'Li' 'Cs' 'B' 'O',-0.22797905592316114
Cs2AgBiBr6,0.3,0.3732115819478263,'Cs' 'Ag' 'Bi' 'Br',-0.07321158194782629
CsYTe3O8,2.0,1.2004865197912955,'Cs' 'Y' 'Te' 'O',0.7995134802087043
Cs2Cd3Te4,1.92,1.9402827467416424,'Cs' 'Cd' 'Te',-0.020282746741642432
CsInGeSe4,2.5,1.200426390162674,'Cs' 'In' 'Ge' 'Se',1.299573609837326
CsI,0.17,0.2711034995323001,'Cs' 'I',-0.1011034995323001
CsPbPO4,1.4,1.621515180166652,'Cs' 'Pb' 'P' 'O',-0.2215151801666521
Cs2Cu3DyTe4,1.165,1.2140858700630854,'Cs' 'Cu' 'Dy' 'Te',-0.0490858700630854
Cs2CuNbSe4,5.47,4.612453467046974,'Cs' 'Cu' 'Nb' 'Se',0.8575465329530259
Cs2PdP2Se6,1.15,0.585024756867794,'Cs' 'Pd' 'P' 'Se',0.5649752431322059
Cs4Ag9Sb4S12,1.5,2.225638301139268,'Cs' 'Ag' 'Sb' 'S',-0.7256383011392682
Cs3Bi2I9,1.2,1.1610891364356617,'Cs' 'Bi' 'I',0.03891086356433826
CsInS2,2.3,2.194502653394407,'Cs' 'In' 'S',0.10549734660559283
CsAu,4.99,3.9874140802039033,'Cs' 'Au',1.002585919796097
Cs4Pb4Ge5S16,2.7,1.6242699679685568,'Cs' 'Pb' 'Ge' 'S',1.0757300320314434
Cs6Na2Zn4Ge42,1.94,2.414343834547536,'Cs' 'Na' 'Zn' 'Ge',-0.4743438345475362
CsSmCdSe3,2.7,2.9328651512152515,'Cs' 'Sm' 'Cd' 'Se',-0.2328651512152513
Cs2TiAg2S4,9.33,8.681608227234673,'Cs' 'Ti' 'Ag' 'S',0.6483917727653274
Cs2Al2B2O7,1.56,1.5198025455985071,'Cs' 'Al' 'B' 'O',0.040197454401492916
CsZn2B3O7,1.84,1.9960474448053545,'Cs' 'Zn' 'B' 'O',-0.15604744480535435
Cs2Cu2Sb2S5,1.66,1.4457470792168845,'Cs' 'Cu' 'Sb' 'S',0.21425292078311545
Cs2B4SiO9,0.044,0.09754622083494002,'Cs' 'B' 'Si' 'O',-0.053546220834940025
CsAg2TeS6,2.31,2.1398469852126114,'Cs' 'Ag' 'Te' 'S',0.17015301478738865
Cs3Nb9Te4O32,0.69,0.6715306346168548,'Cs' 'Nb' 'Te' 'O',0.018469365383145142
CsSmHgSe3,3.225,3.0630377381623326,'Cs' 'Sm' 'Hg' 'Se',0.16196226183766704
Cs2Ga2S5,2.924,2.725068350935911,'Cs' 'Ga' 'S',0.1989316490640891
CsInTe2,2.6,1.8810376200374288,'Cs' 'In' 'Te',0.7189623799625708
Cs3Sb2Br9,2.58,2.3228754197648955,'Cs' 'Sb' 'Br',0.2571245802351045
Cs2Te,0.23,2.599179804567112,'Cs' 'Te',-2.3691798045671115
CsBi3Se5,0.73,0.6329944422081129,'Cs' 'Bi' 'Se',0.09700555779188713
