formula,actual,predicted,elements,residual
K2Ho4Cu4S9,1.9266666666666663,1.7839293601350317,"['K', 'Ho', 'Cu', 'S']",0.14273730653163466
Cu3VS4,1.81,1.1986026723535002,"['Cu', 'V', 'S']",0.6113973276464999
CuIn5S8,0.7,0.8402499352511352,"['Cu', 'In', 'S']",-0.14024993525113527
Cu3YbSe3,3.9,3.091151213230744,"['Cu', 'Yb', 'Se']",0.8088487867692562
CuInS2,2.3,2.399817762346144,"['Cu', 'In', 'S']",-0.09981776234614426
Hg2Cu3Te6O16,0.55,2.83058748097943,"['Hg', 'Cu', 'Te', 'O']",-2.28058748097943
KCuThS3,0.32,2.425403414430632,"['K', 'Cu', 'Th', 'S']",-2.1054034144306315
KCu3S2,7.843333333333334,7.429771067124959,"['K', 'Cu', 'S']",0.4135622662083742
Rb2CuNbS4,2.34,4.046317441514047,"['Rb', 'Cu', 'Nb', 'S']",-1.7063174415140467
K2CuGa3Se6,0.5,0.5043872656186164,"['K', 'Cu', 'Ga', 'Se']",-0.004387265618616354
Tl4CuTeO6,2.05,1.7399172448755262,"['Tl', 'Cu', 'Te', 'O']",0.3100827551244736
Cu0.5Pb1.75GeS4,0.3,0.4414929458688713,"['Cu', 'Pb', 'Ge', 'S']",-0.14149294586887134
NdCuOS,0.14,0.19357973955004404,"['Nd', 'Cu', 'O', 'S']",-0.053579739550044025
Ba3La3Cu6O14,4.77,5.193788493253718,"['Ba', 'La', 'Cu', 'O']",-0.4237884932537188
Cu0.3Ga1.7S2.7,0.31,1.1223717067600187,"['Cu', 'Ga', 'S']",-0.8123717067600187
RbCu2AsS3,1.7,1.915144709262675,"['Rb', 'Cu', 'As', 'S']",-0.21514470926267504
Cu0.2Ga1.8Se2.8,2.07,2.0595614719103974,"['Cu', 'Ga', 'Se']",0.01043852808960244
Cs2Cu3DyTe4,1.165,1.2140858700630854,"['Cs', 'Cu', 'Dy', 'Te']",-0.0490858700630854
Cs2CuNbSe4,5.47,4.612453467046974,"['Cs', 'Cu', 'Nb', 'Se']",0.8575465329530259
Cu3SmTe3,1.67,1.5548791452690107,"['Cu', 'Sm', 'Te']",0.1151208547309892
CuZn2InSe4,1.1414285714285717,1.6916038367393451,"['Cu', 'Zn', 'In', 'Se']",-0.5501752653107734
CuIn3Se5,3.0,5.246367298368339,"['Cu', 'In', 'Se']",-2.246367298368339
Cu2Te,2.3,2.6194309815259924,"['Cu', 'Te']",-0.3194309815259926
CuSmSe2,3.82,3.4880131584284566,"['Cu', 'Sm', 'Se']",0.33198684157154323
CuCd2InTe4,3.85,3.5028253048371862,"['Cu', 'Cd', 'In', 'Te']",0.34717469516281385
Cu1.8S,4.4,3.179621895271365,"['Cu', 'S']",1.2203781047286353
PrCuOS,1.21,1.6654558945214415,"['Pr', 'Cu', 'O', 'S']",-0.4554558945214415
Cu3HoSe3,2.88,2.135928551183836,"['Cu', 'Ho', 'Se']",0.7440714488161642
Cu2Ta11O30,2.23,1.9776219053352388,"['Cu', 'Ta', 'O']",0.25237809466476113
Cu0.15In1.85Se2.85,3.42,3.7171272164883913,"['Cu', 'In', 'Se']",-0.2971272164883913
Cu3DyTe3,0.701,0.6502224135049897,"['Cu', 'Dy', 'Te']",0.050777586495010296
Cu3ErTe3,1.4,1.230487997595814,"['Cu', 'Er', 'Te']",0.16951200240418585
Cu3YSe3,2.12,2.336312556143893,"['Cu', 'Y', 'Se']",-0.216312556143893
CuIn3S5,4.28,3.38959555588991,"['Cu', 'In', 'S']",0.8904044441100902
Cu0.5In1.5Se2.5,3.626666666666667,3.543022019073872,"['Cu', 'In', 'Se']",0.083644647592795
Cs2Cu2Sb2S5,1.66,1.4457470792168845,"['Cs', 'Cu', 'Sb', 'S']",0.21425292078311545
CuInGeSe4,1.1749999999999998,1.2847320482564142,"['Cu', 'In', 'Ge', 'Se']",-0.10973204825641436
CuCdInSe3,1.03,0.6108999357685976,"['Cu', 'Cd', 'In', 'Se']",0.4191000642314025
CuFeSe2,1.93,1.8745754555349643,"['Cu', 'Fe', 'Se']",0.05542454446503586
K2Cu2ThS4,4.13,5.943816063133139,"['K', 'Cu', 'Th', 'S']",-1.8138160631331388
Cu2GeS3,2.6,3.3201164864661594,"['Cu', 'Ge', 'S']",-0.7201164864661593
Bi6Cu3S10I,0.22,0.11509768976091285,"['Bi', 'Cu', 'S', 'I']",0.10490231023908717
Cu2ZnSiTe4,1.13,1.4078476228331431,"['Cu', 'Zn', 'Si', 'Te']",-0.277847622833143
Ce2YbCuS5,2.8,2.308496586837064,"['Ce', 'Yb', 'Cu', 'S']",0.4915034131629361
Cu2CdSnSe4,2.1035,2.012745588284329,"['Cu', 'Cd', 'Sn', 'Se']",0.09075441171567088
