formula,actual,predicted,elements,residual
DyIn3S6,2.43,1.6150212845653569,"['Dy', 'In', 'S']",0.8149787154346433
CsDy9Cd4Se18,2.3,1.9745890132916184,"['Cs', 'Dy', 'Cd', 'Se']",0.3254109867083814
DyB6,1.99,2.1751841654923947,"['Dy', 'B']",-0.1851841654923947
Dy3GaS6,2.03,2.0889506648711045,"['Dy', 'Ga', 'S']",-0.058950664871104674
Ba3Dy2P4S16,2.98,1.805206776778446,"['Ba', 'Dy', 'P', 'S']",1.174793223221554
Cs2Cu3DyTe4,1.165,1.2140858700630854,"['Cs', 'Cu', 'Dy', 'Te']",-0.0490858700630854
Dy2Mo3O12,0.7,1.653419555023559,"['Dy', 'Mo', 'O']",-0.9534195550235592
EuDy2Se4,0.37,0.3911831077700452,"['Eu', 'Dy', 'Se']",-0.021183107770045232
Cu3DyTe3,0.701,0.6502224135049897,"['Cu', 'Dy', 'Te']",0.050777586495010296
DyTe1.40,3.28,2.373645749231426,"['Dy', 'Te']",0.9063542507685738
DyPO4,0.68,0.652840649472151,"['Dy', 'P', 'O']",0.027159350527849013
DyTe1.7,0.2,0.3750994476918921,"['Dy', 'Te']",-0.17509944769189206
DyN,6.805,5.574949963985153,"['Dy', 'N']",1.2300500360148463
Ba2InDyTe5,2.2,2.1007383298431868,"['Ba', 'In', 'Dy', 'Te']",0.09926167015681342
Dy2S3,2.68,2.576623845145451,"['Dy', 'S']",0.1033761548545491
Dy4S4Te3,0.24,1.3839685366969672,"['Dy', 'S', 'Te']",-1.1439685366969672
Dy2Te3,0.49,0.4574148093372639,"['Dy', 'Te']",0.032585190662736074
Dy4GaSbS9,1.65,1.433879518036873,"['Dy', 'Ga', 'Sb', 'S']",0.21612048196312686
Ba2GaDySe5,8.277999999999999,8.107005476770476,"['Ba', 'Ga', 'Dy', 'Se']",0.17099452322952224
DyTe1.45,3.9,3.8130372199790346,"['Dy', 'Te']",0.08696278002096536
Cu3DySe3,1.76,2.7723160667722584,"['Cu', 'Dy', 'Se']",-1.0123160667722584
Ba2GaDyTe5,1.13,1.2281029565625057,"['Ba', 'Ga', 'Dy', 'Te']",-0.09810295656250577
Ba2InDySe5,2.27,2.294874630629831,"['Ba', 'In', 'Dy', 'Se']",-0.024874630629831085
Dy2O3,5.0,5.6506499500492815,"['Dy', 'O']",-0.6506499500492815
Dy3Al0.5SiS7,2.22,2.6283851275105654,"['Dy', 'Al', 'Si', 'S']",-0.4083851275105652
DyAs,1.0,0.8099252986050622,"['Dy', 'As']",0.19007470139493776
K2Dy2Ti3O10,3.38,3.357157823004908,"['K', 'Dy', 'Ti', 'O']",0.022842176995091727
