formula,actual,predicted,elements,residual
Er2O3,2.0,1.4336046199222758,Er O,0.5663953800777242
Ba3Er2P4S16,1.1,0.9946679484870612,Ba Er P S,0.1053320515129389
ErBiW2O9,2.9,2.5667432029642594,Er Bi W O,0.3332567970357405
Cu3ErTe3,1.4,1.230487997595814,Cu Er Te,0.16951200240418585
ErB6,2.0,2.527765786526399,Er B,-0.5277657865263992
Er2Se3,3.4,2.1435408549989434,Er Se,1.2564591450010565
Er3SmSe6,6.1,4.533827152621688,Er Sm Se,1.5661728473783114
Er2Te3,1.8,2.1299142983783437,Er Te,-0.3299142983783441
CsEr9Cd4Se18,2.81,2.6113222177660083,Cs Er Cd Se,0.19867778223399224
EuEr2Se4,2.62,2.7900530104276817,Eu Er Se,-0.17005301042768162
ErSe2,0.6000000000000001,0.49309808193359295,Er Se,0.10690191806640707
ErN,2.6,2.447416646404915,Er N,0.15258335359508512
Ba2InErTe5,2.0,2.1922032625771783,Ba In Er Te,-0.19220326257717835
Ba2InErSe5,2.41,2.1187856093799367,Ba In Er Se,0.2912143906200635
Ba2GaErSe5,2.12,1.5143734894147185,Ba Ga Er Se,0.6056265105852816
ErTe,3.12,3.0958785979346244,Er Te,0.02412140206537572
ErIn3S6,3.6,4.090129996395436,Er In S,-0.4901299963954355
Ba2GaErTe5,3.54,3.7197846824440592,Ba Ga Er Te,-0.1797846824440592
Er3Te4,1.36,1.207855145280421,Er Te,0.15214485471957914
Er2Mo3O12,1.37,0.9912381785635364,Er Mo O,0.37876182143646375
CsErZnSe3,2.595,2.1232705150185005,Cs Er Zn Se,0.4717294849814997
