formula,actual,predicted,elements,residual
EuYb2S4,4.1,4.081479400337285,Eu Yb S,0.018520599662714687
EuIn2S4,1.0,1.3556219080010674,Eu In S,-0.3556219080010674
EuTb2Se4,2.64,1.9422832876830949,Eu Tb Se,0.6977167123169052
Eu2Ga2GeS7,2.2,1.9173681149214,Eu Ga Ge S,0.28263188507860026
Eu1.83Ta15O32,2.25,2.2625506659961427,Eu Ta O,-0.01255066599614274
Eu3Se4,4.2,1.7540576150159932,Eu Se,2.445942384984007
EuSb2S4,2.64,3.2846097702901016,Eu Sb S,-0.6446097702901015
Eu3P2,1.55,1.2974915858065668,Eu P,0.2525084141934333
Eu3Sb4Se9,2.61,2.8953616531162236,Eu Sb Se,-0.2853616531162242
EuDy2Se4,0.37,0.3911831077700452,Eu Dy Se,-0.021183107770045232
Na0.75Eu1.625GeSe4,3.1,2.8808849815536046,Na Eu Ge Se,0.21911501844639547
EuTe,1.0,1.2947359603129471,Eu Te,-0.2947359603129469
EuH2,1.95,1.4791236442457585,Eu H,0.4708763557542415
KEuAsS4,2.98,2.7863779523457284,K Eu As S,0.1936220476542716
Na8Eu2Ge4S12,2.32,2.5350970146804146,Na Eu Ge S,-0.2150970146804148
Na2EuGeSe4,0.8,0.6642404687489121,Na Eu Ge Se,0.13575953125108794
EuBiW2O9,0.07500000000000001,0.3535910549372234,Eu Bi W O,-0.2785910549372234
EuBi2Se4,0.16,0.3839176767167256,Eu Bi Se,-0.2239176767167256
EuBi2Te4,2.64,2.023143033488997,Eu Bi Te,0.6168569665110031
EuSe,2.6,2.658527451218168,Eu Se,-0.058527451218167936
EuTm2Se4,1.26,1.5339778033304352,Eu Tm Se,-0.2739778033304352
Eu3Bi4S9,2.48,3.0422192897374774,Eu Bi S,-0.5622192897374774
Eu3Sb4S9,1.6,1.7322193001302706,Eu Sb S,-0.1322193001302705
Eu3As2,0.0635,0.21470358541758386,Eu As,-0.15120358541758386
EuSnTe2,1.5,2.2830142958135458,Eu Sn Te,-0.7830142958135462
EuO,4.84,4.172158211571047,Eu O,0.6678417884289534
EuSb4S7,2.0,1.9651735460297344,Eu Sb S,0.034826453970265625
EuSb2BO8,0.8,0.968495090042678,Eu Sb B O,-0.16849509004267793
Eu2Se3,0.96,0.9065658742841674,Eu Se,0.05343412571583261
EuEr2Se4,2.62,2.7900530104276817,Eu Er Se,-0.17005301042768162
EuN,0.4,0.6185486918676428,Eu N,-0.2185486918676428
EuSb4Te7,0.46,0.4742999402410373,Eu Sb Te,-0.014299940241037257
Eu7Ga6Sb8,3.09,3.080456644841105,Eu Ga Sb,0.009543355158895041
Sr3EuP3O12,1.2,1.3968006119735863,Sr Eu P O,-0.19680061197358634
Eu3S4,2.15,1.9110260309794824,Eu S,0.2389739690205175
EuIn2Te4,0.41,1.3801811930778838,Eu In Te,-0.970181193077884
EuLu2Se4,2.3,1.2097189997000823,Eu Lu Se,1.0902810002999177
Ag0.5Eu1.75GeS4,4.9366666666666665,4.976277733540665,Ag Eu Ge S,-0.039611066873998624
EuAl2O4,0.48,0.36793553202478346,Eu Al O,0.11206446797521652
EuS,1.3,0.7108021013666059,Eu S,0.5891978986333941
EuGa2S4,3.8,2.9396649214433617,Eu Ga S,0.8603350785566382
EuYb2Se4,1.69,1.3596030350070991,Eu Yb Se,0.33039696499290083
EuVO4,5.576666666666667,4.144000893194091,Eu V O,1.4326657734725758
EuCu2SnS4,0.64,0.6684759906183917,Eu Cu Sn S,-0.02847599061839168
EuHo2Se4,2.49,2.9823238678518766,Eu Ho Se,-0.4923238678518764
Eu2SnSe5,1.0666666666666669,0.8846693092608593,Eu Sn Se,0.1819973574058076
Ba3EuP3O12,0.75,1.1744028220071543,Ba Eu P O,-0.4244028220071543
EuSb2Se4,1.83,2.037381570077047,Eu Sb Se,-0.20738157007704672
Eu2O3,4.5,3.2260855015867342,Eu O,1.2739144984132658
Eu3In2P4,0.452,0.8880397352448561,Eu In P,-0.4360397352448561
Eu4Te7,0.31,0.7788387038634106,Eu Te,-0.4688387038634106
EuGa2Se4,2.16,1.8702528635263285,Eu Ga Se,0.2897471364736717
EuGa2Te4,1.7,0.8979528601581102,Eu Ga Te,0.8020471398418898
EuIn2Se4,1.31,1.4998418565118037,Eu In Se,-0.18984185651180369
EuIr4In2Ge4,0.26,0.6723015381290871,Eu Ir In Ge,-0.4123015381290871
EuLiH3,1.5,1.92693056448044,Eu Li H,-0.42693056448044003
