formula,actual,predicted,elements,residual
PbGa2GeSe6,1.31,1.0877828715319977,'Pb' 'Ga' 'Ge' 'Se',0.22221712846800235
BaGa2Se4,3.4,2.978371702130828,'Ba' 'Ga' 'Se',0.4216282978691721
BaGa4S7,1.83,1.6733603310471477,'Ba' 'Ga' 'S',0.15663966895285242
GaVTe2O8,2.59,2.3513877615197583,'Ga' 'V' 'Te' 'O',0.2386122384802416
In0.6As0.6Ga0.4P0.4,3.26,2.9982446795675326,'In' 'As' 'Ga' 'P',0.2617553204324672
Cs6.40Na1.60Ga8Ge38,1.2,0.814652871698625,'Cs' 'Na' 'Ga' 'Ge',0.38534712830137496
Pb0.995TeGa0.005,0.39,0.4060443893952748,'Pb' 'Te' 'Ga',-0.0160443893952748
Ga0.5As0.5Zn0.5Se0.5,1.47,2.5684667559411007,'Ga' 'As' 'Zn' 'Se',-1.0984667559411008
Cd5Ga2S2Te6,1.66,1.976944267652924,'Cd' 'Ga' 'S' 'Te',-0.3169442676529237
Dy3GaS6,2.03,2.0889506648711045,'Dy' 'Ga' 'S',-0.058950664871104674
K2CuGa3Se6,0.5,0.5043872656186164,'K' 'Cu' 'Ga' 'Se',-0.004387265618616354
KGaSe2,0.7,1.5015388679801145,'K' 'Ga' 'Se',-0.8015388679801145
Ba2GaBiSe5,6.975,6.190852995947664,'Ba' 'Ga' 'Bi' 'Se',0.7841470040523353
Ga0.58As0.58Zn0.42Se0.42,2.25,2.302095301946393,'Ga' 'As' 'Zn' 'Se',-0.05209530194639278
GaAs0.15Sb0.85,0.2,0.5034376080158705,'Ga' 'As' 'Sb',-0.30343760801587044
Ga2Se3,3.12,2.737140427051456,'Ga' 'Se',0.382859572948544
GaAs0.7Sb0.3,3.38,3.9516326163657407,'Ga' 'As' 'Sb',-0.5716326163657408
La2Ga2GeS8,2.475,2.413781730699581,'La' 'Ga' 'Ge' 'S',0.06121826930041908
GaAs0.3P0.7,2.0585,1.7229110764552311,'Ga' 'As' 'P',0.3355889235447689
LiGaTe2,2.015,1.5931763852113632,'Li' 'Ga' 'Te',0.42182361478863695
Ga0.75P0.75Zn0.25Se0.25,5.51,4.8688076529270745,'Ga' 'P' 'Zn' 'Se',0.6411923470729262
LaGaS3,0.4,0.4809455624262835,'La' 'Ga' 'S',-0.08094556242628348
Cu0.3Ga1.7S2.7,0.31,1.1223717067600187,'Cu' 'Ga' 'S',-0.8123717067600187
GaSb,1.915,2.045752061062613,'Ga' 'Sb',-0.13075206106261295
BaGa4Se7,0.32,0.9365591439829456,'Ba' 'Ga' 'Se',-0.6165591439829456
Ag2Ga2SiS6,1.8,1.1839125020933905,'Ag' 'Ga' 'Si' 'S',0.6160874979066095
Ga1.005Sb0.995Te0.015,0.17,1.0161793783819617,'Ga' 'Sb' 'Te',-0.8461793783819617
GaGeTe,1.76,1.5587122647842455,'Ga' 'Ge' 'Te',0.20128773521575427
Cu0.2Ga1.8Se2.8,2.07,2.0595614719103974,'Cu' 'Ga' 'Se',0.01043852808960244
Rb8Ga8Si38,1.34,1.3299469052704451,'Rb' 'Ga' 'Si',0.010053094729554957
Ga2Te3O9,1.35,1.4894503992685184,'Ga' 'Te' 'O',-0.13945039926851832
Eu2Ga2GeS7,2.2,1.9173681149214,'Eu' 'Ga' 'Ge' 'S',0.28263188507860026
Zn0.3S0.3Ga0.7P0.7,0.77,0.4459930505034021,'Zn' 'S' 'Ga' 'P',0.32400694949659803
In0.8P0.8Ga0.2As0.2,0.24,0.2325266355155673,'In' 'P' 'Ga' 'As',0.0074733644844326985
Ga0.5Al0.5As,2.23,2.0809642053810062,'Ga' 'Al' 'As',0.14903579461899374
CdGa2Se4,1.3,1.1025792845262272,'Cd' 'Ga' 'Se',0.1974207154737728
GaAs0.99Sb0.01,0.6,0.7122196514335979,'Ga' 'As' 'Sb',-0.11221965143359793
Ga0.99Sb0.99Zn0.01Te0.01,3.1,5.380991034610443,'Ga' 'Sb' 'Zn' 'Te',-2.280991034610444
Ga2GeTe3,1.59,1.4416074481730998,'Ga' 'Ge' 'Te',0.14839255182690025
In0.01P0.01Ga0.99As0.99,2.28,2.1242919479466007,'In' 'P' 'Ga' 'As',0.1557080520533991
Sm4GaSbS9,1.67,1.5305096693993203,'Sm' 'Ga' 'Sb' 'S',0.1394903306006796
AgGaTe2,2.12,1.8739979276843128,'Ag' 'Ga' 'Te',0.2460020723156873
Ga1.05Sb0.95Se0.15,3.25,2.744608127009597,'Ga' 'Sb' 'Se',0.505391872990403
Ba4Ga4SnSe12,1.36,2.0919471555497164,'Ba' 'Ga' 'Sn' 'Se',-0.7319471555497163
In0.5Ga0.5P,0.6,0.7884060943250386,'In' 'Ga' 'P',-0.18840609432503866
Sn0.5GaZn3.5O6,0.7,0.8236422317345937,'Sn' 'Ga' 'Zn' 'O',-0.12364223173459375
Ba2GaYTe5,2.45,2.5948202665375373,'Ba' 'Ga' 'Y' 'Te',-0.1448202665375371
LiGaS2,1.1,2.107910163244922,'Li' 'Ga' 'S',-1.007910163244922
GaP,1.4,1.166881625848161,'Ga' 'P',0.2331183741518389
AgGaSiSe4,0.95,1.476030653701029,'Ag' 'Ga' 'Si' 'Se',-0.5260306537010291
Ga0.01Sb0.01Zn0.99Te0.99,0.82,0.9463724257573158,'Ga' 'Sb' 'Zn' 'Te',-0.1263724257573159
GaAs0.01P0.99,0.059,0.1784956877116297,'Ga' 'As' 'P',-0.11949568771162973
GaAs0.5P0.5,0.45,0.9863421503889328,'Ga' 'As' 'P',-0.5363421503889327
In0.2As0.2Ga0.8P0.8,3.81,3.4102395862239487,'In' 'As' 'Ga' 'P',0.3997604137760513
K8Ga8Si38,2.27,1.8918996344775367,'K' 'Ga' 'Si',0.3781003655224633
Ba5CdGa6Se15,3.1500000000000004,2.894493059302872,'Ba' 'Cd' 'Ga' 'Se',0.2555069406971282
Ba2GaSmSe5,1.3,2.0976500674178995,'Ba' 'Ga' 'Sm' 'Se',-0.7976500674178995
Ga0.01Al0.99P,1.1,0.5856755967900797,'Ga' 'Al' 'P',0.5143244032099203
Ga0.5P0.5Zn0.5Se0.5,1.85,2.451778928032493,'Ga' 'P' 'Zn' 'Se',-0.6017789280324929
GaAs0.4P0.6,2.63,2.247481461820141,'Ga' 'As' 'P',0.38251853817985904
Ba8Ga10Si36,3.0,2.3384616223527788,'Ba' 'Ga' 'Si',0.6615383776472212
