formula,actual,predicted,elements,residual
PbGa2GeSe6,1.31,1.0877828715319977,"['Pb', 'Ga', 'Ge', 'Se']",0.22221712846800235
NaGe3P3,2.64,2.4957122550754587,"['Na', 'Ge', 'P']",0.14428774492454144
Cs2ZnGe3Se8,1.9,1.7566224017969017,"['Cs', 'Zn', 'Ge', 'Se']",0.14337759820309826
Ge0.838Si0.162,2.16,1.5020392485940004,"['Ge', 'Si']",0.6579607514059997
Pb2GeSe4O12,1.12,2.0228858679671458,"['Pb', 'Ge', 'Se', 'O']",-0.9028858679671456
Li2ZnGeSe4,1.98,0.5870629024059024,"['Li', 'Zn', 'Ge', 'Se']",1.3929370975940976
Cs6.40Na1.60Ga8Ge38,1.2,0.814652871698625,"['Cs', 'Na', 'Ga', 'Ge']",0.38534712830137496
Pr2GeSe5,2.06,3.3035988802335776,"['Pr', 'Ge', 'Se']",-1.2435988802335776
Mg2Ge,0.6,0.8049708858822537,"['Mg', 'Ge']",-0.20497088588225376
Ca10Ge16B6O51,0.43,1.0173979560952071,"['Ca', 'Ge', 'B', 'O']",-0.5873979560952072
Cu0.5Pb1.75GeS4,0.3,0.4414929458688713,"['Cu', 'Pb', 'Ge', 'S']",-0.14149294586887134
CsInGeSe4,2.5,1.200426390162674,"['Cs', 'In', 'Ge', 'Se']",1.299573609837326
La2Ga2GeS8,2.475,2.413781730699581,"['La', 'Ga', 'Ge', 'S']",0.06121826930041908
Na2BaGeSe4,0.18,1.3275104623868668,"['Na', 'Ba', 'Ge', 'Se']",-1.1475104623868668
Tl2GeTe3,4.44,4.159046848731263,"['Tl', 'Ge', 'Te']",0.2809531512687373
GaGeTe,1.76,1.5587122647842455,"['Ga', 'Ge', 'Te']",0.20128773521575427
Pb0.94Se0.94Ge0.06Te0.06,2.31,2.3749140861341385,"['Pb', 'Se', 'Ge', 'Te']",-0.0649140861341384
Eu2Ga2GeS7,2.2,1.9173681149214,"['Eu', 'Ga', 'Ge', 'S']",0.28263188507860026
Ag0.5Pb1.75GeS4,1.45,2.069192705987005,"['Ag', 'Pb', 'Ge', 'S']",-0.619192705987005
Ga2GeTe3,1.59,1.4416074481730998,"['Ga', 'Ge', 'Te']",0.14839255182690025
GeS,3.7,3.6031294904846884,"['Ge', 'S']",0.09687050951531218
GeO2,1.37,0.6132938895185855,"['Ge', 'O']",0.7567061104814146
Na0.75Eu1.625GeSe4,3.1,2.8808849815536046,"['Na', 'Eu', 'Ge', 'Se']",0.21911501844639547
Cs4Pb4Ge5S16,2.7,1.6242699679685568,"['Cs', 'Pb', 'Ge', 'S']",1.0757300320314434
Rb2Hg3Ge2S8,3.58,2.5632564767580828,"['Rb', 'Hg', 'Ge', 'S']",1.0167435232419173
Pb0.99Se0.99Ge0.01Te0.01,0.68,0.653601404230697,"['Pb', 'Se', 'Ge', 'Te']",0.02639859576930304
Cs6Na2Zn4Ge42,1.94,2.414343834547536,"['Cs', 'Na', 'Zn', 'Ge']",-0.4743438345475362
Pb0.99Te0.99Ge0.01S0.01,1.6,1.3741372248373962,"['Pb', 'Te', 'Ge', 'S']",0.2258627751626039
Li0.5Pb1.75GeS4,2.0,2.7271932861665094,"['Li', 'Pb', 'Ge', 'S']",-0.7271932861665094
MgGeN2,2.19,2.1086452598868832,"['Mg', 'Ge', 'N']",0.08135474011311672
Pb0.85Ge0.15Te,2.04,1.7248275179454406,"['Pb', 'Ge', 'Te']",0.3151724820545594
Li2In2GeSe6,6.89,7.129141588174575,"['Li', 'In', 'Ge', 'Se']",-0.23914158817457576
CuInGeSe4,1.1749999999999998,1.2847320482564142,"['Cu', 'In', 'Ge', 'Se']",-0.10973204825641436
CdGeAs2,3.1630000000000003,3.1388040963495287,"['Cd', 'Ge', 'As']",0.024195903650471532
Pb0.85Se0.85Ge0.15Te0.15,0.37,0.3669856940015821,"['Pb', 'Se', 'Ge', 'Te']",0.003014305998417899
Na8Eu2Ge4S12,2.32,2.5350970146804146,"['Na', 'Eu', 'Ge', 'S']",-0.2150970146804148
Na2Hg3Ge2S8,0.85,0.8050431681290009,"['Na', 'Hg', 'Ge', 'S']",0.04495683187099908
Ge0.8Si0.2,6.1,5.300024374711737,"['Ge', 'Si']",0.7999756252882628
Cu2GeS3,2.6,3.3201164864661594,"['Cu', 'Ge', 'S']",-0.7201164864661593
