formula,actual,predicted,elements,residual
LiH3Se2O6,7.725,7.486773003630004,'Li' 'H' 'Se' 'O',0.23822699636999545
NH6PO4,3.08,2.77272372178774,'N' 'H' 'P' 'O',0.3072762782122602
BaReH9,0.54,0.4433907855373018,'Ba' 'Re' 'H',0.0966092144626982
LaMg2PdH7,0.88,1.061322059104752,'La' 'Mg' 'Pd' 'H',-0.18132205910475208
EuH2,1.95,1.4791236442457585,'Eu' 'H',0.4708763557542415
LaH2NO5,1.2,1.0300113971138076,'La' 'H' 'N' 'O',0.16998860288619233
Pb2B3O7.5H2,2.51,2.018088656499577,'Pb' 'B' 'O' 'H',0.4919113435004228
CdIO4H,3.26,3.3784926853245336,'Cd' 'I' 'O' 'H',-0.11849268532453384
H2Ti6O13,3.4410000000000003,3.909306655372535,'H' 'Ti' 'O',-0.4683066553725346
NH7Se2O6,2.04,2.1327154060615383,'N' 'H' 'Se' 'O',-0.09271540606153827
NaH3Se2O6,0.34,0.3478971660556338,'Na' 'H' 'Se' 'O',-0.007897166055633786
LiCa3As2H,3.97,4.548806075616784,'Li' 'Ca' 'As' 'H',-0.5788060756167837
Pb2BO4H,2.2,2.1614557306678703,'Pb' 'B' 'O' 'H',0.03854426933212984
KH3Se2O6,0.35,0.7066297954285288,'K' 'H' 'Se' 'O',-0.3566297954285288
KH2PO4,0.48,0.9727635047891692,'K' 'H' 'P' 'O',-0.4927635047891692
Ba2Sb7O14H,1.37,1.2864568671130572,'Ba' 'Sb' 'O' 'H',0.08354313288694293
Ba2B4O9H2,0.2,0.14129690464610878,'Ba' 'B' 'O' 'H',0.058703095353891226
GdH2NO5,1.5,1.519302217072803,'Gd' 'H' 'N' 'O',-0.019302217072803
CsH3Se2O6,2.0,2.3140349693913533,'Cs' 'H' 'Se' 'O',-0.3140349693913533
GaHSeO4,3.74,3.426499088076876,'Ga' 'H' 'Se' 'O',0.313500911923124
YH2NO5,4.185,4.730111474513366,'Y' 'H' 'N' 'O',-0.5451114745133667
Ba2B6O9(OH)4,6.53,4.718379282621751,'Ba' 'B' 'O' 'H',1.8116207173782488
EuLiH3,1.5,1.92693056448044,'Eu' 'Li' 'H',-0.42693056448044
Fe4I3O24H15,2.3,3.2992533073881103,'Fe' 'I' 'O' 'H',-0.9992533073881104
H6PtI6O20,2.26,3.239007845753432,'H' 'Pt' 'I' 'O',-0.9790078457534316
K2ReH9,5.71,3.6099968067051367,'K' 'Re' 'H',2.100003193294864
Pb2H2P2O6,3.97,4.1765368993362655,'Pb' 'H' 'P' 'O',-0.2065368993362653
Pb6B4O13H2,3.24,3.650681578212666,'Pb' 'B' 'O' 'H',-0.4106815782126656
RbH2I3O9,4.07,4.099555053588315,'Rb' 'H' 'I' 'O',-0.02955505358831445
RbH3Se2O6,4.84,5.09344266428479,'Rb' 'H' 'Se' 'O',-0.25344266428479045
VTeO5H,2.51,3.4845553214840628,'V' 'Te' 'O' 'H',-0.974555321484063
ZnB12O24H10,4.6,4.437602612673568,'Zn' 'B' 'O' 'H',0.16239738732643172
