formula,actual,predicted,elements,residual
K2Ho4Cu4S9,1.9266666666666663,1.7839293601350317,K Ho Cu S,0.14273730653163466
Cu3HoSe3,2.88,2.135928551183836,Cu Ho Se,0.7440714488161642
Ho2O3,1.04,1.1868254080115983,Ho O,-0.14682540801159827
Ho2Mo3O12,3.06,5.912875435618416,Ho Mo O,-2.852875435618416
CsHo9Cd4Se18,7.3,6.958112965883073,Cs Ho Cd Se,0.3418870341169269
EuHo2Se4,2.49,2.9823238678518766,Eu Ho Se,-0.4923238678518764
HoN,3.3,3.506613013818809,Ho N,-0.20661301381880914
Ho2HfS5,1.645,1.8053334072603648,Ho Hf S,-0.16033340726036482
Ba3Ho2P4S16,3.3,3.107081928889893,Ba Ho P S,0.1929180711101064
Cu3HoTe3,0.26,0.23657126636345185,Cu Ho Te,0.023428733636548155
Ho2GeS5,2.5,2.4085875242090498,Ho Ge S,0.09141247579095024
Ho2S3,0.5,2.536788113405489,Ho S,-2.036788113405489
HoIn3S6,1.23,1.2726923929364735,Ho In S,-0.04269239293647353
