formula,actual,predicted,elements,residual
Bi3F3I4O13,1.9,1.1475902682879546,'Bi' 'F' 'I' 'O',0.7524097317120453
SbI3,1.39,1.8345881278609384,'Sb' 'I',-0.4445881278609385
PbI2,2.6133333333333333,1.8112581521747568,'Pb' 'I',0.8020751811585765
CsI,0.17,0.2711034995323001,'Cs' 'I',-0.1011034995323001
Pb2BiS2I3,0.4866666666666666,0.9323888169447212,'Pb' 'Bi' 'S' 'I',-0.4457221502780546
KI,0.59,0.3418588755668548,'K' 'I',0.2481411244331452
AsSI,2.64,2.603467698685078,'As' 'S' 'I',0.03653230131492213
Bi2I4O13,0.66,0.9004774504323603,'Bi' 'I' 'O',-0.24047745043236024
Hg2I2Te2,6.53,7.017646974029588,'Hg' 'I' 'Te',-0.4876469740295874
LiI,1.26,2.221735859776884,'Li' 'I',-0.9617358597768836
Sb8O11I2,1.4,1.3278233962691086,'Sb' 'O' 'I',0.0721766037308913
Cd4As2I3,0.85,0.7863030347315867,'Cd' 'As' 'I',0.06369696526841329
Cs3Bi2I9,1.2,1.1610891364356617,'Cs' 'Bi' 'I',0.03891086356433826
BiI3,1.45,1.4895983611790748,'Bi' 'I',-0.039598361179074885
Sn2BiS2I3,1.5,0.8013587695963595,'Sn' 'Bi' 'S' 'I',0.6986412304036405
KV2I3O13,2.87,2.9317792710851025,'K' 'V' 'I' 'O',-0.0617792710851024
Bi6Cu3S10I,0.22,0.11509768976091285,'Bi' 'Cu' 'S' 'I',0.10490231023908717
BiSeI,0.28,0.23370994349809585,'Bi' 'Se' 'I',0.04629005650190418
BiTeI,3.7,3.43922911748322,'Bi' 'Te' 'I',0.26077088251678004
Ge40.0Te5.3I8,1.91,2.4714303872997023,'Ge' 'Te' 'I',-0.5614303872997024
BiOI,7.3,6.591026060696348,'Bi' 'O' 'I',0.708973939303652
NaI,1.2999999999999998,0.9394452467530864,'Na' 'I',0.36055475324691344
CaI2,1.06,1.0741911034153642,'Ca' 'I',-0.014191103415364116
CdIO3Cl,2.85,2.8083938292984154,'Cd' 'I' 'O' 'Cl',0.041606170701584684
Tl2TeI6,3.3100000000000005,3.1375008190518714,'Tl' 'Te' 'I',0.1724991809481291
Na2PtI6O18,0.68,0.750006906456667,'Na' 'Pt' 'I' 'O',-0.07000690645666696
CdIO4H,3.26,3.3784926853245336,'Cd' 'I' 'O' 'H',-0.11849268532453384
Ag2MoI4O14,0.44,0.565764884132494,'Ag' 'Mo' 'I' 'O',-0.12576488413249404
AsI3,0.68,0.6244147073097563,'As' 'I',0.0555852926902437
Rb3Sb2I9,3.46,3.5434342295124166,'Rb' 'Sb' 'I',-0.08343422951241664
AgI,0.9,1.218815027088584,'Ag' 'I',-0.31881502708858395
Bi2SI2O11,4.2,4.216087641655308,'Bi' 'S' 'I' 'O',-0.016087641655308182
AgPdI3O9,5.12,5.911878275863803,'Ag' 'Pd' 'I' 'O',-0.7918782758638025
K8Ce2I18O53,3.75,3.0227810832533235,'K' 'Ce' 'I' 'O',0.7272189167466765
Sb3O4I,2.47,2.7772355567989164,'Sb' 'O' 'I',-0.30723555679891623
Pb2SbS2I3,1.5,1.473851001026544,'Pb' 'Sb' 'S' 'I',0.026148998973456017
K3Bi2I9,1.23,1.2911641435230603,'K' 'Bi' 'I',-0.06116414352306033
Hg2I2,4.99,4.7282120795980065,'Hg' 'I',0.2617879204019937
MnI2,0.32,0.4804929120546557,'Mn' 'I',-0.1604929120546557
BiIO3F2,0.47,1.017667472396722,'Bi' 'I' 'O' 'F',-0.5476674723967221
SnI4,0.6,1.288241977666031,'Sn' 'I',-0.688241977666031
Rb2PtI6O18,2.15,1.940336559583156,'Rb' 'Pt' 'I' 'O',0.20966344041684384
Bi2SeI2O11,3.2,3.158180275599759,'Bi' 'Se' 'I' 'O',0.0418197244002414
Tl4CdI6,0.3620714285714285,0.7604035356308687,'Tl' 'Cd' 'I',-0.3983321070594402
In2Bi3Se7I,2.54,2.488650984457789,'In' 'Bi' 'Se' 'I',0.05134901554221116
Rb2TeI6,2.8,3.5444429881930235,'Rb' 'Te' 'I',-0.7444429881930237
Cs2PtI6O18,0.75,0.6762026363832634,'Cs' 'Pt' 'I' 'O',0.07379736361673661
InAsI,1.0,0.9825950475425128,'In' 'As' 'I',0.017404952457487192
Cs2TeI6,3.54,3.087501738007698,'Cs' 'Te' 'I',0.4524982619923019
K2AuI5O15,0.2775,0.2031957168625053,'K' 'Au' 'I' 'O',0.07430428313749468
LiIO3,3.0,2.3138090979355,'Li' 'I' 'O',0.6861909020644998
TeI4,4.32,4.321677542227927,'Te' 'I',-0.0016775422279264873
Cs2HgI2Cl2,0.51,1.2120070450076907,'Cs' 'Hg' 'I' 'Cl',-0.7020070450076907
CuI,0.205,0.13084866190625188,'Cu' 'I',0.0741513380937481
K2TeI6,1.0325,1.1884482272202792,'K' 'Te' 'I',-0.15594822722027926
Rb2CdBr2I2,0.66,2.2713770250308603,'Rb' 'Cd' 'Br' 'I',-1.61137702503086
