formula,actual,predicted,elements,residual
DyIn3S6,2.43,1.6150212845653569,Dy In S,0.8149787154346433
RbInSnS4,2.96,3.5787820699807726,Rb In Sn S,-0.6187820699807731
InSb0.2As0.8,2.48,2.085664493718808,In Sb As,0.394335506281192
EuIn2S4,1.0,1.3556219080010674,Eu In S,-0.3556219080010674
CdIn30Te46,2.16,1.8698776491877125,Cd In Te,0.29012235081228765
In4S5,1.18,0.9668109002689372,In S,0.2131890997310627
CuIn5S8,0.7,0.8402499352511352,Cu In S,-0.14024993525113527
CsCd4In5Se12,0.43,0.35224618418103937,Cs Cd In Se,0.07775381581896063
AgIn9Te14,1.95,2.1167406270567977,Ag In Te,-0.1667406270567977
AgInS2,2.46,2.5519611210291355,Ag In S,-0.09196112102913556
AgInTe2,1.5,1.5575083506898275,Ag In Te,-0.05750835068982753
CuInS2,2.3,2.399817762346144,Cu In S,-0.09981776234614426
InSb2Se4Br,2.4,1.569479618209639,In Sb Se Br,0.8305203817903608
In0.6As0.6Ga0.4P0.4,3.26,2.9982446795675326,In As Ga P,0.2617553204324672
AgIn5S8,0.88,0.9391234089073901,Ag In S,-0.059123408907389985
Ce4InSbSe9,1.79,1.487450550415728,Ce In Sb Se,0.302549449584272
CsInGeSe4,2.5,1.200426390162674,Cs In Ge Se,1.299573609837326
TbIn3S6,2.84,3.0986307868938905,Tb In S,-0.25863078689389063
BaIn2S4,1.092,0.8250274664471801,Ba In S,0.26697253355282
La4Cd4In2S13,4.9,3.54364054158202,La Cd In S,1.3563594584179803
Ag0.4Cd0.5In2.2Te4,5.743333333333332,4.193137182375777,Ag Cd In Te,1.5501961509575557
AgInO2,2.385,2.825428561285888,Ag In O,-0.44042856128588825
Ba5In4Te4S7,3.79,3.3144754916311836,Ba In Te S,0.475524508368816
LiInTe2,2.34,4.75804198704577,Li In Te,-2.41804198704577
Ba2AgInS4,2.81,2.969821610342533,Ba Ag In S,-0.15982161034253295
BaLa2In2S7,2.2,1.820458737006304,Ba La In S,0.3795412629936965
CuZn2InSe4,1.1414285714285717,1.6916038367393451,Cu Zn In Se,-0.5501752653107734
In0.6Al0.4P,0.365,0.7494998955984595,In Al P,-0.3844998955984595
CuIn3Se5,3.0,5.246367298368339,Cu In Se,-2.246367298368339
In4As5O12Br3,1.2,1.2066564204536103,In As O Br,-0.006656420453610368
In0.8P0.8Ga0.2As0.2,0.24,0.2325266355155673,In P Ga As,0.0074733644844326985
BaIn2Se4,1.93,1.8576711448380918,Ba In Se,0.0723288551619079
LiInS2,6.38,5.708083591713773,Li In S,0.6719164082862275
CdIn2S4,0.8,0.4961258094291434,Cd In S,0.30387419057085663
CuCd2InTe4,3.85,3.5028253048371862,Cu Cd In Te,0.34717469516281385
In0.99Al0.01P,2.64,3.0657955271629467,In Al P,-0.42579552716294655
In0.01P0.01Ga0.99As0.99,2.28,2.1242919479466007,In P Ga As,0.1557080520533991
