formula,actual,predicted,elements,residual
LaB6,1.08,1.1211459367877108,'La' 'B',-0.04114593678771072
La2BaTe5O14,0.54,0.3317529649419253,'La' 'Ba' 'Te' 'O',0.20824703505807474
La2Ga2GeS8,2.475,2.413781730699581,'La' 'Ga' 'Ge' 'S',0.06121826930041908
La2MnNiO6,0.94,0.8449100843649529,'La' 'Mn' 'Ni' 'O',0.0950899156350471
La4FeSb2S10,0.18,1.3671516771563557,'La' 'Fe' 'Sb' 'S',-1.1871516771563555
Ba3La3Cu6O14,4.77,5.193788493253718,'Ba' 'La' 'Cu' 'O',-0.4237884932537188
LaMg2PdH7,0.88,1.061322059104752,'La' 'Mg' 'Pd' 'H',-0.18132205910475208
LaGaS3,0.4,0.4809455624262835,'La' 'Ga' 'S',-0.08094556242628348
La2CoVO6,2.75,2.8551281895184366,'La' 'Co' 'V' 'O',-0.1051281895184366
La4Cd4In2S13,4.9,3.54364054158202,'La' 'Cd' 'In' 'S',1.3563594584179803
BaLa2In2S7,2.2,1.820458737006304,'Ba' 'La' 'In' 'S',0.3795412629936965
CaLa2S4,1.0533333333333337,1.2145541775318218,'Ca' 'La' 'S',-0.16122084419848814
Sr2Bi5.42La2.58S14,0.7,0.7682986146307922,'Sr' 'Bi' 'La' 'S',-0.06829861463079223
La3Sb0.33SiS7,2.13,1.7426020056536204,'La' 'Sb' 'Si' 'S',0.38739799434637945
LaH2NO5,1.2,1.0300113971138076,'La' 'H' 'N' 'O',0.16998860288619233
La4InSbSe9,2.18,2.1170306704107675,'La' 'In' 'Sb' 'Se',0.06296932958923263
Ca3La2Sn3S12,1.8,1.8161445002910712,'Ca' 'La' 'Sn' 'S',-0.016144500291071173
La2YbCuSe5,0.69,0.6838536886958169,'La' 'Yb' 'Cu' 'Se',0.006146311304183083
La2O2MnSe2,2.98,2.4353362022253835,'La' 'O' 'Mn' 'Se',0.5446637977746165
NaLaS3,2.58,2.426502548826937,'Na' 'La' 'S',0.15349745117306313
La2O2FeSe2,2.9,2.1731811974515605,'La' 'O' 'Fe' 'Se',0.7268188025484394
LaTaN2O,3.37,2.9556638807720272,'La' 'Ta' 'N' 'O',0.4143361192279729
LaSb,1.95,2.3819662695098085,'La' 'Sb',-0.4319662695098085
La2S3,2.575,2.4449027404138692,'La' 'S',0.13009725958613094
La2NiVO6,2.585,2.9348438384683275,'La' 'Ni' 'V' 'O',-0.3498438384683276
La2ZrS5,3.1,4.346799918611583,'La' 'Zr' 'S',-1.246799918611583
La2Se3,2.6,2.0932587901858017,'La' 'Se',0.5067412098141979
La3CuGeSe7,10.39,7.108702445785599,'La' 'Cu' 'Ge' 'Se',3.281297554214402
La3LuSe6,2.3,2.479379431530435,'La' 'Lu' 'Se',-0.17937943153043534
La3Te4,2.56,2.32983864337727,'La' 'Te',0.23016135662272985
LaCuOTe,1.8,1.7345168796065715,'La' 'Cu' 'O' 'Te',0.06548312039342853
La2Ge2Se7,1.2,1.659065670670442,'La' 'Ge' 'Se',-0.4590656706704421
Pb2Bi5.9La2.1S14,1.86,1.7410925291244848,'Pb' 'Bi' 'La' 'S',0.11890747087551536
NaLa2TaO6,2.63,2.508972006243523,'Na' 'La' 'Ta' 'O',0.12102799375647688
SrLa2S4,1.945,1.9748518918957647,'Sr' 'La' 'S',-0.02985189189576509
La2HfS5,1.775,1.9092922785408584,'La' 'Hf' 'S',-0.13429227854085846
LaCuOSe,2.86,2.5761318967259808,'La' 'Cu' 'O' 'Se',0.2838681032740191
LaCuOS,3.08,3.14651644686988,'La' 'Cu' 'O' 'S',-0.06651644686987979
La2O2ZnSe2,0.55,0.5742716271990229,'La' 'O' 'Zn' 'Se',-0.024271627199022868
La6Sb4S3O12,1.6,0.7517673326034613,'La' 'Sb' 'S' 'O',0.8482326673965388
La5Cu6.33O4S7,3.4,3.0476971808733966,'La' 'Cu' 'O' 'S',0.3523028191266033
LaInS2O,1.02,0.9096554366184622,'La' 'In' 'S' 'O',0.11034456338153786
