formula,actual,predicted,elements,residual
LiH3Se2O6,7.725,7.486773003630004,"['Li', 'H', 'Se', 'O']",0.23822699636999545
Li2ZnGeSe4,1.98,0.5870629024059024,"['Li', 'Zn', 'Ge', 'Se']",1.3929370975940976
LiGd5P2O13,0.11,0.44035343977375696,"['Li', 'Gd', 'P', 'O']",-0.33035343977375703
Li4Cs3B7O14,3.4,3.627979055923161,"['Li', 'Cs', 'B', 'O']",-0.22797905592316114
Li2CdSnS4,0.8,1.0131981752118673,"['Li', 'Cd', 'Sn', 'S']",-0.21319817521186726
Li2B12Si2,2.4,2.5551189525202442,"['Li', 'B', 'Si']",-0.15511895252024388
LiGaTe2,2.015,1.5931763852113632,"['Li', 'Ga', 'Te']",0.42182361478863695
LiInTe2,2.34,4.75804198704577,"['Li', 'In', 'Te']",-2.41804198704577
LiInS2,6.38,5.708083591713773,"['Li', 'In', 'S']",0.6719164082862275
LiI,1.26,2.221735859776884,"['Li', 'I']",-0.9617358597768836
Li6Al2Te8O22,0.23666666666666664,0.36535909762574015,"['Li', 'Al', 'Te', 'O']",-0.1286924309590735
LiGaS2,1.1,2.107910163244922,"['Li', 'Ga', 'S']",-1.007910163244922
Li0.5Pb1.75GeS4,2.0,2.7271932861665094,"['Li', 'Pb', 'Ge', 'S']",-0.7271932861665094
Li2In2GeSe6,6.89,7.129141588174575,"['Li', 'In', 'Ge', 'Se']",-0.23914158817457576
LiBr,2.09,2.9062028403891675,"['Li', 'Br']",-0.8162028403891677
LiZnN,3.08,3.421355336168003,"['Li', 'Zn', 'N']",-0.34135533616800284
Li9Ga13Te21O66,4.05,4.739295406078863,"['Li', 'Ga', 'Te', 'O']",-0.6892954060788634
Li6Ga2Te8O22,2.02,3.374985045480284,"['Li', 'Ga', 'Te', 'O']",-1.3549850454802836
LiMgAs,2.67,2.188852801382692,"['Li', 'Mg', 'As']",0.4811471986173079
Li2ZnSnS4,4.17,4.7874029500308355,"['Li', 'Zn', 'Sn', 'S']",-0.6174029500308365
Li4SrB2O6,0.161,0.06828767858755748,"['Li', 'Sr', 'B', 'O']",0.09271232141244252
Li4.5Mn0.5TeO6,0.46,0.4037613407798002,"['Li', 'Mn', 'Te', 'O']",0.056238659220199834
Li2B4O7,4.0,1.801996275488,"['Li', 'B', 'O']",2.1980037245120005
