formula,actual,predicted,elements,residual
CsLu7Se11,2.76,2.1088148944467644,"['Cs', 'Lu', 'Se']",0.6511851055532354
NdLuSe3,2.3,2.492905796842505,"['Nd', 'Lu', 'Se']",-0.19290579684250495
Pr1.29Lu0.71S3,2.7,2.4683295436856536,"['Pr', 'Lu', 'S']",0.23167045631434655
Cd4LuB3O10,4.091,3.8394919586254703,"['Cd', 'Lu', 'B', 'O']",0.2515080413745299
LuP,2.6,2.385938098778814,"['Lu', 'P']",0.21406190122118615
Lu2O3,3.4,3.7068100233082246,"['Lu', 'O']",-0.3068100233082247
Ce1.3Lu0.7S3,2.6,3.1544846463314853,"['Ce', 'Lu', 'S']",-0.5544846463314852
La3LuSe6,2.3,2.479379431530435,"['La', 'Lu', 'Se']",-0.17937943153043534
EuLu2Se4,2.3,1.2097189997000823,"['Eu', 'Lu', 'Se']",1.0902810002999177
CsLu7S11,4.895,6.0240996816343495,"['Cs', 'Lu', 'S']",-1.1290996816343501
Sm1.82Lu2.18Se6,0.3633333333333333,0.4298489584145973,"['Sm', 'Lu', 'Se']",-0.06651562508126402
LuIn3S6,2.333333333333333,2.530857576567401,"['Lu', 'In', 'S']",-0.19752424323406806
Nd1.33Lu0.67S3,1.43,1.4387694329033724,"['Nd', 'Lu', 'S']",-0.00876943290337251
Lu2CrS4,0.95,0.8602640388502056,"['Lu', 'Cr', 'S']",0.08973596114979432
PrLuSe3,3.28,3.202033378393183,"['Pr', 'Lu', 'Se']",0.07796662160681578
Ce3LuSe6,1.08,1.214592673843116,"['Ce', 'Lu', 'Se']",-0.13459267384311602
CsLuCoS3,1.34,1.4938328525414266,"['Cs', 'Lu', 'Co', 'S']",-0.15383285254142653
Gd1.87Lu2.13Se6,1.56,1.6093512612872267,"['Gd', 'Lu', 'Se']",-0.04935126128722666
TlCu3Lu2Se5,2.12,0.8946149919879609,"['Tl', 'Cu', 'Lu', 'Se']",1.2253850080120392
