formula,actual,predicted,elements,residual
CaMg2N2,0.13,1.2978460551796314,"['Ca', 'Mg', 'N']",-1.1678460551796317
Mg2Ge,0.6,0.8049708858822537,"['Mg', 'Ge']",-0.20497088588225376
LaMg2PdH7,0.88,1.061322059104752,"['La', 'Mg', 'Pd', 'H']",-0.18132205910475208
MgGeN2,2.19,2.1086452598868832,"['Mg', 'Ge', 'N']",0.08135474011311672
Ba3MgTa2O9,0.29,0.3981886871135005,"['Ba', 'Mg', 'Ta', 'O']",-0.10818868711350048
LiMgAs,2.67,2.188852801382692,"['Li', 'Mg', 'As']",0.4811471986173079
MgSiN2,2.0,2.28522580225052,"['Mg', 'Si', 'N']",-0.28522580225051986
Mg2Pb,2.01,1.912589469583895,"['Mg', 'Pb']",0.0974105304161048
Mg2Co,1.31,0.9047360799012436,"['Mg', 'Co']",0.4052639200987565
Mg2Sn,1.25,1.6042464334044435,"['Mg', 'Sn']",-0.3542464334044435
AsNMg3,2.15,2.8715487878350086,"['As', 'N', 'Mg']",-0.7215487878350091
Mg2GeSe4,2.95,2.153507482489883,"['Mg', 'Ge', 'Se']",0.7964925175101172
Na4MgSi2Se6,2.21,2.5234949710327017,"['Na', 'Mg', 'Si', 'Se']",-0.3134949710327017
MgO,2.0,2.165310057996092,"['Mg', 'O']",-0.16531005799609175
LiMgBi,1.92,2.065555276400258,"['Li', 'Mg', 'Bi']",-0.14555527640025812
La3Mg0.5SnS14,2.33,2.033113579169945,"['La', 'Mg', 'Sn', 'S']",0.296886420830055
MgTe,3.3,3.4162369445882934,"['Mg', 'Te']",-0.1162369445882936
MgSe,2.04,2.386234450583517,"['Mg', 'Se']",-0.3462344505835171
Mg3B50C8,0.67,0.8029242927719071,"['Mg', 'B', 'C']",-0.1329242927719071
Na4MgGe2Se6,1.44,1.5668749100303518,"['Na', 'Mg', 'Ge', 'Se']",-0.1268749100303519
Cs2MgGe3Se8,0.6588888888888889,1.0087830907434796,"['Cs', 'Mg', 'Ge', 'Se']",-0.34989420185459075
Mg3As2,3.67,4.103907310290838,"['Mg', 'As']",-0.433907310290838
Cs2MgSn3Se8,1.92,1.908699513552218,"['Cs', 'Mg', 'Sn', 'Se']",0.011300486447781921
Cu2MgGeS4,2.36,2.006933339874561,"['Cu', 'Mg', 'Ge', 'S']",0.3530666601254389
Cu2MgSiS4,3.2,2.4876759155911508,"['Cu', 'Mg', 'Si', 'S']",0.7123240844088494
LiMgN,3.2,2.6647014694744047,"['Li', 'Mg', 'N']",0.5352985305255955
Mg2Si,2.27,1.5500648999443705,"['Mg', 'Si']",0.7199351000556296
Mg3N2,2.8,3.1510895831821664,"['Mg', 'N']",-0.3510895831821665
Mg3P2,1.4,2.5209202233851857,"['Mg', 'P']",-1.1209202233851858
Mg3Sb2,0.81,1.0220934113123938,"['Mg', 'Sb']",-0.2120934113123938
Mg5B3O9F,5.63,7.087701491479205,"['Mg', 'B', 'O', 'F']",-1.4577014914792052
MgF2,11.1,9.784490682892024,"['Mg', 'F']",1.3155093171079757
SrMgSnSe4,2.0,2.4939381745664906,"['Sr', 'Mg', 'Sn', 'Se']",-0.4939381745664906
