formula,actual,predicted,elements,residual
Pb0.9Mn0.1Te,0.2788333333333333,0.2544849749071698,'Pb' 'Mn' 'Te',0.024348358426163508
La2MnNiO6,0.94,0.8449100843649529,'La' 'Mn' 'Ni' 'O',0.0950899156350471
K10Mn4Sn4S17,1.04,1.3434781607403448,'K' 'Mn' 'Sn' 'S',-0.3034781607403447
Sm2Mn3Sb4S12,0.135,0.12064237885664132,'Sm' 'Mn' 'Sb' 'S',0.014357621143358687
Pb0.95Mn0.05Te,2.34,2.3652773277970853,'Pb' 'Mn' 'Te',-0.02527732779708547
La2O2MnSe2,2.98,2.4353362022253835,'La' 'O' 'Mn' 'Se',0.5446637977746165
Li4.5Mn0.5TeO6,0.46,0.4037613407798002,'Li' 'Mn' 'Te' 'O',0.05623865922019984
CsMn4Ga5Te12,7.9499999999999975,7.887685674727484,'Cs' 'Mn' 'Ga' 'Te',0.06231432527251358
Mn3Ta2O8,1.95,2.137688294144743,'Mn' 'Ta' 'O',-0.18768829414474308
MnP4,2.13,2.255110984519268,'Mn' 'P',-0.12511098451926814
CsMn4In5Se12,0.75,1.5827495583640885,'Cs' 'Mn' 'In' 'Se',-0.8327495583640883
PbMnIn2S5,0.965,0.9303479481541056,'Pb' 'Mn' 'In' 'S',0.03465205184589437
MnI2,0.32,0.4804929120546557,'Mn' 'I',-0.1604929120546557
MnF2,0.6166666666666667,0.494941596803014,'Mn' 'F',0.12172506986365272
Li2MnGeS4,0.7,1.0833963704866365,'Li' 'Mn' 'Ge' 'S',-0.38339637048663655
MnSi,1.04,0.9360907254223862,'Mn' 'Si',0.1039092745776138
Mn2P2Se6,2.54,2.305542581776021,'Mn' 'P' 'Se',0.2344574182239789
MnTe9,5.55,5.173732502359454,'Mn' 'Te',0.376267497640546
CeMn0.5OSe,4.17,2.800749763490839,'Ce' 'Mn' 'O' 'Se',1.3692502365091608
MnSb2O4,1.38,1.3587507199541422,'Mn' 'Sb' 'O',0.021249280045857688
K2MnSn2Se6,3.76,3.2606563722541435,'K' 'Mn' 'Sn' 'Se',0.4993436277458563
MnTe,3.3,3.158420414918292,'Mn' 'Te',0.14157958508170765
MnVTe2O8,2.52,3.1657882420014216,'Mn' 'V' 'Te' 'O',-0.6457882420014216
Mn15Si26,2.37,2.4464526155867743,'Mn' 'Si',-0.07645261558677419
Mn2.04Gd1.47In0.49S5,1.45,1.4681922007926391,'Mn' 'Gd' 'In' 'S',-0.018192200792638943
MnSb2Se4,2.64,2.1239395437330972,'Mn' 'Sb' 'Se',0.5160604562669029
Gd2Mn4S7,1.727,2.0741928236820497,'Gd' 'Mn' 'S',-0.3471928236820496
MnO2,1.4,2.1642978532822026,'Mn' 'O',-0.7642978532822027
Mn11Si19,0.645,0.5990979635832065,'Mn' 'Si',0.04590203641679347
Mn1.95GdIn1.05S5,1.81,1.6947324232879897,'Mn' 'Gd' 'In' 'S',0.11526757671201038
MnAl3,2.0,2.022157509953944,'Mn' 'Al',-0.022157509953943944
MnO,1.3,1.4017795543981482,'Mn' 'O',-0.10177955439814812
Pb2MnO4,0.74,0.5854213417944596,'Pb' 'Mn' 'O',0.1545786582055404
RbMn4In5Se12,1.8166666666666664,1.1316569901636502,'Rb' 'Mn' 'In' 'Se',0.6850096765030163
CsMn4In5Te12,1.48,1.293872208076973,'Cs' 'Mn' 'In' 'Te',0.18612779192302709
CsYbMnSe3,1.5950000000000002,1.3214161753828044,'Cs' 'Yb' 'Mn' 'Se',0.27358382461719577
K2MnSnSe4,1.7,1.6542857819393042,'K' 'Mn' 'Sn' 'Se',0.04571421806069576
MnSe,2.5,1.342052999518554,'Mn' 'Se',1.157947000481446
RbMn4Ga5Te12,1.53,1.3077412036432428,'Rb' 'Mn' 'Ga' 'Te',0.22225879635675727
