formula,actual,predicted,elements,residual
RbMoPO6,1.95,1.983364134443006,"['Rb', 'Mo', 'P', 'O']",-0.03336413444300601
Na2Mo2Se2O11,0.45,1.2547751296441714,"['Na', 'Mo', 'Se', 'O']",-0.8047751296441714
Zn2MoTeO7,1.1827777777777777,1.2888956549948585,"['Zn', 'Mo', 'Te', 'O']",-0.10611787721708077
CeFMoO4,5.6,5.940469510901692,"['Ce', 'F', 'Mo', 'O']",-0.3404695109016922
CdMoSb4O10,0.46,0.9746253506066846,"['Cd', 'Mo', 'Sb', 'O']",-0.5146253506066847
MoO3,2.0,3.226465093636504,"['Mo', 'O']",-1.226465093636504
K2Mo2Se2O11,2.9,2.7765007247297984,"['K', 'Mo', 'Se', 'O']",0.12349927527020155
Dy2Mo3O12,0.7,1.653419555023559,"['Dy', 'Mo', 'O']",-0.9534195550235592
Ho2Mo3O12,3.06,5.912875435618416,"['Ho', 'Mo', 'O']",-2.852875435618416
YClMoO4,2.53,2.367510311212383,"['Y', 'Cl', 'Mo', 'O']",0.1624896887876166
Bi2Mo2Se2O13,0.32,0.3360274253333815,"['Bi', 'Mo', 'Se', 'O']",-0.016027425333381473
Gd2Mo3O12,4.125,3.5941905044292897,"['Gd', 'Mo', 'O']",0.5308094955707103
Zn2MoSeO7,1.25,0.21375432338788602,"['Zn', 'Mo', 'Se', 'O']",1.036245676612114
Tb2Mo3O12,10.4,10.196709186111127,"['Tb', 'Mo', 'O']",0.2032908138888736
Ag2MoI4O14,0.44,0.565764884132494,"['Ag', 'Mo', 'I', 'O']",-0.12576488413249404
YFMoO4,2.31,2.2129433930993683,"['Y', 'F', 'Mo', 'O']",0.09705660690063178
Li6Mo6Se6O33,0.1,0.42170772931767697,"['Li', 'Mo', 'Se', 'O']",-0.321707729317677
BaTeMo2O9,2.3,3.3891140776862136,"['Ba', 'Te', 'Mo', 'O']",-1.0891140776862138
Ce3MoO7,2.77,2.0862761990425,"['Ce', 'Mo', 'O']",0.6837238009575001
MoSe2,1.1,1.7347520707957198,"['Mo', 'Se']",-0.6347520707957197
Rb4Mo5P2O22,0.27,0.2825044695682921,"['Rb', 'Mo', 'P', 'O']",-0.012504469568292098
Rb3NaMo2O8,1.99,2.505141195797901,"['Rb', 'Na', 'Mo', 'O']",-0.5151411957979011
PrFMoO4,3.3,3.0202824536938326,"['Pr', 'F', 'Mo', 'O']",0.27971754630616674
ZnMoSb2O7,2.815,2.640115444352527,"['Zn', 'Mo', 'Sb', 'O']",0.17488455564747296
La3FMo4O16,0.53,1.6877689969054206,"['La', 'F', 'Mo', 'O']",-1.1577689969054206
Li2MoTeO6,0.65,0.8079737766675823,"['Li', 'Mo', 'Te', 'O']",-0.15797377666758228
Na3MoO4F,2.932183333333333,2.486276859168358,"['Na', 'Mo', 'O', 'F']",0.4459064741649752
MoTe2,0.7,0.7073675780123683,"['Mo', 'Te']",-0.007367578012368314
Pb6B2MoO12,0.72,0.8833940699797314,"['Pb', 'B', 'Mo', 'O']",-0.16339406997973138
LiMoIO6,1.0,0.9706383798367302,"['Li', 'Mo', 'I', 'O']",0.02936162016326982
Er2Mo3O12,1.37,0.9912381785635364,"['Er', 'Mo', 'O']",0.37876182143646375
Cd3MoTe2O10,2.2,2.3115095317815966,"['Cd', 'Mo', 'Te', 'O']",-0.11150953178159684
Bi2Mo3O12,2.9,2.605324864793598,"['Bi', 'Mo', 'O']",0.2946751352064019
La20Mo12O63Cl4,2.4,2.852317807048532,"['La', 'Mo', 'O', 'Cl']",-0.4523178070485319
La2MoO5,0.745,2.7016813446872985,"['La', 'Mo', 'O']",-1.9566813446872984
Na3MoO4Cl,4.69,4.581701871209216,"['Na', 'Mo', 'O', 'Cl']",0.10829812879078472
Na5GdMo4O16,3.3760000000000003,3.764232599325336,"['Na', 'Gd', 'Mo', 'O']",-0.388232599325336
NdFMoO4,3.66,3.64199783091544,"['Nd', 'F', 'Mo', 'O']",0.018002169084560204
Rb2Mo3Se3O16,3.1,3.2290919245422707,"['Rb', 'Mo', 'Se', 'O']",-0.1290919245422706
