formula,actual,predicted,elements,residual
AlN,6.89,6.033343363424248,'Al' 'N',0.8566566365757513
Ce15B8N25,6.074,5.681728026949598,'Ce' 'B' 'N',0.3922719730504021
Ta1.33Zr0.67O0.12N3.03,2.4,2.677748041532565,'Ta' 'Zr' 'O' 'N',-0.2777480415325653
CaMg2N2,0.13,1.2978460551796314,'Ca' 'Mg' 'N',-1.1678460551796317
NH6PO4,3.08,2.77272372178774,'N' 'H' 'P' 'O',0.3072762782122602
Ca3B2N4,3.7,4.067567924595266,'Ca' 'B' 'N',-0.36756792459526544
MgGeN2,2.19,2.1086452598868832,'Mg' 'Ge' 'N',0.08135474011311672
Ta0.67Zr1.33O0.42N2.61,0.58,1.1841429859740042,'Ta' 'Zr' 'O' 'N',-0.6041429859740043
LaH2NO5,1.2,1.0300113971138076,'La' 'H' 'N' 'O',0.16998860288619233
LiZnN,3.08,3.421355336168003,'Li' 'Zn' 'N',-0.34135533616800284
PrBN2,2.67,2.501518107884803,'Pr' 'B' 'N',0.1684818921151967
Ba3Ta5O14N,2.4163333333333337,2.3147839518104805,'Ba' 'Ta' 'O' 'N',0.1015493815228532
MgSiN2,2.0,2.28522580225052,'Mg' 'Si' 'N',-0.28522580225051986
GaN,0.366,0.7636636470315405,'Ga' 'N',-0.39766364703154056
DyN,6.805,5.574949963985153,'Dy' 'N',1.2300500360148463
PrTaN2O,3.34,2.9986514004838565,'Pr' 'Ta' 'N' 'O',0.3413485995161434
Bi3Se2NO11,2.06,2.0244341699289574,'Bi' 'Se' 'N' 'O',0.03556583007104264
ScN,1.07,1.757574595545071,'Sc' 'N',-0.6875745955450709
NiC2N2,0.5555,0.8423889106477755,'Ni' 'C' 'N',-0.28688891064777555
LaTaN2O,3.37,2.9556638807720272,'La' 'Ta' 'N' 'O',0.4143361192279729
Li8GeN4,2.8,2.4482691404526005,'Li' 'Ge' 'N',0.3517308595473993
NH7Se2O6,2.04,2.1327154060615383,'N' 'H' 'Se' 'O',-0.09271540606153827
Ta0.67Zr1.33O1.89N1.63,0.55,0.5118416771223222,'Ta' 'Zr' 'O' 'N',0.038158322877677835
Ca3N2,1.95,1.505426547655179,'Ca' 'N',0.4445734523448209
ZnGeN2,1.07,0.9317530754851928,'Zn' 'Ge' 'N',0.13824692451480725
BaTaO2N,2.6,2.028675839395464,'Ba' 'Ta' 'O' 'N',0.5713241606045361
AsNMg3,2.15,2.871548787835009,'As' 'N' 'Mg',-0.7215487878350091
CeN,3.987,3.5692871904872003,'Ce' 'N',0.41771280951279977
EuN,0.4,0.6185486918676428,'Eu' 'N',-0.2185486918676428
Li3ScN2,0.26,0.14037441750214266,'Li' 'Sc' 'N',0.11962558249785735
TaN,1.33,1.7703469595335957,'Ta' 'N',-0.4403469595335956
CuN3,2.1,1.9015629938741911,'Cu' 'N',0.19843700612580886
AgN3,1.66,1.6536183962218702,'Ag' 'N',0.006381603778129685
Pb2N2SeO9,0.47,0.21913042952084272,'Pb' 'N' 'Se' 'O',0.2508695704791573
CaTaO2N,2.2,2.9340998117058885,'Ca' 'Ta' 'O' 'N',-0.7340998117058883
ErN,2.6,2.447416646404915,'Er' 'N',0.15258335359508512
Pb3B3O10N,0.76,0.6344737774580809,'Pb' 'B' 'O' 'N',0.12552622254191914
NaNO2,3.1,2.8421115801425545,'Na' 'N' 'O',0.2578884198574456
GdH2NO5,1.5,1.519302217072803,'Gd' 'H' 'N' 'O',-0.019302217072803
Be3N2,2.35,2.0364969115256857,'Be' 'N',0.3135030884743144
TaON,2.5,3.0437345936712563,'Ta' 'O' 'N',-0.5437345936712563
SrTaO2N,2.625,2.23756960710288,'Sr' 'Ta' 'O' 'N',0.3874303928971199
CuNiC4N4,5.42,5.763277523237528,'Cu' 'Ni' 'C' 'N',-0.3432775232375285
TlN,0.8933333333333334,1.6043353498253152,'Tl' 'N',-0.7110020164919818
Si3N4,1.54,1.6216702188222696,'Si' 'N',-0.08167021882226955
GdN,3.8,5.288604510120972,'Gd' 'N',-1.4886045101209726
TlN3,2.45,2.638582909884416,'Tl' 'N',-0.1885829098844156
CeTaN2O,2.4,2.0728303177327048,'Ce' 'Ta' 'N' 'O',0.32716968226729515
YH2NO5,4.185,4.730111474513366,'Y' 'H' 'N' 'O',-0.5451114745133667
Ta0.67Zr1.33O1.38N1.97,1.43,0.8959816713653499,'Ta' 'Zr' 'O' 'N',0.53401832863465
HoN,3.3,3.506613013818809,'Ho' 'N',-0.20661301381880914
PbN6,0.7,1.747141448033533,'Pb' 'N',-1.047141448033533
YN,4.75,4.547959630173682,'Y' 'N',0.20204036982631826
InN,2.05,2.864448374180329,'In' 'N',-0.8144483741803291
BiTeNO6,3.62,3.3936037981447638,'Bi' 'Te' 'N' 'O',0.22639620185523635
LaNbON2,1.7,2.4602170641273027,'La' 'Nb' 'O' 'N',-0.7602170641273027
LiMgN,3.2,2.6647014694744047,'Li' 'Mg' 'N',0.5352985305255955
Mg3N2,2.8,3.1510895831821664,'Mg' 'N',-0.3510895831821665
ScTa2O5N,2.67,3.13175303490112,'Sc' 'Ta' 'O' 'N',-0.4617530349011201
TaZrN3,1.72,1.9671435790385736,'Ta' 'Zr' 'N',-0.24714357903857365
