formula,actual,predicted,elements,residual
NaGe3P3,2.64,2.4957122550754587,'Na' 'Ge' 'P',0.14428774492454144
Na2TeSe3,1.0,0.9495747945817908,'Na' 'Te' 'Se',0.05042520541820916
Na7Co2O6,3.2,3.2024447293661336,'Na' 'Co' 'O',-0.00244472936613338
Cs6.40Na1.60Ga8Ge38,1.2,0.814652871698625,'Cs' 'Na' 'Ga' 'Ge',0.38534712830137496
Na2Mo2Se2O11,0.45,1.2547751296441714,'Na' 'Mo' 'Se' 'O',-0.8047751296441714
NaSbP2S6,0.3,0.1553021085895221,'Na' 'Sb' 'P' 'S',0.1446978914104779
Na2BaGeSe4,0.18,1.3275104623868668,'Na' 'Ba' 'Ge' 'Se',-1.1475104623868668
NaCd4P3,1.3,1.4345247202297724,'Na' 'Cd' 'P',-0.13452472022977235
Na2B6O9F2,3.1,2.8185155700037665,'Na' 'B' 'O' 'F',0.2814844299962336
Na0.75Eu1.625GeSe4,3.1,2.8808849815536046,'Na' 'Eu' 'Ge' 'Se',0.21911501844639547
Na2Hg3Sn2S8,2.0,1.7260276638044427,'Na' 'Hg' 'Sn' 'S',0.2739723361955573
Cs6Na2Zn4Ge42,1.94,2.414343834547536,'Cs' 'Na' 'Zn' 'Ge',-0.4743438345475362
NaAsSe2,2.22,2.224690595070937,'Na' 'As' 'Se',-0.00469059507093661
Na8Eu2Ge4S12,2.32,2.5350970146804146,'Na' 'Eu' 'Ge' 'S',-0.2150970146804148
Na3ZnB5O10,2.58,2.3739416326773406,'Na' 'Zn' 'B' 'O',0.20605836732265947
Na2Hg3Ge2S8,0.85,0.8050431681290009,'Na' 'Hg' 'Ge' 'S',0.04495683187099908
Na2EuGeSe4,0.8,0.6642404687489121,'Na' 'Eu' 'Ge' 'Se',0.13575953125108794
NaIn3S5,1.3,1.3010450366692201,'Na' 'In' 'S',-0.0010450366692200674
Na8CsB21O36,4.5,2.650826379405151,'Na' 'Cs' 'B' 'O',1.8491736205948488
NaI,1.2999999999999998,0.9394452467530864,'Na' 'I',0.36055475324691344
NaInSnS4,2.0,1.335002642620287,'Na' 'In' 'Sn' 'S',0.664997357379713
NaB15,4.300000000000002,3.6986004334724254,'Na' 'B',0.6013995665275753
NaLaS3,2.58,2.426502548826937,'Na' 'La' 'S',0.15349745117306313
