formula,actual,predicted,elements,residual
K4Ba2Nb4S22,0.29,0.9576653972943046,"['K', 'Ba', 'Nb', 'S']",-0.6676653972943045
Rb2CuNbS4,2.34,4.046317441514047,"['Rb', 'Cu', 'Nb', 'S']",-1.7063174415140467
Pb2Nb2Se4O15,2.06,1.4860208985425327,"['Pb', 'Nb', 'Se', 'O']",0.5739791014574673
Cs2CuNbSe4,5.47,4.612453467046974,"['Cs', 'Cu', 'Nb', 'Se']",0.8575465329530259
Nb2O5,2.16,2.0236075988194644,"['Nb', 'O']",0.13639240118053575
Cs3Nb9Te4O32,0.69,0.6715306346168548,"['Cs', 'Nb', 'Te', 'O']",0.018469365383145142
NbSe2,1.254725,1.0237596442235857,"['Nb', 'Se']",0.2309653557764144
CsNbSe2O7,1.0,2.579428130655719,"['Cs', 'Nb', 'Se', 'O']",-1.5794281306557192
RbNb3Te2O12,0.16,0.1284646493058741,"['Rb', 'Nb', 'Te', 'O']",0.03153535069412591
AgNb2PS10,4.065,4.417744300690577,"['Ag', 'Nb', 'P', 'S']",-0.35274430069057683
NaNb2PS10,7.261666666666668,7.738054629321217,"['Na', 'Nb', 'P', 'S']",-0.4763879626545498
K6Nb2.97Ta1.03S25,1.69,1.4438294354682908,"['K', 'Nb', 'Ta', 'S']",0.2461705645317092
Ba3Nb2Se9,2.04,2.19112833322892,"['Ba', 'Nb', 'Se']",-0.15112833322891994
K4Nb2S11,1.95,1.671507297021452,"['K', 'Nb', 'S']",0.27849270297854806
LiBi4Nb3O12,1.0,1.0203714801080137,"['Li', 'Bi', 'Nb', 'O']",-0.020371480108013703
Tl3CuNb2Se12,1.45,1.2863426952107089,"['Tl', 'Cu', 'Nb', 'Se']",0.16365730478929108
ScTiNbO6,2.2,1.4904609540843294,"['Sc', 'Ti', 'Nb', 'O']",0.7095390459156707
Rb2CuNbSe4,1.5390000000000001,1.2993855657050115,"['Rb', 'Cu', 'Nb', 'Se']",0.2396144342949884
Nb6VSb3O25,2.18,2.1246389023981016,"['Nb', 'V', 'Sb', 'O']",0.055361097601898564
K3Nb2AsSe11,3.27,2.454822936475677,"['K', 'Nb', 'As', 'Se']",0.815177063524323
KNb3Se2O12,1.9,2.106608070794165,"['K', 'Nb', 'Se', 'O']",-0.20660807079416527
K2CuNbSe4,6.28,5.374876922102244,"['K', 'Cu', 'Nb', 'Se']",0.9051230778977564
K6Nb1.07Ta2.93S22,1.4,1.4047315639639892,"['K', 'Nb', 'Ta', 'S']",-0.004731563963989327
CuNbO3,1.375,1.160664056250735,"['Cu', 'Nb', 'O']",0.2143359437492649
Rb3Nb2AsSe11,3.8,3.579089299483937,"['Rb', 'Nb', 'As', 'Se']",0.22091070051606287
Rb2BaNb2Se11,2.14,2.380326795227101,"['Rb', 'Ba', 'Nb', 'Se']",-0.2403267952271011
K2CuNbS4,3.0,1.887946740687996,"['K', 'Cu', 'Nb', 'S']",1.112053259312004
KNb3Te2O12,0.45,0.6112115481693099,"['K', 'Nb', 'Te', 'O']",-0.16121154816930988
RbNb4Br11,2.35,2.69774762756572,"['Rb', 'Nb', 'Br']",-0.34774762756571986
RbNbSe2O7,0.8,1.2066235644425962,"['Rb', 'Nb', 'Se', 'O']",-0.4066235644425962
Cu3NbSe4,0.64,2.019729008780546,"['Cu', 'Nb', 'Se']",-1.3797290087805458
Ag2NbP2S8,2.02,2.215603612801712,"['Ag', 'Nb', 'P', 'S']",-0.1956036128017118
Cs3Nb2AsSe11,1.35,1.5649109540525463,"['Cs', 'Nb', 'As', 'Se']",-0.21491095405254626
CuNb3O8,1.47,1.86064954364468,"['Cu', 'Nb', 'O']",-0.3906495436446797
KNbSe2O7,4.0,3.862205610274483,"['K', 'Nb', 'Se', 'O']",0.13779438972551716
LaNbON2,1.7,2.4602170641273027,"['La', 'Nb', 'O', 'N']",-0.7602170641273027
LiNbO3,4.066666666666666,3.6720689824711563,"['Li', 'Nb', 'O']",0.39459768419551056
Na2Nb4Se4O19,3.56,3.3093480371919357,"['Na', 'Nb', 'Se', 'O']",0.2506519628080648
NaNbSe2O7,3.725,3.624716317121166,"['Na', 'Nb', 'Se', 'O']",0.10028368287883403
NbIrSn,0.28,0.6266124394494135,"['Nb', 'Ir', 'Sn']",-0.34661243944941345
Tl4Nb2S11,1.8,1.5005228178704293,"['Tl', 'Nb', 'S']",0.29947718212957075
