formula,actual,predicted,elements,residual
NdCuOS,0.14,0.19357973955004404,'Nd' 'Cu' 'O' 'S',-0.053579739550044025
NdLuSe3,2.3,2.492905796842505,'Nd' 'Lu' 'Se',-0.19290579684250486
Nd2Se3,0.42,0.3787602349314891,'Nd' 'Se',0.0412397650685109
Nd3Te4,0.66,0.7002167040211855,'Nd' 'Te',-0.04021670402118549
NdAs,2.7,2.6002165327797098,'Nd' 'As',0.0997834672202904
Nd2ZrS5,6.53,5.853422757012848,'Nd' 'Zr' 'S',0.6765772429871522
Nd4InSbSe9,0.8,0.8292884822905133,'Nd' 'In' 'Sb' 'Se',-0.02928848229051328
Ba2GaNdSe5,0.85,0.8775623217199264,'Ba' 'Ga' 'Nd' 'Se',-0.027562321719926453
Nd2Sn3Se9,2.28,2.3302345592886864,'Nd' 'Sn' 'Se',-0.05023455928868659
NdB6,0.8449999999999999,1.0691823799709141,'Nd' 'B',-0.22418237997091428
Nd2HfS5,0.3,0.3763802997205685,'Nd' 'Hf' 'S',-0.07638029972056852
Nd4Ge3S12,1.93,2.311295318266969,'Nd' 'Ge' 'S',-0.3812953182669692
Ba2NdGaS5,4.9,4.478169758008616,'Ba' 'Nd' 'Ga' 'S',0.4218302419913842
Ba2InNdTe5,1.265,1.0277514703176085,'Ba' 'In' 'Nd' 'Te',0.2372485296823914
Nd2O3,0.55,0.92723398911384,'Nd' 'O',-0.37723398911384
SrNd2S4,3.0,2.473062701284401,'Sr' 'Nd' 'S',0.5269372987155991
K2Nd2Ti3O10,0.45,0.4262355822498689,'K' 'Nd' 'Ti' 'O',0.023764417750131103
Nd1.33Lu0.67S3,1.43,1.4387694329033724,'Nd' 'Lu' 'S',-0.00876943290337251
NdF3,5.3,4.8051911766633015,'Nd' 'F',0.4948088233366983
Nd2YbCuS5,1.2,1.339619855490982,'Nd' 'Yb' 'Cu' 'S',-0.139619855490982
NdTe2,0.3,0.7238190687616868,'Nd' 'Te',-0.4238190687616868
Nd2Te3,0.86,1.0240353628267531,'Nd' 'Te',-0.16403536282675313
Ba2InNdSe5,2.35,1.7204999112004933,'Ba' 'In' 'Nd' 'Se',0.6295000887995068
CaNd2S4,2.7,2.4569947549691413,'Ca' 'Nd' 'S',0.24300524503085885
Nd10OSe14,1.98,2.0072608633543574,'Nd' 'O' 'Se',-0.0272608633543574
Nd2S3,2.65,2.365484341352808,'Nd' 'S',0.2845156586471917
NdCuOTe,2.26,2.2865153118102306,'Nd' 'Cu' 'O' 'Te',-0.026515311810230813
NdFMoO4,3.66,3.64199783091544,'Nd' 'F' 'Mo' 'O',0.018002169084560204
NdIn3S6,1.15,1.101297307181678,'Nd' 'In' 'S',0.04870269281832185
