formula,actual,predicted,elements,residual
La2MnNiO6,0.94,0.8449100843649529,La Mn Ni O,0.0950899156350471
ZrNiSb,2.0,3.363111741346499,Zr Ni Sb,-1.3631117413464988
TiNiSb,0.51,0.4437565153974088,Ti Ni Sb,0.06624348460259122
NiC2N2,0.5555,0.8423889106477755,Ni C N,-0.28688891064777555
ScNiSb,0.63,1.5332808150409731,Sc Ni Sb,-0.9032808150409732
La2NiVO6,2.585,2.9348438384683275,La Ni V O,-0.3498438384683276
NiO,2.15,1.4042552560970192,Ni O,0.7457447439029807
YNiSb,5.4,5.2707296058731465,Y Ni Sb,0.12927039412685382
NiP2,3.88,3.676730641587622,Ni P,0.2032693584123777
CuNiC4N4,5.42,5.7632775232375275,Cu Ni C N,-0.3432775232375285
NiS2,3.63,2.733012999570933,Ni S,0.8969870004290668
Ni2InVO6,1.92,1.853860380367788,Ni In V O,0.06613961963221192
Ni2Te3O8,3.84,2.7273274083904617,Ni Te O,1.112672591609538
NiTe,0.23,0.6792748932020309,Ni Te,-0.44927489320203096
