formula,actual,predicted,elements,residual
VO2,3.26,2.8860515022992086,"['V', 'O']",0.3739484977007912
Ag2O,0.12333333333333335,0.12148002993899175,"['Ag', 'O']",0.0018533033943416016
Cd4GdB3O10,1.08,0.8536612060325393,"['Cd', 'Gd', 'B', 'O']",0.2263387939674608
Rb3CdB5O10,2.0,1.5845671364019704,"['Rb', 'Cd', 'B', 'O']",0.4154328635980296
PdO,2.76,2.8631312739581727,"['Pd', 'O']",-0.1031312739581729
RbMoPO6,1.95,1.983364134443006,"['Rb', 'Mo', 'P', 'O']",-0.03336413444300601
Cs2Cd3B16O28,1.18,1.0019668939428623,"['Cs', 'Cd', 'B', 'O']",0.17803310605713762
LiH3Se2O6,7.725,7.486773003630004,"['Li', 'H', 'Se', 'O']",0.23822699636999545
Na7Co2O6,3.2,3.2024447293661336,"['Na', 'Co', 'O']",-0.00244472936613338
Hg2Cu3Te6O16,0.55,2.83058748097943,"['Hg', 'Cu', 'Te', 'O']",-2.28058748097943
Pb2GeSe4O12,1.12,2.0228858679671458,"['Pb', 'Ge', 'Se', 'O']",-0.9028858679671456
GaVTe2O8,2.59,2.3513877615197583,"['Ga', 'V', 'Te', 'O']",0.2386122384802416
Ba2ScTaO6,0.15,0.8413226220715709,"['Ba', 'Sc', 'Ta', 'O']",-0.6913226220715709
LiGd5P2O13,0.11,0.44035343977375696,"['Li', 'Gd', 'P', 'O']",-0.33035343977375703
Bi2AsO4Cl,0.71,0.634256800507897,"['Bi', 'As', 'O', 'Cl']",0.07574319949210295
Ta1.33Zr0.67O0.12N3.03,2.4,2.677748041532565,"['Ta', 'Zr', 'O', 'N']",-0.2777480415325653
NH6PO4,3.08,2.77272372178774,"['N', 'H', 'P', 'O']",0.3072762782122602
Bi3F3I4O13,1.9,1.1475902682879546,"['Bi', 'F', 'I', 'O']",0.7524097317120453
Li4Cs3B7O14,3.4,3.627979055923161,"['Li', 'Cs', 'B', 'O']",-0.22797905592316114
Na2Mo2Se2O11,0.45,1.2547751296441714,"['Na', 'Mo', 'Se', 'O']",-0.8047751296441714
Bi25FeO39,0.64,1.5678557356127367,"['Bi', 'Fe', 'O']",-0.9278557356127368
Ca10Ge16B6O51,0.43,1.0173979560952071,"['Ca', 'Ge', 'B', 'O']",-0.5873979560952072
CsYTe3O8,2.0,1.2004865197912955,"['Cs', 'Y', 'Te', 'O']",0.7995134802087043
RbCaBO3,3.12,2.5836218149599386,"['Rb', 'Ca', 'B', 'O']",0.5363781850400615
Tl4CuTeO6,2.05,1.7399172448755262,"['Tl', 'Cu', 'Te', 'O']",0.3100827551244736
La2BaTe5O14,0.54,0.3317529649419253,"['La', 'Ba', 'Te', 'O']",0.20824703505807474
Zn2MoTeO7,1.1827777777777777,1.2888956549948585,"['Zn', 'Mo', 'Te', 'O']",-0.10611787721708077
PbCdP4O12,1.5550000000000002,2.3097632772713137,"['Pb', 'Cd', 'P', 'O']",-0.7547632772713135
CeFMoO4,5.6,5.940469510901692,"['Ce', 'F', 'Mo', 'O']",-0.3404695109016922
Tl2O3,3.64,4.208627877103393,"['Tl', 'O']",-0.5686278771033932
CdMoSb4O10,0.46,0.9746253506066846,"['Cd', 'Mo', 'Sb', 'O']",-0.5146253506066847
Er2O3,2.0,1.4336046199222758,"['Er', 'O']",0.5663953800777242
Ba3V2Se4O16,1.35,1.2646667743656774,"['Ba', 'V', 'Se', 'O']",0.08533322563432266
Sm2O3,2.2,2.1703467306321595,"['Sm', 'O']",0.029653269367840632
La2MnNiO6,0.94,0.8449100843649529,"['La', 'Mn', 'Ni', 'O']",0.0950899156350471
NdCuOS,0.14,0.19357973955004404,"['Nd', 'Cu', 'O', 'S']",-0.053579739550044025
MoO3,2.0,3.226465093636504,"['Mo', 'O']",-1.226465093636504
Ba3La3Cu6O14,4.77,5.193788493253718,"['Ba', 'La', 'Cu', 'O']",-0.4237884932537188
Ba2V2Te2O11,2.64,2.8989892086698865,"['Ba', 'V', 'Te', 'O']",-0.2589892086698864
Cd3BiP3O12,1.84,1.8349027478148496,"['Cd', 'Bi', 'P', 'O']",0.005097252185150447
