formula,actual,predicted,elements,residual
OsP2,1.9,2.2615803491100603,Os P,-0.3615803491100604
OsSbSe,1.33,1.7655916011991035,Os Sb Se,-0.43559160119910345
OsS2,1.8,0.674306882539268,Os S,1.1256931174607319
OsP4,2.59,1.675080826470574,Os P,0.9149191735294259
OsSbS,4.35,4.2188340003284335,Os Sb S,0.13116599967156614
OsPS,2.21,2.1544921630011395,Os P S,0.055507836998860416
OsTe2,2.16,2.009004924862825,Os Te,0.15099507513717514
OsSb2,1.9,2.9002244005365707,Os Sb,-1.0002244005365708
OsAsS,4.05,4.011753626001476,Os As S,0.03824637399852372
OsPSe,0.59,1.0763188322003163,Os P Se,-0.4863188322003164
OsAs2,0.91,0.9313116061337858,Os As,-0.0213116061337858
OsSbTe,0.05,0.3034815818921821,Os Sb Te,-0.2534815818921821
