formula,actual,predicted,elements,residual
NaGe3P3,2.64,2.4957122550754587,Na Ge P,0.14428774492454144
RbMoPO6,1.95,1.983364134443006,Rb Mo P O,-0.03336413444300601
CoP3,2.2,2.0312700540952147,Co P,0.16872994590478552
OsP2,1.9,2.2615803491100603,Os P,-0.3615803491100604
In0.6As0.6Ga0.4P0.4,3.26,2.9982446795675326,In As Ga P,0.2617553204324672
LiGd5P2O13,0.11,0.44035343977375696,Li Gd P O,-0.33035343977375703
ZnSnP2,1.92,1.8092582004085769,Zn Sn P,0.11074179959142304
NH6PO4,3.08,2.77272372178774,N H P O,0.3072762782122602
KPSe6,2.0,1.9200697259377344,K P Se,0.0799302740622656
PbCdP4O12,1.5550000000000002,2.3097632772713137,Pb Cd P O,-0.7547632772713135
GaAs0.3P0.7,2.0585,1.7229110764552311,Ga As P,0.3355889235447689
Tl2AuPS4,3.25,3.1712518289522773,Tl Au P S,0.07874817104772269
Ga0.75P0.75Zn0.25Se0.25,5.51,4.8688076529270745,Ga P Zn Se,0.6411923470729262
NaSbP2S6,0.3,0.1553021085895221,Na Sb P S,0.1446978914104779
Cd3BiP3O12,1.84,1.8349027478148496,Cd Bi P O,0.005097252185150447
TlPSe2,3.1,5.4501726165278495,Tl P Se,-2.3501726165278494
CsPbPO4,1.4,1.6215151801666519,Cs Pb P O,-0.2215151801666521
NaCd4P3,1.3,1.4345247202297724,Na Cd P,-0.13452472022977235
Cd6P7,4.77,4.645081878697709,Cd P,0.12491812130229095
Ba3Dy2P4S16,2.98,1.805206776778446,Ba Dy P S,1.174793223221554
Zn0.3S0.3Ga0.7P0.7,0.77,0.4459930505034021,Zn S Ga P,0.32400694949659803
In0.6Al0.4P,0.365,0.7494998955984595,In Al P,-0.3844998955984595
Cs2PdP2Se6,1.15,0.585024756867794,Cs Pd P Se,0.5649752431322059
In0.8P0.8Ga0.2As0.2,0.24,0.2325266355155673,In P Ga As,0.0074733644844326985
PSe,0.155,0.43189448334754665,P Se,-0.2768944833475466
RbBa2P5O15,0.9,1.1110925745488751,Rb Ba P O,-0.2110925745488751
In0.99Al0.01P,2.64,3.0657955271629467,In Al P,-0.42579552716294655
Eu3P2,1.55,1.2974915858065668,Eu P,0.2525084141934333
SiP,3.59,3.3108975323138146,Si P,0.2791024676861853
In0.01P0.01Ga0.99As0.99,2.28,2.1242919479466007,In P Ga As,0.1557080520533991
Ba3Er2P4S16,1.1,0.9946679484870612,Ba Er P S,0.1053320515129389
InP,2.5865153846153848,2.7594788169035933,In P,-0.17296343228820854
BaIn2P4O14,4.1,3.539008899623864,Ba In P O,0.5609911003761359
TlTiPS5,1.77,2.117736310494619,Tl Ti P S,-0.3477363104946192
KSi2P3,1.0,1.2370869645188505,K Si P,-0.2370869645188505
In0.5Ga0.5P,0.6,0.7884060943250386,In Ga P,-0.18840609432503866
