formula,actual,predicted,elements,residual
Pb0.9Mn0.1Te,0.2788333333333333,0.2544849749071698,'Pb' 'Mn' 'Te',0.024348358426163508
PbGa2GeSe6,1.31,1.0877828715319977,'Pb' 'Ga' 'Ge' 'Se',0.22221712846800235
Rb1.45Pb3.1Sb7.45Se15,3.7,3.932230090509391,'Rb' 'Pb' 'Sb' 'Se',-0.23223009050939106
PbSe0.01S0.99,3.7,3.751366439361588,'Pb' 'Se' 'S',-0.0513664393615878
PbTe,3.25,2.7550872351029607,'Pb' 'Te',0.4949127648970393
Pb2GeSe4O12,1.12,2.0228858679671458,'Pb' 'Ge' 'Se' 'O',-0.9028858679671456
Pb0.995TeGa0.005,0.39,0.4060443893952748,'Pb' 'Te' 'Ga',-0.0160443893952748
Pb0.75Sn0.25Te,1.42,1.6352588931281942,'Pb' 'Sn' 'Te',-0.21525889312819424
PbI2,2.6133333333333333,1.8112581521747568,'Pb' 'I',0.8020751811585765
Pb0.85Sn0.15Se,0.44,0.3316870077988181,'Pb' 'Sn' 'Se',0.1083129922011819
Cu0.5Pb1.75GeS4,0.3,0.4414929458688713,'Cu' 'Pb' 'Ge' 'S',-0.14149294586887134
PbCdP4O12,1.5550000000000002,2.3097632772713137,'Pb' 'Cd' 'P' 'O',-0.7547632772713135
CsPbPO4,1.4,1.621515180166652,'Cs' 'Pb' 'P' 'O',-0.2215151801666521
Pb2BiS2I3,0.4866666666666666,0.9323888169447212,'Pb' 'Bi' 'S' 'I',-0.4457221502780546
Pb0.77Sn0.23Te,2.75,2.1291435347843315,'Pb' 'Sn' 'Te',0.6208564652156685
Pb2Nb2Se4O15,2.06,1.4860208985425327,'Pb' 'Nb' 'Se' 'O',0.5739791014574673
PbTe0.01Se0.99,1.5324000000000002,1.5518583607171177,'Pb' 'Te' 'Se',-0.019458360717117484
PbSbO2Br,2.35,2.4258917468326877,'Pb' 'Sb' 'O' 'Br',-0.07589174683268762
Pb0.94Se0.94Ge0.06Te0.06,2.31,2.3749140861341385,'Pb' 'Se' 'Ge' 'Te',-0.0649140861341384
Pb0.9Sn0.1Se,1.375,2.9077576396776106,'Pb' 'Sn' 'Se',-1.5327576396776106
Ag0.5Pb1.75GeS4,1.45,2.069192705987005,'Ag' 'Pb' 'Ge' 'S',-0.619192705987005
PbTe0.99Se0.01,2.16,1.669184067031663,'Pb' 'Te' 'Se',0.49081593296833703
Pb0.999Sn0.001Te,1.76,1.6527367071304564,'Pb' 'Sn' 'Te',0.1072632928695436
Pb0.995TeIn0.005,2.37,2.166955051997574,'Pb' 'Te' 'In',0.20304494800242606
PbSe0.95S0.05,2.36,2.255670888434308,'Pb' 'Se' 'S',0.10432911156569168
Pb0.65Se0.65Sn0.35Te0.35,3.1,3.046034961167491,'Pb' 'Se' 'Sn' 'Te',0.05396503883250904
Cs4Pb4Ge5S16,2.7,1.6242699679685568,'Cs' 'Pb' 'Ge' 'S',1.0757300320314434
Pb0.99Se0.99Ge0.01Te0.01,0.68,0.653601404230697,'Pb' 'Se' 'Ge' 'Te',0.026398595769303042
Pb0.99Te0.99Ge0.01S0.01,1.6,1.3741372248373962,'Pb' 'Te' 'Ge' 'S',0.2258627751626039
Li0.5Pb1.75GeS4,2.0,2.7271932861665094,'Li' 'Pb' 'Ge' 'S',-0.7271932861665094
Pb0.85Ge0.15Te,2.04,1.7248275179454406,'Pb' 'Ge' 'Te',0.3151724820545594
Pb0.99Se0.99Sn0.01Se0.01,2.0,1.9811064113833639,'Pb' 'Se' 'Sn',0.01889358861663637
Pb0.85Se0.85Ge0.15Te0.15,0.37,0.3669856940015821,'Pb' 'Se' 'Ge' 'Te',0.003014305998417899
Pb0.83Sn0.17Se,6.132777777777778,5.6435618254601225,'Pb' 'Sn' 'Se',0.4892159523176556
Pb4Sb6Se13,1.38,1.3045127437357251,'Pb' 'Sb' 'Se',0.07548725626427477
