formula,actual,predicted,elements,residual
PdO,2.76,2.8631312739581727,"['Pd', 'O']",-0.1031312739581729
Cs2PdSe8,1.2,1.108263799515468,"['Cs', 'Pd', 'Se']",0.0917362004845319
LaMg2PdH7,0.88,1.061322059104752,"['La', 'Mg', 'Pd', 'H']",-0.18132205910475208
PdTe2,3.455,3.3206229264238214,"['Pd', 'Te']",0.13437707357617867
Cs2PdP2Se6,1.15,0.585024756867794,"['Cs', 'Pd', 'P', 'Se']",0.5649752431322059
PdSe2,3.49,3.5148876200362604,"['Pd', 'Se']",-0.024887620036260216
PdS,2.38,2.757281830764581,"['Pd', 'S']",-0.3772818307645811
Pd3P2S8,1.42,1.168213617232678,"['Pd', 'P', 'S']",0.2517863827673219
PdPSe,4.9,5.229516935970485,"['Pd', 'P', 'Se']",-0.32951693597048504
Bi4PdSe4O12,0.7782533333333334,0.7924688651341851,"['Bi', 'Pd', 'Se', 'O']",-0.014215531800851776
PdP2,0.13,0.3768380491629157,"['Pd', 'P']",-0.2468380491629157
AgPdI3O9,5.12,5.911878275863803,"['Ag', 'Pd', 'I', 'O']",-0.7918782758638025
BaPdSe6,1.25,1.2850244615576092,"['Ba', 'Pd', 'Se']",-0.03502446155760919
PdSe,2.5,2.557845058686209,"['Pd', 'Se']",-0.05784505868620915
Ag2PdO2,1.72,2.610546101908712,"['Ag', 'Pd', 'O']",-0.8905461019087121
PdS2,0.27230769230769225,1.0162201220482263,"['Pd', 'S']",-0.7439124297405341
PdPS,3.02,2.3732313043910285,"['Pd', 'P', 'S']",0.6467686956089715
PdPAs,0.16,1.6877133197738503,"['Pd', 'P', 'As']",-1.5277133197738504
BaPdI4O12,1.97,2.5134515011707457,"['Ba', 'Pd', 'I', 'O']",-0.5434515011707457
K2PdSe10,1.48,1.6026866016937298,"['K', 'Pd', 'Se']",-0.1226866016937298
PdI2O6,1.31,2.302584964134009,"['Pd', 'I', 'O']",-0.992584964134009
ScPdSb,0.23,0.3530653656677281,"['Sc', 'Pd', 'Sb']",-0.1230653656677281
YPdSb,0.27,0.5002557132942762,"['Y', 'Pd', 'Sb']",-0.2302557132942762
