formula,actual,predicted,elements,residual
Pr2GeSe5,2.06,3.3035988802335776,"['Pr', 'Ge', 'Se']",-1.2435988802335776
Pr2Te4O11,3.25,2.3626209116382584,"['Pr', 'Te', 'O']",0.8873790883617416
Pr1.29Lu0.71S3,2.7,2.4683295436856536,"['Pr', 'Lu', 'S']",0.23167045631434655
PrCuOS,1.21,1.6654558945214415,"['Pr', 'Cu', 'O', 'S']",-0.4554558945214415
PrF3,3.0,3.066418645007301,"['Pr', 'F']",-0.06641864500730099
PrTe1.9,3.6,3.4275979874445266,"['Pr', 'Te']",0.1724020125554735
Tl2PrInSe4,2.288333333333333,2.0604945824691168,"['Tl', 'Pr', 'In', 'Se']",0.22783875086421634
PrBN2,2.67,2.501518107884803,"['Pr', 'B', 'N']",0.1684818921151967
PrSb,0.25,0.5323977825981929,"['Pr', 'Sb']",-0.2823977825981929
PrO,3.9,2.830800156492584,"['Pr', 'O']",1.069199843507416
SrPr2S4,5.17,6.4958465669427286,"['Sr', 'Pr', 'S']",-1.3258465669427286
Pr2S3,2.47,2.3167473893178654,"['Pr', 'S']",0.1532526106821348
PrTaN2O,3.34,2.9986514004838565,"['Pr', 'Ta', 'N', 'O']",0.3413485995161434
Pr4Te7,3.145,2.8072475199368,"['Pr', 'Te']",0.3377524800631999
TlPrSe2,0.65,0.8385572965948764,"['Tl', 'Pr', 'Se']",-0.1885572965948764
BaPrO3,1.745,2.063436930028564,"['Ba', 'Pr', 'O']",-0.3184369300285641
Pr2.48Tb0.52Ga1.67S7,3.9,3.864766568124156,"['Pr', 'Tb', 'Ga', 'S']",0.035233431875843824
Pr4InSbSe9,0.74,0.7770027387604568,"['Pr', 'In', 'Sb', 'Se']",-0.03700273876045679
Pr2Te3,1.5930000000000002,1.4074549666626537,"['Pr', 'Te']",0.1855450333373465
PrB6,1.1033333333333333,0.9487334649311788,"['Pr', 'B']",0.15459986840215445
Pr2Sr2PtO7.07,1.43,1.7407206877591903,"['Pr', 'Sr', 'Pt', 'O']",-0.3107206877591904
PrFMoO4,3.3,3.0202824536938326,"['Pr', 'F', 'Mo', 'O']",0.27971754630616674
PrLuSe3,3.28,3.202033378393183,"['Pr', 'Lu', 'Se']",0.07796662160681578
CaPr2S4,2.9,2.586049198520893,"['Ca', 'Pr', 'S']",0.3139508014791068
Pr10OSe14,1.89,2.053625133217704,"['Pr', 'O', 'Se']",-0.1636251332177039
Pr2Ge2Se7,1.32,1.3720673973342308,"['Pr', 'Ge', 'Se']",-0.05206739733423072
Pr2Se3,1.85,2.016184039141788,"['Pr', 'Se']",-0.16618403914178792
Pr2YbCuS5,1.25,1.5633211081794762,"['Pr', 'Yb', 'Cu', 'S']",-0.3133211081794762
PrAs,1.0,0.9830821266172016,"['Pr', 'As']",0.016917873382798376
PrIn3S6,1.14,1.072571142055832,"['Pr', 'In', 'S']",0.06742885794416797
PrTe2,1.1540000000000001,0.7494759306672131,"['Pr', 'Te']",0.4045240693327869
