formula,actual,predicted,elements,residual
RbInSnS4,2.96,3.5787820699807726,'Rb' 'In' 'Sn' 'S',-0.6187820699807731
Rb1.45Pb3.1Sb7.45Se15,3.7,3.932230090509391,'Rb' 'Pb' 'Sb' 'Se',-0.23223009050939106
Rb3CdB5O10,2.0,1.5845671364019704,'Rb' 'Cd' 'B' 'O',0.4154328635980296
RbMoPO6,1.95,1.983364134443006,'Rb' 'Mo' 'P' 'O',-0.03336413444300601
Rb2CuNbS4,2.34,4.046317441514047,'Rb' 'Cu' 'Nb' 'S',-1.7063174415140467
RbCaBO3,3.12,2.5836218149599386,'Rb' 'Ca' 'B' 'O',0.5363781850400615
RbAg2SbS4,1.8733333333333333,1.2147035341651513,'Rb' 'Ag' 'Sb' 'S',0.658629799168182
RbCu2AsS3,1.7,1.915144709262675,'Rb' 'Cu' 'As' 'S',-0.21514470926267504
Rb8Ga8Si38,1.34,1.3299469052704451,'Rb' 'Ga' 'Si',0.010053094729554957
RbYbZnSe3,1.87,2.4244733514353225,'Rb' 'Yb' 'Zn' 'Se',-0.5544733514353224
Rb3Ta2AsS11,1.368835,1.3012267644383808,'Rb' 'Ta' 'As' 'S',0.06760823556161921
RbBa2P5O15,0.9,1.1110925745488751,'Rb' 'Ba' 'P' 'O',-0.2110925745488751
RbAg2TeS6,0.59,1.0911350528442352,'Rb' 'Ag' 'Te' 'S',-0.5011350528442352
Rb7Th2P6Se21,2.06,2.00918615021382,'Rb' 'Th' 'P' 'Se',0.050813849786179865
Rb2Hg3Ge2S8,3.58,2.5632564767580828,'Rb' 'Hg' 'Ge' 'S',1.0167435232419173
RbBiSe2,4.0,3.6028276998313498,'Rb' 'Bi' 'Se',0.39717230016865024
Rb2CdP2Se6,0.23,1.6648390132129105,'Rb' 'Cd' 'P' 'Se',-1.4348390132129103
Rb2TeBr6,0.466,2.5165431776600515,'Rb' 'Te' 'Br',-2.050543177660052
