formula,actual,predicted,elements,residual
RuS2,1.9,2.387679592656495,"['Ru', 'S']",-0.487679592656495
RuAs2,2.0,1.7859592540677598,"['Ru', 'As']",0.2140407459322402
RuP2,3.0,2.1168237429715733,"['Ru', 'P']",0.8831762570284267
RuSe2,2.8,2.516289640186687,"['Ru', 'Se']",0.2837103598133126
RuTe2,1.86,2.0711953062415374,"['Ru', 'Te']",-0.21119530624153726
RuAsS,1.24,1.0993987467924011,"['Ru', 'As', 'S']",0.14060125320759884
RuSbTe,2.0884285714285715,0.7626902303095004,"['Ru', 'Sb', 'Te']",1.325738341119071
RuSb2,2.3,1.9949118162968305,"['Ru', 'Sb']",0.30508818370316937
Ru2Ge3,3.73,3.9869220369971305,"['Ru', 'Ge']",-0.25692203699713057
RuSbSe,2.23,1.94062829838896,"['Ru', 'Sb', 'Se']",0.28937170161104
RuPAs,2.28,1.8076702211140392,"['Ru', 'P', 'As']",0.4723297788859606
RuP4,1.5,1.7073450014157905,"['Ru', 'P']",-0.2073450014157905
Ru2Si3,0.57,0.4656191983733002,"['Ru', 'Si']",0.10438080162669976
RuPS,1.4,1.2068509600329629,"['Ru', 'P', 'S']",0.19314903996703706
