formula,actual,predicted,elements,residual
DyIn3S6,2.43,1.6150212845653569,"['Dy', 'In', 'S']",0.8149787154346433
K4Ba2Nb4S22,0.29,0.9576653972943046,"['K', 'Ba', 'Nb', 'S']",-0.6676653972943045
K2Ho4Cu4S9,1.9266666666666663,1.7839293601350317,"['K', 'Ho', 'Cu', 'S']",0.14273730653163466
RbInSnS4,2.96,3.5787820699807726,"['Rb', 'In', 'Sn', 'S']",-0.6187820699807731
EuYb2S4,4.1,4.081479400337285,"['Eu', 'Yb', 'S']",0.018520599662714687
EuIn2S4,1.0,1.3556219080010674,"['Eu', 'In', 'S']",-0.3556219080010674
Cu3VS4,1.81,1.1986026723535002,"['Cu', 'V', 'S']",0.6113973276464999
In4S5,1.18,0.9668109002689372,"['In', 'S']",0.2131890997310627
CuIn5S8,0.7,0.8402499352511352,"['Cu', 'In', 'S']",-0.14024993525113527
BaGa4S7,1.83,1.6733603310471477,"['Ba', 'Ga', 'S']",0.15663966895285242
PbSe0.01S0.99,3.7,3.751366439361588,"['Pb', 'Se', 'S']",-0.0513664393615878
AgInS2,2.46,2.5519611210291355,"['Ag', 'In', 'S']",-0.09196112102913556
Y6ZnSi2S14,1.1967272727272726,1.2695479914105174,"['Y', 'Zn', 'Si', 'S']",-0.0728207186832448
Ag4Ba6Sn4S16,1.5,1.1631825832846785,"['Ag', 'Ba', 'Sn', 'S']",0.3368174167153215
CuInS2,2.3,2.399817762346144,"['Cu', 'In', 'S']",-0.09981776234614426
KCuThS3,0.32,2.425403414430632,"['K', 'Cu', 'Th', 'S']",-2.1054034144306315
AgIn5S8,0.88,0.9391234089073901,"['Ag', 'In', 'S']",-0.059123408907389985
KCu3S2,7.843333333333334,7.429771067124959,"['K', 'Cu', 'S']",0.4135622662083742
RhSSe,1.62,1.6389428411699196,"['Rh', 'S', 'Se']",-0.01894284116991951
CsSbS2,0.20800000000000002,0.23361890818767786,"['Cs', 'Sb', 'S']",-0.02561890818767787
Rb2CuNbS4,2.34,4.046317441514047,"['Rb', 'Cu', 'Nb', 'S']",-1.7063174415140467
Cd5Ga2S2Te6,1.66,1.976944267652924,"['Cd', 'Ga', 'S', 'Te']",-0.3169442676529237
Dy3GaS6,2.03,2.0889506648711045,"['Dy', 'Ga', 'S']",-0.058950664871104674
K9Bi13S24,4.68,3.992275389231677,"['K', 'Bi', 'S']",0.6877246107683228
Ba8Sn4S15,3.46,3.469285434599895,"['Ba', 'Sn', 'S']",-0.009285434599894948
Li2CdSnS4,0.8,1.0131981752118673,"['Li', 'Cd', 'Sn', 'S']",-0.21319817521186726
Cu0.5Pb1.75GeS4,0.3,0.4414929458688713,"['Cu', 'Pb', 'Ge', 'S']",-0.14149294586887134
TlHg6S4Br5,1.2733333333333334,1.446571536742196,"['Tl', 'Hg', 'S', 'Br']",-0.17323820340886265
TlSbS2,7.745000000000001,6.826773827507267,"['Tl', 'Sb', 'S']",0.9182261724927336
La2Ga2GeS8,2.475,2.413781730699581,"['La', 'Ga', 'Ge', 'S']",0.06121826930041908
TbIn3S6,2.84,3.0986307868938905,"['Tb', 'In', 'S']",-0.25863078689389063
BaIn2S4,1.092,0.8250274664471801,"['Ba', 'In', 'S']",0.26697253355282
La4FeSb2S10,0.18,1.3671516771563557,"['La', 'Fe', 'Sb', 'S']",-1.1871516771563555
NdCuOS,0.14,0.19357973955004404,"['Nd', 'Cu', 'O', 'S']",-0.053579739550044025
Ag2S,3.89,3.822953103621243,"['Ag', 'S']",0.06704689637875694
Tl3VS4,1.61,1.802358939812704,"['Tl', 'V', 'S']",-0.1923589398127039
Tl2AuPS4,3.25,3.1712518289522773,"['Tl', 'Au', 'P', 'S']",0.07874817104772269
LaGaS3,0.4,0.4809455624262835,"['La', 'Ga', 'S']",-0.08094556242628348
NaSbP2S6,0.3,0.1553021085895221,"['Na', 'Sb', 'P', 'S']",0.1446978914104779
