formula,actual,predicted,elements,residual
InSb0.2As0.8,2.48,2.085664493718808,In Sb As,0.394335506281192
Rb1.45Pb3.1Sb7.45Se15,3.7,3.9322300905093908,Rb Pb Sb Se,-0.23223009050939106
K2Sb8Se3,4.45,3.3329054599224133,K Sb Se,1.117094540077587
InSb2Se4Br,2.4,1.569479618209639,In Sb Se Br,0.8305203817903608
CsSbS2,0.20800000000000002,0.23361890818767786,Cs Sb S,-0.02561890818767787
Ce4InSbSe9,1.79,1.487450550415728,Ce In Sb Se,0.302549449584272
SbI3,1.39,1.8345881278609384,Sb I,-0.4445881278609385
AgSbTe2,2.85,2.65306586078472,Ag Sb Te,0.1969341392152799
GaAs0.15Sb0.85,0.2,0.5034376080158705,Ga As Sb,-0.30343760801587044
TlSbS2,7.745000000000001,6.826773827507267,Tl Sb S,0.9182261724927336
GaAs0.7Sb0.3,3.38,3.9516326163657407,Ga As Sb,-0.5716326163657408
CdMoSb4O10,0.46,0.9746253506066846,Cd Mo Sb O,-0.5146253506066847
La4FeSb2S10,0.18,1.3671516771563557,La Fe Sb S,-1.1871516771563555
OsSbSe,1.33,1.7655916011991035,Os Sb Se,-0.43559160119910345
NaSbP2S6,0.3,0.1553021085895221,Na Sb P S,0.1446978914104779
GaSb,1.915,2.045752061062613,Ga Sb,-0.13075206106261295
Ga1.005Sb0.995Te0.015,0.17,1.0161793783819617,Ga Sb Te,-0.8461793783819617
RbAg2SbS4,1.8733333333333333,1.2147035341651513,Rb Ag Sb S,0.658629799168182
PbSbO2Br,2.35,2.425891746832688,Pb Sb O Br,-0.07589174683268762
GaAs0.99Sb0.01,0.6,0.7122196514335979,Ga As Sb,-0.11221965143359793
Ga0.99Sb0.99Zn0.01Te0.01,3.1,5.380991034610443,Ga Sb Zn Te,-2.2809910346104436
EuSb2S4,2.64,3.2846097702901016,Eu Sb S,-0.6446097702901015
Sb8O11I2,1.4,1.3278233962691086,Sb O I,0.0721766037308913
ZrNiSb,2.0,3.363111741346499,Zr Ni Sb,-1.3631117413464988
Sm4GaSbS9,1.67,1.5305096693993203,Sm Ga Sb S,0.1394903306006796
Cs4Ag9Sb4S12,1.5,2.225638301139268,Cs Ag Sb S,-0.7256383011392682
InSb2S4Cl,2.97,3.988258851851554,In Sb S Cl,-1.0182588518515532
Eu3Sb4Se9,2.61,2.8953616531162236,Eu Sb Se,-0.2853616531162242
Ga1.05Sb0.95Se0.15,3.25,2.744608127009597,Ga Sb Se,0.505391872990403
Bi1.6Te3Sb0.4,2.2,2.3826416697831103,Bi Te Sb,-0.18264166978311014
KAg2SbS4,2.25,2.1454519502427143,K Ag Sb S,0.10454804975728572
InSb0.5As0.5,2.55,2.274241450363517,In Sb As,0.2757585496364827
TiNiSb,0.51,0.4437565153974088,Ti Ni Sb,0.06624348460259122
AsSb,0.29,0.8595286173054983,As Sb,-0.5695286173054983
Ga0.01Sb0.01Zn0.99Te0.99,0.82,0.9463724257573158,Ga Sb Zn Te,-0.1263724257573159
Cs2Cu2Sb2S5,1.66,1.4457470792168845,Cs Cu Sb S,0.21425292078311545
K2Ag3Sb3S7,1.625,2.0334769649127207,K Ag Sb S,-0.4084769649127207
Sm2Mn3Sb4S12,0.135,0.12064237885664132,Sm Mn Sb S,0.014357621143358687
La3Sb0.33SiS7,2.13,1.7426020056536204,La Sb Si S,0.38739799434637945
Pb4Sb6Se13,1.38,1.3045127437357251,Pb Sb Se,0.07548725626427477
Ba23Ga8Sb2S38,4.0,3.3053385853412154,Ba Ga Sb S,0.6946614146587846
La4InSbSe9,2.18,2.1170306704107675,La In Sb Se,0.06296932958923263
PrSb,0.25,0.5323977825981929,Pr Sb,-0.2823977825981929
YbSb2Te4,2.9983249999999995,2.907027565182571,Yb Sb Te,0.09129743481742823
Cs3Sb2Br9,2.58,2.3228754197648955,Cs Sb Br,0.2571245802351045
RbCu2SbS3,2.85,2.6712335597868533,Rb Cu Sb S,0.1787664402131468
Ga0.95Sb0.95Hg0.05Te0.05,1.7,1.0528594045149164,Ga Sb Hg Te,0.6471405954850835
Ga1.02Sb0.98Te0.06,0.62,1.171816306705321,Ga Sb Te,-0.5518163067053211
Ga0.95Sb0.95Cd0.05Te0.05,0.23,0.14588457140129396,Ga Sb Cd Te,0.08411542859870605
KBaSbSe3,2.8,2.160215249121256,K Ba Sb Se,0.6397847508787438
Nd4InSbSe9,0.8,0.8292884822905133,Nd In Sb Se,-0.02928848229051328
Ga1.002Sb0.998Te0.006,2.991275,2.471813856710673,Ga Sb Te,0.5194611432893268
K2RbSb,5.39,3.919644653067314,K Rb Sb,1.4703553469326858
PtSb2,0.56,0.43330651433789136,Pt Sb,0.1266934856621087
CsCu2SbS3,0.9,0.7158384530680504,Cs Cu Sb S,0.18416154693194964
BaAgSbS3,0.46,0.7937454791805632,Ba Ag Sb S,-0.33374547918056313
SbSeBr,0.7033333333333333,0.6303907992696391,Sb Se Br,0.07294253406369411
OsSbS,4.35,4.2188340003284335,Os Sb S,0.13116599967156614
Ga1.01Sb0.99Se0.03,1.4,2.5705874204228447,Ga Sb Se,-1.1705874204228448
Ga0.9Sb0.9Cd0.1Te0.1,0.39,0.5091905223763202,Ga Sb Cd Te,-0.11919052237632022
Cs2Sn3Sb2S10,0.88,1.1049056588458992,Cs Sn Sb S,-0.2249056588458992
ScNiSb,0.63,1.5332808150409731,Sc Ni Sb,-0.9032808150409732
TbSb2BO8,2.46,2.088102918534849,Tb Sb B O,0.3718970814651508
K2.15Pb1.7Sb8.15Se15,6.15,6.757810064607503,K Pb Sb Se,-0.6078100646075031
Bi1.4Te3Sb0.6,2.625,2.4955010376578795,Bi Te Sb,0.12949896234212055
LiSbTe2,0.75,1.4678778483271109,Li Sb Te,-0.7178778483271111
Ag1.75InSb5.75Se11,2.238,0.9375317335219276,Ag In Sb Se,1.3004682664780725
Rb3Sb2Br9,2.48,2.4022468757704067,Rb Sb Br,0.07775312422959324
Cd3Sb2,1.0,1.1930632358765418,Cd Sb,-0.19306323587654184
Cu3SbS4,3.41,3.144993979082477,Cu Sb S,0.2650060209175229
LaSb,1.95,2.3819662695098085,La Sb,-0.4319662695098085
BiSb0.15,4.0,3.7615836373991733,Bi Sb,0.2384163626008271
CuSbS2,4.39,4.27664697819863,Cu Sb S,0.11335302180136965
Gd4GaSbS9,0.42,0.6979496258144762,Gd Ga Sb S,-0.2779496258144762
PbSb2Se4,0.31,0.18811970238037912,Pb Sb Se,0.12188029761962088
SbSi,0.31,0.21107491321474736,Sb Si,0.09892508678525264
Bi0.4Te3Sb1.6,0.8,1.1169217629155694,Bi Te Sb,-0.3169217629155694
Tm4Sb2Se11.68,1.52,1.5755498463164086,Tm Sb Se,-0.05554984631640858
Eu3Sb4S9,1.6,1.7322193001302706,Eu Sb S,-0.1322193001302705
KSbSe2,4.53,5.28523109262598,K Sb Se,-0.75523109262598
NaSb,3.25,2.9782949865958583,Na Sb,0.2717050134041417
Ga0.99Sb0.99Cd0.01Te0.01,0.82,1.0193352530040327,Ga Sb Cd Te,-0.1993352530040328
Ga0.9Sb0.9Hg0.1Te0.1,3.76,4.126179944510045,Ga Sb Hg Te,-0.3661799445100451
Ge2Sb2Te5,2.93,2.372066966611885,Ge Sb Te,0.5579330333881152
Rb3Sb2I9,3.46,3.5434342295124166,Rb Sb I,-0.08343422951241664
Ga0.01Sb0.01Cd0.99Te0.99,2.515,2.079871274051288,Ga Sb Cd Te,0.435128725948712
CoSb3,0.7050000000000001,1.4662642222093494,Co Sb,-0.7612642222093493
ZnSnSb2,1.04,1.0600186484697809,Zn Sn Sb,-0.020018648469781075
Cd0.01Te0.01Al0.99Sb0.99,3.68,3.6939110345344255,Cd Te Al Sb,-0.013911034534426214
CsSbTe2,2.485,2.261558763465376,Cs Sb Te,0.2234412365346241
EuSb4S7,2.0,1.9651735460297344,Eu Sb S,0.034826453970265625
YNiSb,5.4,5.2707296058731465,Y Ni Sb,0.12927039412685382
Sb3O4I,2.47,2.7772355567989164,Sb O I,-0.30723555679891623
KSbS2,2.2,2.177275775658944,K Sb S,0.022724224341056143
Pb2SbS2I3,1.5,1.473851001026544,Pb Sb S I,0.026148998973456017
LiSbS2,0.4,0.6043906234705911,Li Sb S,-0.20439062347059112
Bi0.6Te3Sb1.4,1.96,1.949395018883946,Bi Te Sb,0.010604981116054013
EuSb2BO8,0.8,0.968495090042678,Eu Sb B O,-0.16849509004267793
Zn3Sb2,0.9,0.7566855880294963,Zn Sb,0.14331441197050376
Pr4InSbSe9,0.74,0.7770027387604568,Pr In Sb Se,-0.03700273876045679
GaAs0.01Sb0.99,4.67,5.379756654981702,Ga As Sb,-0.7097566549817023
OsSb2,1.9,2.9002244005365707,Os Sb,-1.0002244005365708
CsSbS2O8,1.18,1.180468153475216,Cs Sb S O,-0.0004681534752160044
RuSbTe,2.0884285714285715,0.7626902303095004,Ru Sb Te,1.325738341119071
Nb6VSb3O25,2.18,2.1246389023981016,Nb V Sb O,0.055361097601898564
Na2CsSb,4.0,4.174238752152447,Na Cs Sb,-0.17423875215244689
EuSb4Te7,0.46,0.4742999402410373,Eu Sb Te,-0.014299940241037257
Cd0.9Te0.9Al0.1Sb0.1,3.47,4.4357002595580015,Cd Te Al Sb,-0.9657002595580012
Dy4GaSbS9,1.65,1.433879518036873,Dy Ga Sb S,0.2161204819631269
Bi0.2Te3Sb1.8,1.65,1.810749001250981,Bi Te Sb,-0.16074900125098113
InSb0.9As0.1,2.3,2.474195416458725,In Sb As,-0.17419541645872538
GaAs0.75Sb0.25,1.72,1.1224588404213147,Ga As Sb,0.5975411595786853
Pb6Sb6Se17,1.06,0.9824719301831928,Pb Sb Se,0.07752806981680715
Eu7Ga6Sb8,3.09,3.080456644841105,Eu Ga Sb,0.009543355158895041
Ba3Sb2S7,4.1,3.8364778217705418,Ba Sb S,0.2635221782294579
Sb2S3,2.16,2.4966174857292303,Sb S,-0.3366174857292301
La6Sb4S3O12,1.6,0.7517673326034613,La Sb S O,0.8482326673965388
KAg2SbS3,0.4,0.6122255284730018,K Ag Sb S,-0.2122255284730018
Sb2O3,4.62,4.307345098418435,Sb O,0.3126549015815652
