formula,actual,predicted,elements,residual
Ba2ScTaO6,0.15,0.8413226220715709,"['Ba', 'Sc', 'Ta', 'O']",-0.6913226220715709
FeSc2,0.12,0.9482678149442432,"['Fe', 'Sc']",-0.8282678149442432
CeScO3,4.28,4.236366768270555,"['Ce', 'Sc', 'O']",0.04363323172944522
HgSc,1.63,1.2629009972166596,"['Hg', 'Sc']",0.3670990027833403
TlScS2,1.5,1.6165609253512487,"['Tl', 'Sc', 'S']",-0.11656092535124872
Gd1.05Sc0.95Se3,1.36,1.2668991223511314,"['Gd', 'Sc', 'Se']",0.09310087764886864
Sc2O3,0.89,0.8506841247443022,"['Sc', 'O']",0.0393158752556978
RbScSe2O6,2.48,2.3273395953460803,"['Rb', 'Sc', 'Se', 'O']",0.15266040465391972
ScN,1.07,1.757574595545071,"['Sc', 'N']",-0.6875745955450709
ScNiSb,0.63,1.5332808150409731,"['Sc', 'Ni', 'Sb']",-0.9032808150409732
CuScO2,1.4,1.6898425499405958,"['Cu', 'Sc', 'O']",-0.2898425499405959
ScTiNbO6,2.2,1.4904609540843294,"['Sc', 'Ti', 'Nb', 'O']",0.7095390459156707
Li3ScN2,0.26,0.14037441750214266,"['Li', 'Sc', 'N']",0.11962558249785735
Gd3.04Sc0.96S6,1.88,1.9929646485952588,"['Gd', 'Sc', 'S']",-0.1129646485952589
Sc2S3,1.8,2.4629579001646205,"['Sc', 'S']",-0.6629579001646204
Ca2ScSbO6,1.87,2.11491216538614,"['Ca', 'Sc', 'Sb', 'O']",-0.2449121653861397
NaScSe2O6,0.28,0.4527798936318579,"['Na', 'Sc', 'Se', 'O']",-0.17277989363185786
CsScSe2O6,2.597,2.7822347281097013,"['Cs', 'Sc', 'Se', 'O']",-0.18523472810970126
AgScO2,0.15125,0.11454751492056126,"['Ag', 'Sc', 'O']",0.03670248507943874
TlScSe2,0.53,0.6351172423800353,"['Tl', 'Sc', 'Se']",-0.10511724238003528
KScSe2O6,2.095,1.7759971034659134,"['K', 'Sc', 'Se', 'O']",0.3190028965340868
CdSc,6.53,6.801211211646008,"['Cd', 'Sc']",-0.2712112116460075
TlScTe2,1.86,1.833964519160604,"['Tl', 'Sc', 'Te']",0.026035480839396108
Cu3ScSe3,2.15,3.4262730725201482,"['Cu', 'Sc', 'Se']",-1.276273072520148
AgScP2Se6,1.55,2.0179082375779807,"['Ag', 'Sc', 'P', 'Se']",-0.4679082375779806
GdScS3,2.1,2.116983940403454,"['Gd', 'Sc', 'S']",-0.016983940403453968
ScPdSb,0.23,0.3530653656677281,"['Sc', 'Pd', 'Sb']",-0.1230653656677281
ScTa2O5N,2.67,3.13175303490112,"['Sc', 'Ta', 'O', 'N']",-0.4617530349011201
Sm2Sc3,2.3,0.6558548785002891,"['Sm', 'Sc']",1.6441451214997107
Sr2ScSbO6,3.57,3.9244354022835033,"['Sr', 'Sc', 'Sb', 'O']",-0.35443540228350345
