formula,actual,predicted,elements,residual
PbGa2GeSe6,1.31,1.0877828715319977,Pb Ga Ge Se,0.22221712846800235
Hg0.01Cd0.99Se,3.67,5.61657907462188,Hg Cd Se,-1.9465790746218798
CsDy9Cd4Se18,2.3,1.9745890132916184,Cs Dy Cd Se,0.3254109867083814
BaGa2Se4,3.4,2.978371702130828,Ba Ga Se,0.4216282978691721
Ce2Sn3Se9,4.22,4.041873144179332,Ce Sn Se,0.17812685582066745
CsCd4In5Se12,0.43,0.35224618418103937,Cs Cd In Se,0.07775381581896063
Cs2ZnGe3Se8,1.9,1.7566224017969017,Cs Zn Ge Se,0.14337759820309826
Rb1.45Pb3.1Sb7.45Se15,3.7,3.9322300905093908,Rb Pb Sb Se,-0.23223009050939106
ReSe2,0.74,0.8366401636696406,Re Se,-0.09664016366964057
PbSe0.01S0.99,3.7,3.751366439361588,Pb Se S,-0.0513664393615878
CsLu7Se11,2.76,2.1088148944467644,Cs Lu Se,0.6511851055532354
Na2TeSe3,1.0,0.9495747945817908,Na Te Se,0.05042520541820916
K3Ta2AsSe11,2.44,2.0983324243061907,K Ta As Se,0.34166757569380923
Cu3YbSe3,3.9,3.0911512132307433,Cu Yb Se,0.8088487867692562
LiH3Se2O6,7.725,7.486773003630004,Li H Se O,0.23822699636999545
K2Sb8Se3,4.45,3.3329054599224133,K Sb Se,1.117094540077587
CsYZnSe3,2.04,2.795790924991392,Cs Y Zn Se,-0.7557909249913917
Pb2GeSe4O12,1.12,2.0228858679671458,Pb Ge Se O,-0.9028858679671456
EuTb2Se4,2.64,1.9422832876830949,Eu Tb Se,0.6977167123169052
InSb2Se4Br,2.4,1.569479618209639,In Sb Se Br,0.8305203817903608
Cs2PdSe8,1.2,1.108263799515468,Cs Pd Se,0.0917362004845319
Li2ZnGeSe4,1.98,0.5870629024059024,Li Zn Ge Se,1.3929370975940976
CdSe,3.45,3.067975869716234,Cd Se,0.3820241302837664
RhSSe,1.62,1.6389428411699196,Rh S Se,-0.01894284116991951
Na2Mo2Se2O11,0.45,1.2547751296441714,Na Mo Se O,-0.8047751296441714
Pr2GeSe5,2.06,3.3035988802335776,Pr Ge Se,-1.2435988802335776
Ga0.5As0.5Zn0.5Se0.5,1.47,2.5684667559411007,Ga As Zn Se,-1.0984667559411008
Ce4InSbSe9,1.79,1.487450550415728,Ce In Sb Se,0.302549449584272
KPSe6,2.0,1.9200697259377344,K P Se,0.0799302740622656
K2CuGa3Se6,0.5,0.5043872656186164,K Cu Ga Se,-0.004387265618616354
KGaSe2,0.7,1.5015388679801145,K Ga Se,-0.8015388679801145
Ba2GaBiSe5,6.975,6.1908529959476635,Ba Ga Bi Se,0.7841470040523353
Pb0.85Sn0.15Se,0.44,0.3316870077988181,Pb Sn Se,0.1083129922011819
Ga0.58As0.58Zn0.42Se0.42,2.25,2.302095301946393,Ga As Zn Se,-0.05209530194639278
Ga2Se3,3.12,2.737140427051456,Ga Se,0.382859572948544
CsInGeSe4,2.5,1.200426390162674,Cs In Ge Se,1.299573609837326
Ba3V2Se4O16,1.35,1.2646667743656774,Ba V Se O,0.08533322563432266
OsSbSe,1.33,1.7655916011991035,Os Sb Se,-0.43559160119910345
Ga0.75P0.75Zn0.25Se0.25,5.51,4.8688076529270745,Ga P Zn Se,0.6411923470729262
TlPSe2,3.1,5.4501726165278495,Tl P Se,-2.3501726165278494
Na2BaGeSe4,0.18,1.3275104623868668,Na Ba Ge Se,-1.1475104623868668
Ba2SnSe5,2.54,2.60654237048348,Ba Sn Se,-0.06654237048348001
BaGa4Se7,0.32,0.9365591439829456,Ba Ga Se,-0.6165591439829456
K2Mo2Se2O11,2.9,2.7765007247297984,K Mo Se O,0.12349927527020155
NdLuSe3,2.3,2.492905796842505,Nd Lu Se,-0.19290579684250486
Bi2Te1.2Se1.8,5.42,5.006009921789568,Bi Te Se,0.413990078210432
Nd2Se3,0.42,0.3787602349314891,Nd Se,0.0412397650685109
Cu0.2Ga1.8Se2.8,2.07,2.0595614719103974,Cu Ga Se,0.01043852808960244
CdS0.8Se0.2,1.0,1.4229777166574404,Cd S Se,-0.4229777166574405
Pb2Nb2Se4O15,2.06,1.4860208985425327,Pb Nb Se O,0.5739791014574673
PbTe0.01Se0.99,1.5324000000000002,1.5518583607171177,Pb Te Se,-0.019458360717117484
BaAl4Se7,4.76,4.709375624965216,Ba Al Se,0.05062437503478368
Ba3ThSe7,1.459,1.6060359071107921,Ba Th Se,-0.14703590711079184
Cs2CuNbSe4,5.47,4.612453467046974,Cs Cu Nb Se,0.8575465329530259
Pb0.94Se0.94Ge0.06Te0.06,2.31,2.3749140861341385,Pb Se Ge Te,-0.0649140861341384
Eu3Se4,4.2,1.7540576150159932,Eu Se,2.445942384984007
CuZn2InSe4,1.1414285714285717,1.6916038367393451,Cu Zn In Se,-0.5501752653107734
CuIn3Se5,3.0,5.246367298368339,Cu In Se,-2.246367298368339
RbYbZnSe3,1.87,2.4244733514353225,Rb Yb Zn Se,-0.5544733514353224
Pb0.9Sn0.1Se,1.375,2.9077576396776106,Pb Sn Se,-1.5327576396776106
Cs2PdP2Se6,1.15,0.585024756867794,Cs Pd P Se,0.5649752431322059
CuSmSe2,3.82,3.4880131584284566,Cu Sm Se,0.33198684157154323
BaIn2Se4,1.93,1.8576711448380918,Ba In Se,0.0723288551619079
CdGa2Se4,1.3,1.1025792845262272,Cd Ga Se,0.1974207154737728
PSe,0.155,0.43189448334754665,P Se,-0.2768944833475466
BaHgSe2,1.45,2.083896141174419,Ba Hg Se,-0.6338961411744191
RhSe3,3.2,3.617263616113801,Rh Se,-0.417263616113801
Hg0.6Cd0.4Se,0.78,0.7823073785191621,Hg Cd Se,-0.0023073785191620733
PdSe2,3.49,3.5148876200362604,Pd Se,-0.024887620036260216
PbTe0.99Se0.01,2.16,1.669184067031663,Pb Te Se,0.490815932968337
SmSe,2.3,1.1681562591886332,Sm Se,1.1318437408113666
PbSe0.95S0.05,2.36,2.255670888434308,Pb Se S,0.10432911156569168
Cu3HoSe3,2.88,2.135928551183836,Cu Ho Se,0.7440714488161642
Eu3Sb4Se9,2.61,2.8953616531162236,Eu Sb Se,-0.2853616531162242
