formula,actual,predicted,elements,residual
Ca2Si,2.2,1.983242966464415,"['Ca', 'Si']",0.2167570335355853
Y6ZnSi2S14,1.1967272727272726,1.2695479914105174,"['Y', 'Zn', 'Si', 'S']",-0.0728207186832448
Ge0.838Si0.162,2.16,1.5020392485940004,"['Ge', 'Si']",0.6579607514059997
SiAs,1.8,0.9628356031370496,"['Si', 'As']",0.8371643968629504
Li2B12Si2,2.4,2.5551189525202442,"['Li', 'B', 'Si']",-0.15511895252024388
Ag2Ga2SiS6,1.8,1.1839125020933905,"['Ag', 'Ga', 'Si', 'S']",0.6160874979066095
Rb8Ga8Si38,1.34,1.3299469052704451,"['Rb', 'Ga', 'Si']",0.010053094729554957
Ag2ZnSiS4,2.12,1.7805117445853096,"['Ag', 'Zn', 'Si', 'S']",0.3394882554146905
SiP,3.59,3.3108975323138146,"['Si', 'P']",0.2791024676861853
KSi2P3,1.0,1.2370869645188505,"['K', 'Si', 'P']",-0.2370869645188505
AgGaSiSe4,0.95,1.476030653701029,"['Ag', 'Ga', 'Si', 'Se']",-0.5260306537010291
K8Ga8Si38,2.27,1.8918996344775367,"['K', 'Ga', 'Si']",0.3781003655224633
Cs2B4SiO9,0.044000000000000004,0.09754622083494002,"['Cs', 'B', 'Si', 'O']",-0.053546220834940025
La3Sb0.33SiS7,2.13,1.7426020056536204,"['La', 'Sb', 'Si', 'S']",0.38739799434637945
Ba8Ga10Si36,3.0,2.3384616223527788,"['Ba', 'Ga', 'Si']",0.6615383776472212
Ge0.8Si0.2,6.1,5.300024374711737,"['Ge', 'Si']",0.7999756252882628
Ge0.653Si0.347,1.91,1.7101324432524594,"['Ge', 'Si']",0.19986755674754053
Cu2ZnSiTe4,1.13,1.4078476228331431,"['Cu', 'Zn', 'Si', 'Te']",-0.277847622833143
Si30P16Te8,3.06,2.800397927658193,"['Si', 'P', 'Te']",0.2596020723418069
Ge0.06Si0.94,0.9,1.005710370923933,"['Ge', 'Si']",-0.10571037092393297
MgSiN2,2.0,2.28522580225052,"['Mg', 'Si', 'N']",-0.28522580225051986
Ge0.3Si0.7,0.23,0.3863314694905622,"['Ge', 'Si']",-0.15633146949056215
PbGa2SiSe6,1.8,2.2067602769556967,"['Pb', 'Ga', 'Si', 'Se']",-0.4067602769556966
Ge0.02Si0.98,1.88,1.4641161145265809,"['Ge', 'Si']",0.41588388547341903
BaSi2,3.26,3.161318237385279,"['Ba', 'Si']",0.09868176261472072
Bi12SiO20,4.35,4.170361482876109,"['Bi', 'Si', 'O']",0.179638517123891
LiSm3SiS7,2.04,2.2309412524972227,"['Li', 'Sm', 'Si', 'S']",-0.1909412524972227
SbSi,0.31,0.21107491321474736,"['Sb', 'Si']",0.09892508678525264
Ba4Si3Se9Cl2,2.54,2.9149830491994804,"['Ba', 'Si', 'Se', 'Cl']",-0.3749830491994803
ZnSiAs2,0.2,0.1113199178074522,"['Zn', 'Si', 'As']",0.0886800821925478
SiP2,3.5,2.245443552557208,"['Si', 'P']",1.2545564474427922
SnSi,1.3199999999999998,0.9246143364551812,"['Sn', 'Si']",0.3953856635448186
ZnSiP2,1.54,1.8178032494120824,"['Zn', 'Si', 'P']",-0.27780324941208234
Na2Hg3Si2S8,1.41,1.6593436295704749,"['Na', 'Hg', 'Si', 'S']",-0.24934362957047496
Cu2ZnSiS4,1.714,0.3941019282435887,"['Cu', 'Zn', 'Si', 'S']",1.3198980717564113
Na2In2SiS6,3.63,3.4420974111793736,"['Na', 'In', 'Si', 'S']",0.18790258882062627
Ge0.9355Si0.0645,1.45,1.236854207197565,"['Ge', 'Si']",0.21314579280243492
Ge0.6Si0.4,1.8,3.0946615944211384,"['Ge', 'Si']",-1.2946615944211384
Li2In2SiSe6,1.01,0.9536758498093558,"['Li', 'In', 'Si', 'Se']",0.05632415019064418
Ge0.7Si0.3,1.87,1.8786250428408215,"['Ge', 'Si']",-0.008625042840821662
Ge0.4Si0.6,0.22063157894736848,0.29274748892184554,"['Ge', 'Si']",-0.07211590997447706
Ge0.9Si0.1,6.0,4.61290627938048,"['Ge', 'Si']",1.3870937206195195
KBiSiS4,2.38,2.8539939697136245,"['K', 'Bi', 'Si', 'S']",-0.4739939697136246
Ge0.93Si0.07,1.1,0.7062530345407056,"['Ge', 'Si']",0.3937469654592944
Na4MgSi2Se6,2.21,2.5234949710327017,"['Na', 'Mg', 'Si', 'Se']",-0.3134949710327017
MnSi,1.04,0.9360907254223862,"['Mn', 'Si']",0.1039092745776138
SiSn,2.0069999999999997,1.2934321159031557,"['Si', 'Sn']",0.7135678840968445
Ge0.774Si0.226,1.6,1.6669794321421678,"['Ge', 'Si']",-0.06697943214216773
SiAs2,5.54,5.856271043287108,"['Si', 'As']",-0.3162710432871068
BaZnSiSe4,4.75,5.291589919407042,"['Ba', 'Zn', 'Si', 'Se']",-0.5415899194070422
Ge0.001Si0.999,1.4166666666666667,1.6899949304290065,"['Ge', 'Si']",-0.27332826376233976
Sm3Al0.33SiS7,0.35,0.41915821480132376,"['Sm', 'Al', 'Si', 'S']",-0.06915821480132378
Mn15Si26,2.37,2.4464526155867743,"['Mn', 'Si']",-0.07645261558677419
SiTe2,0.3,0.6015734322055932,"['Si', 'Te']",-0.30157343220559324
Fe2TiSi,1.57,2.391930918830022,"['Fe', 'Ti', 'Si']",-0.8219309188300226
CdSiAs2,0.8,1.148842851708063,"['Cd', 'Si', 'As']",-0.34884285170806306
Ge0.97Si0.03,3.06,1.8604795239412608,"['Ge', 'Si']",1.1995204760587392
BaGa2SiS6,3.17,2.887920726460389,"['Ba', 'Ga', 'Si', 'S']",0.2820792735396109
Ge0.1Si0.9,4.42,4.100200068824573,"['Ge', 'Si']",0.31979993117542715
Si3N4,1.54,1.6216702188222696,"['Si', 'N']",-0.08167021882226955
Ge0.891Si0.109,1.65,2.3074432790342128,"['Ge', 'Si']",-0.6574432790342128
LaSi2,0.47,0.8950665326049531,"['La', 'Si']",-0.4250665326049531
Ge0.999Si0.001,3.14,3.9887892533684046,"['Ge', 'Si']",-0.8487892533684045
Cs8Ga8Si38,2.05,1.9372860866440096,"['Cs', 'Ga', 'Si']",0.11271391335599025
SiB3,3.5,3.7274210696024017,"['Si', 'B']",-0.2274210696024017
Mn11Si19,0.645,0.5990979635832065,"['Mn', 'Si']",0.04590203641679347
Ag3Ga3SiSe8,1.85,1.835479027203407,"['Ag', 'Ga', 'Si', 'Se']",0.014520972796593147
Na8Al8Si38,1.0,0.7989369816172901,"['Na', 'Al', 'Si']",0.2010630183827099
K8Al8Si38,3.1,3.258015841959791,"['K', 'Al', 'Si']",-0.158015841959791
Ge0.542Si0.458,1.0,1.3210745789075578,"['Ge', 'Si']",-0.3210745789075577
Ge0.88Si0.12,2.7,2.4643893028797823,"['Ge', 'Si']",0.2356106971202179
Al0.74Gd3Si0.7S7,3.85,3.628179250228344,"['Al', 'Gd', 'Si', 'S']",0.22182074977165644
Ba2Ga8SiS16,3.4,3.2644488808404866,"['Ba', 'Ga', 'Si', 'S']",0.13555111915951334
BaGa2SiSe6,2.88,2.6951346317246383,"['Ba', 'Ga', 'Si', 'Se']",0.1848653682753616
Ca3Ti2Si3O12,1.65,3.9295810094694685,"['Ca', 'Ti', 'Si', 'O']",-2.279581009469469
CdSiP2,2.151666666666667,2.117475919317936,"['Cd', 'Si', 'P']",0.03419074734873062
CrSi2,1.3,0.4541630885082633,"['Cr', 'Si']",0.8458369114917368
Cu2MgSiS4,3.2,2.4876759155911508,"['Cu', 'Mg', 'Si', 'S']",0.7123240844088494
Cu2ZnSiSe4,2.33,2.036100309211914,"['Cu', 'Zn', 'Si', 'Se']",0.293899690788086
Dy3Al0.5SiS7,2.22,2.6283851275105654,"['Dy', 'Al', 'Si', 'S']",-0.4083851275105652
FeSi2,0.9159999999999999,0.5030873588527207,"['Fe', 'Si']",0.4129126411472793
Ge0.2Si0.8,1.1,1.019469818952441,"['Ge', 'Si']",0.08053018104755916
Ge0.92Si0.08,0.72,0.8663127399886683,"['Ge', 'Si']",-0.14631273998866834
GeSi,0.88,0.9785835058594008,"['Ge', 'Si']",-0.0985835058594009
La3Sb0.33SiSe7,1.75,1.6259123491861338,"['La', 'Sb', 'Si', 'Se']",0.1240876508138662
Li2HgSiS4,2.68,2.746704849000136,"['Li', 'Hg', 'Si', 'S']",-0.06670484900013562
Li2In2SiS6,3.61,3.1387589151071857,"['Li', 'In', 'Si', 'S']",0.4712410848928141
Mg2Si,2.27,1.5500648999443705,"['Mg', 'Si']",0.7199351000556296
ReSi2,0.14833333333333334,0.8637123755896674,"['Re', 'Si']",-0.7153790422563341
Ru2Si3,0.57,0.4656191983733002,"['Ru', 'Si']",0.10438080162669976
Si2Te3,2.0925,1.6166510050339546,"['Si', 'Te']",0.4758489949660452
SiSe2,1.7299999999999998,2.2198342781754232,"['Si', 'Se']",-0.4898342781754234
