formula,actual,predicted,elements,residual
SmB6,0.8466666666666667,1.3213827707099863,Sm B,-0.4747161040433197
SmAs,1.02,0.9453108574475646,Sm As,0.07468914255243543
Sm2O3,2.2,2.1703467306321595,Sm O,0.029653269367840632
Cu3SmTe3,1.67,1.5548791452690107,Cu Sm Te,0.1151208547309892
CuSmSe2,3.82,3.4880131584284566,Cu Sm Se,0.33198684157154323
SmSe,2.3,1.1681562591886332,Sm Se,1.1318437408113666
Sm4GaSbS9,1.67,1.5305096693993203,Sm Ga Sb S,0.1394903306006796
CsSmCdSe3,2.7,2.9328651512152515,Cs Sm Cd Se,-0.2328651512152513
Sm2Mn3Sb4S12,0.135,0.12064237885664132,Sm Mn Sb S,0.014357621143358687
Ba2GaSmSe5,1.3,2.0976500674178995,Ba Ga Sm Se,-0.7976500674178995
CsSmHgSe3,3.225,3.0630377381623326,Cs Sm Hg Se,0.16196226183766704
CsSmZnSe3,3.7,3.5162588368324323,Cs Sm Zn Se,0.18374116316756786
Er3SmSe6,6.1,4.533827152621688,Er Sm Se,1.5661728473783114
K2SmP2S7,0.20600000000000002,0.13658744834981995,K Sm P S,0.06941255165018004
Sm2YbCuS5,1.15,0.6684406928653797,Sm Yb Cu S,0.4815593071346202
LiSm3SiS7,2.04,2.2309412524972227,Li Sm Si S,-0.1909412524972227
Sm2Se3,1.6,1.4406551298484542,Sm Se,0.15934487015154586
Ca2SmTaO6,1.82,1.8098384737557067,Ca Sm Ta O,0.010161526244293341
SmBiW2O9,1.856666666666667,2.1076424719302507,Sm Bi W O,-0.25097580526358376
Sm2Te3,2.6,2.284583151152658,Sm Te,0.3154168488473421
Ba2SmTaO6,0.34,0.251094220413945,Ba Sm Ta O,0.088905779586055
Sm2Sn3Se9,0.8,2.461954632869704,Sm Sn Se,-1.661954632869704
K3SmAs2S8,1.74,1.4253923760299312,K Sm As S,0.3146076239700688
SmCuOSe,2.63,2.4130713507216486,Sm Cu O Se,0.2169286492783513
Ba2GaSmTe5,2.17,2.010200112311222,Ba Ga Sm Te,0.15979988768877804
Sm3Te4,1.485,2.3143244600994684,Sm Te,-0.8293244600994683
SmP,0.5,0.27663574848034234,Sm P,0.22336425151965766
Sr2SmTaO6,1.1,1.0645288432409048,Sr Sm Ta O,0.03547115675909529
CaSm2S4,2.1,1.8113329577196544,Ca Sm S,0.2886670422803459
Ba2InSmTe5,1.8,1.6552117609771215,Ba In Sm Te,0.14478823902287852
SmIn3S6,0.59,0.5209119411173306,Sm In S,0.06908805888266932
Sm3Al0.33SiS7,0.35,0.41915821480132376,Sm Al Si S,-0.06915821480132378
SmSb,1.57,1.5521909222583288,Sm Sb,0.017809077741671286
SmTe,2.1,2.028432131317838,Sm Te,0.07156786868216214
Sm4InSbS9,0.2025,0.22180841080212144,Sm In Sb S,-0.019308410802121426
Sm1.82Lu2.18Se6,0.3633333333333333,0.4298489584145973,Sm Lu Se,-0.06651562508126402
NaSmP2S6,1.55,2.10098036077804,Na Sm P S,-0.5509803607780401
Ba2InSmSe5,1.45,1.665289514010782,Ba In Sm Se,-0.21528951401078197
Sm2ZrSe5,1.67,1.0556789700383593,Sm Zr Se,0.6143210299616406
K2Sm2Ti3O10,1.76,1.7811735731004197,K Sm Ti O,-0.021173573100419674
Sm2S3,2.47,3.0381016152290545,Sm S,-0.5681016152290543
SmB66,3.5,3.4687534168282514,Sm B,0.03124658317174856
Cu3SmS3,1.82,1.277776492399365,Cu Sm S,0.542223507600635
KSm2CuS4,2.17,1.7961950458431453,K Sm Cu S,0.37380495415685466
Sm2Sc3,2.3,0.6558548785002891,Sm Sc,1.6441451214997107
Sm3S3BO3,2.5,3.1835738536366565,Sm S B O,-0.6835738536366559
SmCuOS,2.9,2.717658380475452,Sm Cu O S,0.18234161952454767
SmS,2.3,1.9454211845975884,Sm S,0.35457881540241143
SmSb2BO8,3.54,3.7196150430659394,Sm Sb B O,-0.17961504306593934
SmSnTe2,0.52,0.4787757181699952,Sm Sn Te,0.041224281830004816
