formula,actual,predicted,elements,residual
RbInSnS4,2.96,3.5787820699807726,"['Rb', 'In', 'Sn', 'S']",-0.6187820699807731
Ce2Sn3Se9,4.22,4.041873144179332,"['Ce', 'Sn', 'Se']",0.17812685582066745
Ag4Ba6Sn4S16,1.5,1.1631825832846785,"['Ag', 'Ba', 'Sn', 'S']",0.3368174167153215
ZnSnP2,1.92,1.8092582004085769,"['Zn', 'Sn', 'P']",0.11074179959142304
Pb0.75Sn0.25Te,1.42,1.6352588931281942,"['Pb', 'Sn', 'Te']",-0.21525889312819424
Ba8Sn4S15,3.46,3.469285434599895,"['Ba', 'Sn', 'S']",-0.009285434599894948
Li2CdSnS4,0.8,1.0131981752118673,"['Li', 'Cd', 'Sn', 'S']",-0.21319817521186726
Pb0.85Sn0.15Se,0.44,0.3316870077988181,"['Pb', 'Sn', 'Se']",0.1083129922011819
Ba2SnSe5,2.54,2.60654237048348,"['Ba', 'Sn', 'Se']",-0.06654237048348001
Pb0.77Sn0.23Te,2.75,2.1291435347843315,"['Pb', 'Sn', 'Te']",0.6208564652156685
Ag2.7Ba6Sn4.3S16,6.89,6.469611942062754,"['Ag', 'Ba', 'Sn', 'S']",0.4203880579372461
K10Zn4Sn4S17,2.6,1.964797148561244,"['K', 'Zn', 'Sn', 'S']",0.635202851438756
CdSnAs2,1.3,1.3627408711513722,"['Cd', 'Sn', 'As']",-0.06274087115137217
BaSn2S5,3.97,4.558574379544863,"['Ba', 'Sn', 'S']",-0.5885743795448629
Pb0.9Sn0.1Se,1.375,2.9077576396776106,"['Pb', 'Sn', 'Se']",-1.5327576396776106
K2ZnSn3S8,2.23,2.2313722557280737,"['K', 'Zn', 'Sn', 'S']",-0.0013722557280737568
Pb0.999Sn0.001Te,1.76,1.6527367071304564,"['Pb', 'Sn', 'Te']",0.1072632928695436
Ba4Ga4SnSe12,1.36,2.0919471555497164,"['Ba', 'Ga', 'Sn', 'Se']",-0.7319471555497163
Ca2SnS4,1.7,1.6903162200644868,"['Ca', 'Sn', 'S']",0.00968377993551317
Pb0.65Se0.65Sn0.35Te0.35,3.1,3.046034961167491,"['Pb', 'Se', 'Sn', 'Te']",0.053965038832509034
