formula,actual,predicted,elements,residual
Sr3Ti2O7,7.3,8.141084935579455,'Sr' 'Ti' 'O',-0.8410849355794552
Sr2Bi5.42La2.58S14,0.7,0.7682986146307922,'Sr' 'Bi' 'La' 'S',-0.06829861463079223
SrPb3Br8,1.3733333333333333,1.0982825526485245,'Sr' 'Pb' 'Br',0.2750507806848088
Sr5V3O12F,0.42,0.3405962541344509,'Sr' 'V' 'O' 'F',0.0794037458655491
Sr3Se3O8Cl,2.83,2.40140988888015,'Sr' 'Se' 'O' 'Cl',0.42859011111985
SrPr2S4,5.17,6.4958465669427286,'Sr' 'Pr' 'S',-1.3258465669427286
Li4SrB2O6,0.161,0.06828767858755748,'Li' 'Sr' 'B' 'O',0.09271232141244252
SrCrO4,0.5,0.6911278715383329,'Sr' 'Cr' 'O',-0.19112787153833288
SrZnSO,1.36,1.325165929420228,'Sr' 'Zn' 'S' 'O',0.034834070579772065
Sr4Te3O8Cl4,0.26,0.4580138904866598,'Sr' 'Te' 'O' 'Cl',-0.1980138904866598
SrO,1.5,1.44573449948283,'Sr' 'O',0.05426550051716994
Sr0.5TaO3,0.12,0.17862518471519007,'Sr' 'Ta' 'O',-0.05862518471519008
Sr8.007Ge2.043Bi7.949Se24,1.8,2.7772261091239896,'Sr' 'Ge' 'Bi' 'Se',-0.9772261091239896
SrTiO3,0.17666666666666667,0.15381385745935727,'Sr' 'Ti' 'O',0.0228528092073094
SrThP2S8,1.5,1.9880938078425627,'Sr' 'Th' 'P' 'S',-0.4880938078425627
SrLa2S4,1.945,1.9748518918957647,'Sr' 'La' 'S',-0.02985189189576509
SrB6,0.17166666666666666,0.2294310321204432,'Sr' 'B',-0.0577643654537765
Sr2V3Se5O18,3.22,2.885469834512902,'Sr' 'V' 'Se' 'O',0.33453016548709824
SrGe2,2.83,2.8699620690135084,'Sr' 'Ge',-0.039962069013508295
Sr3EuP3O12,1.2,1.3968006119735863,'Sr' 'Eu' 'P' 'O',-0.19680061197358634
SrSeO4,2.2,2.3106909044857358,'Sr' 'Se' 'O',-0.1106909044857356
Sr3GeSb2Se8,1.36,1.1981330900433962,'Sr' 'Ge' 'Sb' 'Se',0.1618669099566039
SrSe,1.47,3.057810815100677,'Sr' 'Se',-1.5878108151006771
Sr3BiP3O12,3.08,2.7800411564533047,'Sr' 'Bi' 'P' 'O',0.2999588435466953
Sr2SmTaO6,1.1,1.0645288432409048,'Sr' 'Sm' 'Ta' 'O',0.03547115675909529
Pr2Sr2PtO7.07,1.43,1.7407206877591903,'Pr' 'Sr' 'Pt' 'O',-0.3107206877591904
La2Sr2PtO7.13,0.9,2.311221310931584,'La' 'Sr' 'Pt' 'O',-1.4112213109315839
Sr2Be2B2O7,5.0,4.158358752799255,'Sr' 'Be' 'B' 'O',0.8416412472007453
SrTaO2N,2.625,2.23756960710288,'Sr' 'Ta' 'O' 'N',0.3874303928971199
SrNd2S4,3.0,2.473062701284401,'Sr' 'Nd' 'S',0.5269372987155991
SrTe,0.67,0.7820382548207006,'Sr' 'Te',-0.11203825482070053
SrZrS3,3.78,3.3396274492609828,'Sr' 'Zr' 'S',0.4403725507390169
Sr2V2Se3O15,1.24,1.3939567734114906,'Sr' 'V' 'Se' 'O',-0.1539567734114906
SrS,0.63875,0.8787575728641901,'Sr' 'S',-0.2400075728641901
SrBiO2Cl,0.51,0.5449304170631297,'Sr' 'Bi' 'O' 'Cl',-0.03493041706312972
Sr2ScSbO6,3.57,3.9244354022835033,'Sr' 'Sc' 'Sb' 'O',-0.35443540228350345
Sr2TiO4,3.41,3.5389577998738524,'Sr' 'Ti' 'O',-0.12895779987385225
Sr4V2Se6O21,2.66,3.3639577663258784,'Sr' 'V' 'Se' 'O',-0.7039577663258783
Sr8Ga16Ge30,0.05,0.4633875500630573,'Sr' 'Ga' 'Ge',-0.4133875500630573
SrIr4In2Ge4,0.25,0.6786821483402115,'Sr' 'Ir' 'In' 'Ge',-0.42868214834021146
SrMgSnSe4,2.0,2.4939381745664906,'Sr' 'Mg' 'Sn' 'Se',-0.4939381745664906
SrPbO3,1.78,3.212494887349859,'Sr' 'Pb' 'O',-1.4324948873498589
SrSnO3,4.1,3.4771793581378136,'Sr' 'Sn' 'O',0.622820641862186
