formula,actual,predicted,elements,residual
K3Ta2AsSe11,2.44,2.0983324243061907,"['K', 'Ta', 'As', 'Se']",0.34166757569380923
Ba2ScTaO6,0.15,0.8413226220715709,"['Ba', 'Sc', 'Ta', 'O']",-0.6913226220715709
Ta1.33Zr0.67O0.12N3.03,2.4,2.677748041532565,"['Ta', 'Zr', 'O', 'N']",-0.2777480415325653
Eu1.83Ta15O32,2.25,2.2625506659961427,"['Eu', 'Ta', 'O']",-0.01255066599614274
Rb3Ta2AsS11,1.368835,1.3012267644383808,"['Rb', 'Ta', 'As', 'S']",0.06760823556161921
Cu2Ta11O30,2.23,1.9776219053352388,"['Cu', 'Ta', 'O']",0.25237809466476113
Ta0.67Zr1.33O0.42N2.61,0.58,1.1841429859740042,"['Ta', 'Zr', 'O', 'N']",-0.6041429859740043
Ba3MgTa2O9,0.29,0.3981886871135005,"['Ba', 'Mg', 'Ta', 'O']",-0.10818868711350048
Ba3Ta5O14N,2.4163333333333337,2.3147839518104805,"['Ba', 'Ta', 'O', 'N']",0.1015493815228532
Cu2Ta4O11,1.0833333333333333,0.5745500809983328,"['Cu', 'Ta', 'O']",0.5087832523350004
Cu3TaS4,2.07,2.205684651240352,"['Cu', 'Ta', 'S']",-0.13568465124035226
PrTaN2O,3.34,2.9986514004838565,"['Pr', 'Ta', 'N', 'O']",0.3413485995161434
Tl4Ta2S11,0.37,1.6969616261068317,"['Tl', 'Ta', 'S']",-1.3269616261068315
Ba3ZnTa2O9,2.3,2.206297595505964,"['Ba', 'Zn', 'Ta', 'O']",0.093702404494036
LaTaN2O,3.37,2.9556638807720272,"['La', 'Ta', 'N', 'O']",0.4143361192279729
Mn3Ta2O8,1.95,2.137688294144743,"['Mn', 'Ta', 'O']",-0.18768829414474308
Cu3Ta7O19,1.71,2.050750872236341,"['Cu', 'Ta', 'O']",-0.3407508722363408
Ba1.88Ta15O32,2.08,2.2318233978205395,"['Ba', 'Ta', 'O']",-0.15182339782053944
CsTa3Se2O12,1.858412,2.0150132340121334,"['Cs', 'Ta', 'Se', 'O']",-0.15660123401213344
K6Nb2.97Ta1.03S25,1.69,1.4438294354682908,"['K', 'Nb', 'Ta', 'S']",0.2461705645317092
Ta0.67Zr1.33O1.89N1.63,0.55,0.5118416771223222,"['Ta', 'Zr', 'O', 'N']",0.038158322877677835
Sr0.5TaO3,0.12,0.17862518471519007,"['Sr', 'Ta', 'O']",-0.05862518471519008
