formula,actual,predicted,elements,residual
KCuThS3,0.32,2.425403414430632,K Cu Th S,-2.1054034144306315
Ba3ThSe7,1.459,1.6060359071107921,Ba Th Se,-0.14703590711079184
Rb7Th2P6Se21,2.06,2.00918615021382,Rb Th P Se,0.050813849786179865
K2Cu2ThS4,4.13,5.943816063133139,K Cu Th S,-1.8138160631331388
ThOS,3.4028090909090905,4.020647435483082,Th O S,-0.6178383445739914
Th2GeSe2,3.73,3.5411051084047127,Th Ge Se,0.18889489159528727
ThOSe,1.46,1.5158317486013173,Th O Se,-0.055831748601317344
Th2Se5,1.47,1.6596302131566345,Th Se,-0.18963021315663453
ThO2,3.34,2.5956129084157054,Th O,0.7443870915842945
SrThP2S8,1.5,1.9880938078425627,Sr Th P S,-0.4880938078425627
ThOTe,1.47,1.4950960645306823,Th O Te,-0.02509606453068236
Cs4Th2P6S18,0.8,0.7020901052440411,Cs Th P S,0.0979098947559589
Ba2Cu2ThSe5,1.75,1.7437415462009902,Ba Cu Th Se,0.0062584537990098
K3Cu3Th2S7,2.49,2.2604430371318607,K Cu Th S,0.2295569628681396
