formula,actual,predicted,elements,residual
TiTe2,0.4300000000000001,0.35479108847155594,"['Ti', 'Te']",0.07520891152844418
TiS3,0.25,0.2553700676867816,"['Ti', 'S']",-0.00537006768678161
TiC0.9,0.257,0.3203037823370476,"['Ti', 'C']",-0.06330378233704759
Sr3Ti2O7,7.3,8.141084935579455,"['Sr', 'Ti', 'O']",-0.8410849355794552
TlTiPS5,1.77,2.117736310494619,"['Tl', 'Ti', 'P', 'S']",-0.3477363104946192
TiNiSb,0.51,0.4437565153974088,"['Ti', 'Ni', 'Sb']",0.06624348460259122
Cs2TiAg2S4,9.33,8.681608227234673,"['Cs', 'Ti', 'Ag', 'S']",0.6483917727653274
K2Gd2Ti3O10,1.59,0.641040588295736,"['K', 'Gd', 'Ti', 'O']",0.948959411704264
K2TiCu2S4,1.29,1.4342230548933284,"['K', 'Ti', 'Cu', 'S']",-0.14422305489332832
Rb4Ti3S14,3.0,3.141858301464344,"['Rb', 'Ti', 'S']",-0.14185830146434375
H2Ti6O13,3.4410000000000003,3.909306655372535,"['H', 'Ti', 'O']",-0.4683066553725346
SrTiO3,0.17666666666666667,0.15381385745935727,"['Sr', 'Ti', 'O']",0.022852809207309397
ScTiNbO6,2.2,1.4904609540843294,"['Sc', 'Ti', 'Nb', 'O']",0.7095390459156707
TiSe2,2.35,2.3855586398265016,"['Ti', 'Se']",-0.03555863982650154
Na2Ti3O7,3.0,3.0020276038911065,"['Na', 'Ti', 'O']",-0.0020276038911064553
Bi25TiO39,0.9,0.7626123554774846,"['Bi', 'Ti', 'O']",0.1373876445225154
TiCoSb,1.25,1.3013098443017244,"['Ti', 'Co', 'Sb']",-0.05130984430172436
TiS2,1.5030000000000001,0.8790483047036135,"['Ti', 'S']",0.6239516952963864
La2CoTiO6,0.9916666666666668,0.8073798556126777,"['La', 'Co', 'Ti', 'O']",0.18428681105398914
Rb2TiCu2S4,2.49,2.5532937893345986,"['Rb', 'Ti', 'Cu', 'S']",-0.0632937893345984
Fe2TiSi,1.57,2.391930918830022,"['Fe', 'Ti', 'Si']",-0.8219309188300226
K2Nd2Ti3O10,0.45,0.4262355822498689,"['K', 'Nd', 'Ti', 'O']",0.023764417750131103
TiTlS2,1.77,2.190001556564683,"['Ti', 'Tl', 'S']",-0.4200015565646829
Rb2TiAg2S4,0.32,0.2718382549707901,"['Rb', 'Ti', 'Ag', 'S']",0.04816174502920989
KTi2F7,1.51,1.518062103664251,"['K', 'Ti', 'F']",-0.008062103664250975
Bi12TiO20,0.66,1.0666792168167962,"['Bi', 'Ti', 'O']",-0.4066792168167962
AgLi0.33Ti0.67O2,2.61,2.440591718405729,"['Ag', 'Li', 'Ti', 'O']",0.1694082815942708
K3Ti2P5S18,2.43,1.8570353700503992,"['K', 'Ti', 'P', 'S']",0.5729646299496011
K2Sm2Ti3O10,1.76,1.7811735731004197,"['K', 'Sm', 'Ti', 'O']",-0.021173573100419674
TiO2,1.8030000000000002,2.701063425904964,"['Ti', 'O']",-0.8980634259049638
BaTiO3,3.0569999999999995,3.5083599902833065,"['Ba', 'Ti', 'O']",-0.451359990283307
Ca3Ti2Si3O12,1.65,3.9295810094694685,"['Ca', 'Ti', 'Si', 'O']",-2.279581009469469
K2Dy2Ti3O10,3.38,3.357157823004908,"['K', 'Dy', 'Ti', 'O']",0.022842176995091727
K2La2Ti3O10,3.05,3.8442676057574623,"['K', 'La', 'Ti', 'O']",-0.7942676057574625
KTiPO5,3.67,3.5064438917449614,"['K', 'Ti', 'P', 'O']",0.16355610825503852
Sr2TiO4,3.41,3.5389577998738524,"['Sr', 'Ti', 'O']",-0.12895779987385225
TiTlSe2,0.56,0.9685922075539928,"['Ti', 'Tl', 'Se']",-0.4085922075539927
