formula,actual,predicted,elements,residual
Tl4CuTeO6,2.05,1.7399172448755262,Tl Cu Te O,0.3100827551244736
TlHg6S4Br5,1.2733333333333334,1.446571536742196,Tl Hg S Br,-0.17323820340886265
TlSbS2,7.745000000000001,6.826773827507267,Tl Sb S,0.9182261724927336
Tl2O3,3.64,4.208627877103393,Tl O,-0.5686278771033932
Tl3VS4,1.61,1.802358939812704,Tl V S,-0.1923589398127039
Tl2AuPS4,3.25,3.1712518289522773,Tl Au P S,0.07874817104772269
TlPSe2,3.1,5.4501726165278495,Tl P Se,-2.3501726165278494
Tl2GeTe3,4.44,4.159046848731263,Tl Ge Te,0.2809531512687373
TlAsS2,2.13,3.4323111301248432,Tl As S,-1.3023111301248431
TlTiPS5,1.77,2.117736310494619,Tl Ti P S,-0.3477363104946192
AgTlSe2,2.347,2.3858426033492304,Ag Tl Se,-0.0388426033492304
Tl2PrInSe4,2.288333333333333,2.0604945824691168,Tl Pr In Se,0.22783875086421634
TlCr5S4Se4,1.89,1.9475908631765693,Tl Cr S Se,-0.05759086317656936
TlBr,1.02,1.6745220728363934,Tl Br,-0.6545220728363934
TlScS2,1.5,1.6165609253512487,Tl Sc S,-0.11656092535124872
Tl2Hg3Te4,1.36,1.5718225461279447,Tl Hg Te,-0.2118225461279446
TlInGeS4,0.69,0.6262055362144254,Tl In Ge S,0.06379446378557453
TlCr5Se8,3.0264,2.4698618591686143,Tl Cr Se,0.5565381408313859
Tl2CeP2S7,1.2063636363636363,0.9914168429400236,Tl Ce P S,0.21494679342361267
Tl2InGaTe4,2.18,2.2098773714167006,Tl In Ga Te,-0.029877371416700438
Tl4Ta2S11,0.37,1.6969616261068317,Tl Ta S,-1.3269616261068315
TlS2,1.78,2.564221380254116,Tl S,-0.7842213802541156
TlPrSe2,0.65,0.8385572965948764,Tl Pr Se,-0.1885572965948764
Tl2TeI6,3.3100000000000005,3.1375008190518714,Tl Te I,0.1724991809481291
Pb0.93TeTl0.07,2.36,2.2905506804866373,Pb Te Tl,0.06944931951336253
TlGaTe2,0.297,0.7974426038273235,Tl Ga Te,-0.5004426038273235
Tl2S,1.27,0.9000096701819187,Tl S,0.3699903298180813
TlGaS2,0.69,0.5202110467457599,Tl Ga S,0.16978895325424004
Tl2TeBr6,2.1,1.5294661786922346,Tl Te Br,0.5705338213077655
TlCr5S3Se5,0.6,1.210188697332586,Tl Cr S Se,-0.6101886973325861
Tl2Hg3Se4,2.37,2.2446085268155853,Tl Hg Se,0.1253914731844148
Tl3CuNb2Se12,1.45,1.2863426952107089,Tl Cu Nb Se,0.16365730478929108
TlBiTe3,2.063333333333333,2.140872286520664,Tl Bi Te,-0.07753895318733095
TlPTe,3.75,3.5303616627372376,Tl P Te,0.2196383372627624
Tl2Hg3S4,1.6,1.5554702169803942,Tl Hg S,0.04452978301960586
TlCl,1.6,2.8521191547411733,Tl Cl,-1.2521191547411732
CdTlS2,1.5933333333333335,1.3640966342854153,Cd Tl S,0.2292366990479182
TlInTe2,1.62,1.7362147544030482,Tl In Te,-0.11621475440304807
Pb0.999TeTl0.001,2.6500000000000004,2.3114779266193723,Pb Te Tl,0.338522073380628
TlS,1.06,1.3679942721206515,Tl S,-0.30799427212065145
Tl4CdI6,0.3620714285714285,0.7604035356308687,Tl Cd I,-0.3983321070594402
TlHg6Se4Br5,4.1850000000000005,4.27103233176143,Tl Hg Se Br,-0.08603233176142933
Tl4GaIn3S8,1.85,0.9577532382483556,Tl Ga In S,0.8922467617516445
TlCr5S6Se2,2.8,2.4567600042860223,Tl Cr S Se,0.3432399957139776
TlGaSe2,3.25,2.3506792938682777,Tl Ga Se,0.8993207061317223
TlBiTe2,3.7,3.848616579414607,Tl Bi Te,-0.1486165794146066
Tl2InGaSe4,1.9,1.998569332442922,Tl In Ga Se,-0.098569332442922
TlCuCl3,1.6,0.6815105455358816,Tl Cu Cl,0.9184894544641184
TlCr5S5Se3,0.6,1.0004634404623216,Tl Cr S Se,-0.4004634404623216
AgTlTe2,3.37,3.1308629310616523,Ag Tl Te,0.23913706893834785
TlN,0.8933333333333334,1.6043353498253152,Tl N,-0.7110020164919818
TlSbTe3,1.935,1.9024944329126283,Tl Sb Te,0.032505567087371734
TlAsSe2,1.8,1.7339406605461063,Tl As Se,0.06605933945389375
TlN3,2.45,2.6385829098844162,Tl N,-0.1885829098844156
TlCr5S8,0.905,1.0712071491273418,Tl Cr S,-0.1662071491273418
TiTlS2,1.77,2.190001556564683,Ti Tl S,-0.4200015565646829
CuTlSe2,2.19,2.0944943280390493,Cu Tl Se,0.0955056719609506
Pb0.96TeTl0.04,1.119,3.0298776477336578,Pb Te Tl,-1.910877647733657
TlScSe2,0.53,0.6351172423800353,Tl Sc Se,-0.10511724238003528
TlHgInS3,2.1,2.079793848778168,Tl Hg In S,0.02020615122183189
TlSbSe2,1.39,0.7468377078493251,Tl Sb Se,0.6431622921506748
Tl2TeS3,1.3,1.2322625655303217,Tl Te S,0.06773743446967839
Tl6CuTe2O10,4.0,4.0144777822440165,Tl Cu Te O,-0.014477782244016526
TlInSe2,1.59,2.2553112286084502,Tl In Se,-0.6653112286084502
Pb0.99TeTl0.01,1.98,3.0634669027663097,Pb Te Tl,-1.0834669027663095
TlScTe2,1.86,1.833964519160604,Tl Sc Te,0.026035480839396108
Tl2SeAs2Te3,3.35,4.27761964479261,Tl Se As Te,-0.92761964479261
Pb0.995TeTl0.005,0.48,0.3810753798965969,Pb Te Tl,0.09892462010340307
TiTlSe2,0.56,0.9685922075539928,Ti Tl Se,-0.4085922075539927
Tl2.35Sb8.65Se14,0.6,0.9897425107324374,Tl Sb Se,-0.3897425107324374
Tl2Au2Sn2Se6,1.2,1.0339379646238989,Tl Au Sn Se,0.1660620353761011
Tl2BiP2S7,1.8,2.371837220256534,Tl Bi P S,-0.5718372202565339
Tl2Cu2SnS4,1.4,1.362401627432856,Tl Cu Sn S,0.03759837256714405
Tl2Se,0.37,0.8447932940437362,Tl Se,-0.4747932940437362
Tl2Te3,0.516,0.4744958229173301,Tl Te,0.04150417708267001
Tl3AsSe3,1.3,0.9400922915270052,Tl As Se,0.3599077084729948
Tl3TaS4,2.4400000000000004,2.1063823482295407,Tl Ta S,0.3336176517704597
Tl4Nb2S11,1.8,1.5005228178704293,Tl Nb S,0.29947718212957075
TlCr5S2Se6,0.75,0.7828728083262568,Tl Cr S Se,-0.03287280832625683
TlCr5S7Se,0.97,0.902874980511509,Tl Cr S Se,0.06712501948849092
TlCr5SSe7,0.71,0.7391853285638739,Tl Cr S Se,-0.029185328563873906
TlCu3Lu2Se5,2.12,0.8946149919879609,Tl Cu Lu Se,1.2253850080120392
TlInS2,2.3175,1.6368919097382069,Tl In S,0.680608090261793
TlPS2,1.65,2.236964835153625,Tl P S,-0.586964835153625
TlSe,0.7634615384615385,0.8554911420287077,Tl Se,-0.09202960356716916
TlTaS3,0.78,1.9300446597144647,Tl Ta S,-1.1500446597144651
