formula,actual,predicted,elements,residual
VO2,3.26,2.8860515022992086,V O,0.3739484977007912
Cu3VS4,1.81,1.1986026723535002,Cu V S,0.6113973276464999
GaVTe2O8,2.59,2.3513877615197583,Ga V Te O,0.2386122384802416
Ba3V2Se4O16,1.35,1.2646667743656774,Ba V Se O,0.08533322563432266
Tl3VS4,1.61,1.802358939812704,Tl V S,-0.1923589398127039
Ba2V2Te2O11,2.64,2.8989892086698865,Ba V Te O,-0.2589892086698864
La2CoVO6,2.75,2.8551281895184366,La Co V O,-0.1051281895184366
V2O4,2.46,3.4048740584142916,V O,-0.944874058414292
Zn3V2TeO10,0.75,0.7191718294936589,Zn V Te O,0.030828170506341124
Bi2YVO8,0.9,0.6532448731812774,Bi Y V O,0.2467551268187225
Bi24VO41,2.25,1.8858095324717947,Bi V O,0.3641904675282053
BaV2SeO8,1.7,1.9508166810929293,Ba V Se O,-0.2508166810929293
KV2I3O13,2.87,2.9317792710851025,K V I O,-0.0617792710851024
Sr5V3O12F,0.42,0.3405962541344509,Sr V O F,0.0794037458655491
Cd2V2Te2O11,4.42,4.01289139861029,Cd V Te O,0.4071086013897096
AlVTe2O8,3.78,4.3709092742379285,Al V Te O,-0.5909092742379287
Rb2AgVS4,1.6,2.307114378776501,Rb Ag V S,-0.7071143787765011
Cd4V3Te3O15,3.03,2.8119349086979977,Cd V Te O,0.21806509130200213
Ba2V4Te3O18,0.845,1.0223225062037269,Ba V Te O,-0.17732250620372692
RbCu2VS4,1.9315714285714287,2.0613389991478406,Rb Cu V S,-0.12976757057641186
Pb3BiV3O12,0.21,0.2473494019353151,Pb Bi V O,-0.03734940193531512
V2O5,1.0,1.054830360780505,V O,-0.05483036078050496
Ba5V3O12F,3.3,3.8752961101478203,Ba V O F,-0.57529611014782
Cs2AgVS4,2.9,3.086957976847134,Cs Ag V S,-0.1869579768471339
La2NiVO6,2.585,2.9348438384683275,La Ni V O,-0.3498438384683276
Nb6VSb3O25,2.18,2.1246389023981016,Nb V Sb O,0.055361097601898564
Pb4V2Se6O21,3.58,3.413930719243877,Pb V Se O,0.16606928075612304
Sr2V3Se5O18,3.22,2.885469834512902,Sr V Se O,0.33453016548709824
BiZn2VO6,2.4,2.025900907033231,Bi Zn V O,0.3740990929667691
Bi2V2Se4O16,0.16,0.6224678266584771,Bi V Se O,-0.4624678266584771
VFeSb,1.04,1.3325569124629313,V Fe Sb,-0.29255691246293125
K2CuVS4,1.08,0.9608365721297192,K Cu V S,0.11916342787028088
MnVTe2O8,2.52,3.1657882420014216,Mn V Te O,-0.6457882420014216
KAg11V4O16,2.47,2.8966040032922065,K Ag V O,-0.4266040032922063
Rb2CuVS4,1.07,1.1514681662273558,Rb Cu V S,-0.08146816622735575
EuVO4,5.576666666666667,4.144000893194091,Eu V O,1.4326657734725758
YVSeO10,1.4,1.830625254977834,Y V Se O,-0.430625254977834
K2AgVS4,1.28,1.8526740647002118,K Ag V S,-0.572674064700212
La2V2IO9,2.35,2.2335109572028538,La V I O,0.11648904279714588
Sr2V2Se3O15,1.24,1.3939567734114906,Sr V Se O,-0.1539567734114906
LaVI5O16,0.6066666666666668,0.8142789816122775,La V I O,-0.20761231494561072
Ag2VI3O11,5.76,5.851029668294148,Ag V I O,-0.09102966829414784
YVTeO10,0.15,0.07641158084517663,Y V Te O,0.07358841915482336
Ag2V2I4O16,2.24,2.6700492815757526,Ag V I O,-0.4300492815757528
Ba2ZnV2O8,3.48,3.5553442824377406,Ba Zn V O,-0.0753442824377406
Bi4V2O11,2.0,2.456960429899308,Bi V O,-0.4569604298993082
Ni2InVO6,1.92,1.853860380367788,Ni In V O,0.06613961963221192
Pb2V3Se5O18,3.14,3.1825228360157176,Pb V Se O,-0.042522836015717484
Sr4V2Se6O21,2.66,3.3639577663258784,Sr V Se O,-0.7039577663258783
V3As2O9,0.76,2.326220032121025,V As O,-1.5662200321210251
VO,0.3,2.575105805152728,V O,-2.275105805152728
VTeO5H,2.51,3.4845553214840628,V Te O H,-0.974555321484063
