formula,actual,predicted,elements,residual
ErBiW2O9,2.9,2.5667432029642594,"['Er', 'Bi', 'W', 'O']",0.3332567970357405
EuBiW2O9,0.07500000000000001,0.3535910549372234,"['Eu', 'Bi', 'W', 'O']",-0.2785910549372234
CeBiW2O9,0.6,0.5463224709301411,"['Ce', 'Bi', 'W', 'O']",0.0536775290698589
Na3WO4Cl,0.17666666666666667,0.850431340274457,"['Na', 'W', 'O', 'Cl']",-0.6737646736077904
SmBiW2O9,1.856666666666667,2.1076424719302507,"['Sm', 'Bi', 'W', 'O']",-0.25097580526358376
Cs3W3PO13,3.02,2.7669258599799047,"['Cs', 'W', 'P', 'O']",0.2530741400200953
WO3,1.0,1.2536946610834274,"['W', 'O']",-0.2536946610834274
Cu2WSe4,3.02,3.767699558885792,"['Cu', 'W', 'Se']",-0.7476995588857918
Sn2WO5,0.14,0.2496918167972905,"['Sn', 'W', 'O']",-0.10969181679729054
YbClWO4,2.1,1.8684205596624408,"['Yb', 'Cl', 'W', 'O']",0.2315794403375593
WSe2,2.855,2.1755730385343544,"['W', 'Se']",0.6794269614656456
Li2WTeO6,2.82,2.552279553895959,"['Li', 'W', 'Te', 'O']",0.267720446104041
Sn3WO6,2.49,2.699870545023824,"['Sn', 'W', 'O']",-0.20987054502382385
TbClWO4,4.24,3.5224683705615085,"['Tb', 'Cl', 'W', 'O']",0.7175316294384917
