formula,actual,predicted,elements,residual
Y6ZnSi2S14,1.1967272727272726,1.2695479914105174,'Y' 'Zn' 'Si' 'S',-0.0728207186832448
CsYZnSe3,2.04,2.7957909249913917,'Cs' 'Y' 'Zn' 'Se',-0.7557909249913917
CsYTe3O8,2.0,1.2004865197912955,'Cs' 'Y' 'Te' 'O',0.7995134802087043
Ba2GaYTe5,2.45,2.5948202665375373,'Ba' 'Ga' 'Y' 'Te',-0.1448202665375371
Bi2YVO8,0.9,0.6532448731812774,'Bi' 'Y' 'V' 'O',0.2467551268187225
Cu3YSe3,2.12,2.336312556143893,'Cu' 'Y' 'Se',-0.216312556143893
YClMoO4,2.53,2.367510311212383,'Y' 'Cl' 'Mo' 'O',0.1624896887876166
Ba2InYSe5,8.5,7.685229180774753,'Ba' 'In' 'Y' 'Se',0.8147708192252471
YB66,1.6,2.3880183548844203,'Y' 'B',-0.7880183548844202
UY4O3S5,1.22,0.7157914758538455,'U' 'Y' 'O' 'S',0.5042085241461545
KYTe2O6,1.96,1.8087809978098672,'K' 'Y' 'Te' 'O',0.15121900219013273
Y3GaS6,1.505,3.0288823977218615,'Y' 'Ga' 'S',-1.5238823977218616
YFMoO4,2.31,2.2129433930993683,'Y' 'F' 'Mo' 'O',0.09705660690063178
YNiSb,5.4,5.2707296058731465,'Y' 'Ni' 'Sb',0.12927039412685382
Cu3YTe3,1.6133333333333333,1.3961514642680424,'Cu' 'Y' 'Te',0.2171818690652909
CsYHgSe3,1.78,1.4889822788643103,'Cs' 'Y' 'Hg' 'Se',0.2910177211356897
Ba2InYTe5,0.22,0.25711788383176515,'Ba' 'In' 'Y' 'Te',-0.03711788383176515
Y2O3,1.93,2.152729988927402,'Y' 'O',-0.22272998892740206
CuYO2,2.0,1.956996768073819,'Cu' 'Y' 'O',0.04300323192618105
Y4GaSbS9,0.6,0.9606453807374562,'Y' 'Ga' 'Sb' 'S',-0.3606453807374562
YVSeO10,1.4,1.830625254977834,'Y' 'V' 'Se' 'O',-0.430625254977834
RbYTe2O6,0.43,1.4356227417695226,'Rb' 'Y' 'Te' 'O',-1.0056227417695227
YH2NO5,4.185,4.730111474513366,'Y' 'H' 'N' 'O',-0.5451114745133667
NaYTe4O10,4.9,5.414519717801214,'Na' 'Y' 'Te' 'O',-0.514519717801214
YN,4.75,4.547959630173682,'Y' 'N',0.20204036982631826
YVTeO10,0.15,0.07641158084517663,'Y' 'V' 'Te' 'O',0.07358841915482336
Cd4YB3O10,1.99,1.83126207434758,'Cd' 'Y' 'B' 'O',0.1587379256524204
Ba2GaYSe5,2.31,2.307721958792282,'Ba' 'Ga' 'Y' 'Se',0.002278041207718129
CsYCdSe3,2.56,2.461276577901085,'Cs' 'Y' 'Cd' 'Se',0.09872342209891503
Y2S3,2.9,2.5084724809924492,'Y' 'S',0.3915275190075507
YPdSb,0.27,0.5002557132942762,'Y' 'Pd' 'Sb',-0.2302557132942762
YPtSb,0.16,0.5758673949239004,'Y' 'Pt' 'Sb',-0.4158673949239004
ZnYBiO4,1.58,2.943107267536956,'Zn' 'Y' 'Bi' 'O',-1.363107267536956
