formula,actual,predicted,elements,residual
EuYb2S4,4.1,4.081479400337285,"['Eu', 'Yb', 'S']",0.018520599662714687
Cu3YbSe3,3.9,3.091151213230744,"['Cu', 'Yb', 'Se']",0.8088487867692562
RbYbZnSe3,1.87,2.4244733514353225,"['Rb', 'Yb', 'Zn', 'Se']",-0.5544733514353224
YbIn3S6,2.38125,1.4833975765711769,"['Yb', 'In', 'S']",0.8978524234288232
Ce2YbCuS5,2.8,2.308496586837064,"['Ce', 'Yb', 'Cu', 'S']",0.4915034131629361
YbSb2Te4,2.9983249999999995,2.907027565182571,"['Yb', 'Sb', 'Te']",0.09129743481742823
La2YbCuSe5,0.69,0.6838536886958169,"['La', 'Yb', 'Cu', 'Se']",0.006146311304183083
Sm2YbCuS5,1.15,0.6684406928653797,"['Sm', 'Yb', 'Cu', 'S']",0.4815593071346202
CsYbCoSe3,2.4,2.372341572067098,"['Cs', 'Yb', 'Co', 'Se']",0.02765842793290174
Cu3YbS3,1.85,1.623428548163174,"['Cu', 'Yb', 'S']",0.22657145183682606
YbAs,1.0,2.3747864733049777,"['Yb', 'As']",-1.3747864733049775
YbGa2Se4,1.21,1.152446801685696,"['Yb', 'Ga', 'Se']",0.057553198314303826
K6Yb3P5S20,1.88,2.029519215444563,"['K', 'Yb', 'P', 'S']",-0.14951921544456326
YbSb2S4,0.72,0.6399342875819327,"['Yb', 'Sb', 'S']",0.08006571241806726
EuYb2Se4,1.69,1.3596030350070991,"['Eu', 'Yb', 'Se']",0.33039696499290083
YbClWO4,2.1,1.8684205596624408,"['Yb', 'Cl', 'W', 'O']",0.2315794403375593
Ce2YbCuSe5,2.71,2.820891790337585,"['Ce', 'Yb', 'Cu', 'Se']",-0.11089179033758524
YbSnTe2,4.2,4.064529124198346,"['Yb', 'Sn', 'Te']",0.13547087580165407
YbS,0.68,0.5123737617959438,"['Yb', 'S']",0.1676262382040562
YbTe,1.18,1.2847044323627603,"['Yb', 'Te']",-0.1047044323627604
Nd2YbCuS5,1.2,1.339619855490982,"['Nd', 'Yb', 'Cu', 'S']",-0.139619855490982
YbSb,0.2,0.4583970441658085,"['Yb', 'Sb']",-0.2583970441658085
YbB66,0.4766666666666667,0.7549969448162859,"['Yb', 'B']",-0.2783302781496192
CsYbZnSe3,3.3,2.279605706268301,"['Cs', 'Yb', 'Zn', 'Se']",1.0203942937316992
YbSe,2.48,2.633114801277588,"['Yb', 'Se']",-0.1531148012775878
YbSb4Te7,1.53,1.4424598244622064,"['Yb', 'Sb', 'Te']",0.08754017553779359
Yb4Sb2S11.25,0.68,1.0460446492005122,"['Yb', 'Sb', 'S']",-0.36604464920051216
CsYbMnSe3,1.5950000000000002,1.3214161753828044,"['Cs', 'Yb', 'Mn', 'Se']",0.27358382461719577
La2YbCuS5,1.45,1.7012321099261918,"['La', 'Yb', 'Cu', 'S']",-0.2512321099261918
NaYbP2S6,1.85,2.491283006946329,"['Na', 'Yb', 'P', 'S']",-0.6412830069463289
Pr2YbCuS5,1.25,1.5633211081794762,"['Pr', 'Yb', 'Cu', 'S']",-0.3133211081794762
Yb2O3,5.22,3.6986554039360975,"['Yb', 'O']",1.5213445960639025
YbGa2S4,2.3,2.607781559392233,"['Yb', 'Ga', 'S']",-0.3077815593922333
