formula,actual,predicted,elements,residual
Cs2ZnGe3Se8,1.9,1.7566224017969017,Cs Zn Ge Se,0.14337759820309826
Y6ZnSi2S14,1.1967272727272726,1.2695479914105174,Y Zn Si S,-0.0728207186832448
CsYZnSe3,2.04,2.795790924991392,Cs Y Zn Se,-0.7557909249913917
Li2ZnGeSe4,1.98,0.5870629024059024,Li Zn Ge Se,1.3929370975940976
ZnSnP2,1.92,1.8092582004085769,Zn Sn P,0.11074179959142304
Ga0.5As0.5Zn0.5Se0.5,1.47,2.5684667559411007,Ga As Zn Se,-1.0984667559411008
Ga0.58As0.58Zn0.42Se0.42,2.25,2.302095301946393,Ga As Zn Se,-0.05209530194639278
Zn2MoTeO7,1.1827777777777777,1.2888956549948585,Zn Mo Te O,-0.10611787721708077
Ga0.75P0.75Zn0.25Se0.25,5.51,4.8688076529270745,Ga P Zn Se,0.6411923470729262
K10Zn4Sn4S17,2.6,1.964797148561244,K Zn Sn S,0.635202851438756
Zn0.2Ba2B2S5.2,0.85,0.4958515180625209,Zn Ba B S,0.35414848193747905
Zn0.3S0.3Ga0.7P0.7,0.77,0.4459930505034021,Zn S Ga P,0.32400694949659803
CuZn2InSe4,1.1414285714285717,1.6916038367393451,Cu Zn In Se,-0.5501752653107734
RbYbZnSe3,1.87,2.4244733514353225,Rb Yb Zn Se,-0.5544733514353224
Ag2ZnSiS4,2.12,1.7805117445853096,Ag Zn Si S,0.3394882554146905
Ga0.99Sb0.99Zn0.01Te0.01,3.1,5.380991034610443,Ga Sb Zn Te,-2.2809910346104436
K2ZnSn3S8,2.23,2.2313722557280737,K Zn Sn S,-0.0013722557280737568
Sn0.5GaZn3.5O6,0.7,0.8236422317345937,Sn Ga Zn O,-0.12364223173459375
Hg0.14Zn0.86Te,0.6,0.6470980702266029,Hg Zn Te,-0.04709807022660295
Hg0.25Zn0.75Te,1.9,2.3225681806007947,Hg Zn Te,-0.4225681806007948
CaZnOS,1.75,1.4927112387214247,Ca Zn O S,0.25728876127857525
Cs6Na2Zn4Ge42,1.94,2.414343834547536,Cs Na Zn Ge,-0.4743438345475362
Zn3V2TeO10,0.75,0.7191718294936589,Zn V Te O,0.030828170506341124
Ba2ZnTe3,2.2,1.5302156097482946,Ba Zn Te,0.6697843902517056
Ga0.01Sb0.01Zn0.99Te0.99,0.82,0.9463724257573158,Ga Sb Zn Te,-0.1263724257573159
CsZn2B3O7,1.84,1.9960474448053545,Cs Zn B O,-0.15604744480535435
KZn4B3O9,1.9,0.9629690428080524,K Zn B O,0.9370309571919476
ZnSnO3,0.55,1.9664247054565438,Zn Sn O,-1.4164247054565438
Ga0.5P0.5Zn0.5Se0.5,1.85,2.451778928032493,Ga P Zn Se,-0.6017789280324929
Na3ZnB5O10,2.58,2.3739416326773406,Na Zn B O,0.20605836732265947
K2ZnTe2,1.595,1.847809893516538,K Zn Te,-0.2528098935165381
Zn0.55Hg0.45Se,6.53,6.661125848169688,Zn Hg Se,-0.1311258481696873
LiZnN,3.08,3.421355336168003,Li Zn N,-0.34135533616800284
ZnAs,1.97,2.943504016261412,Zn As,-0.973504016261412
Cu2ZnSiTe4,1.13,1.4078476228331431,Cu Zn Si Te,-0.277847622833143
Zn2MoSeO7,1.25,0.21375432338788602,Zn Mo Se O,1.036245676612114
Ga0.01P0.01Zn0.99Se0.99,0.85,0.9011549219629532,Ga P Zn Se,-0.05115492196295324
CsSmZnSe3,3.7,3.5162588368324323,Cs Sm Zn Se,0.18374116316756786
K10Zn4Ge4S17,0.35,0.29780777490475163,K Zn Ge S,0.052192225095248346
Zn6S5Cl2,2.65,2.5457249684867778,Zn S Cl,0.10427503151322216
Li2ZnSnS4,4.17,4.7874029500308355,Li Zn Sn S,-0.6174029500308365
ZnO,0.1525,0.16346831207672796,Zn O,-0.010968312076727963
Ga0.01As0.01Zn0.99Se0.99,2.3,2.3153375712422584,Ga As Zn Se,-0.01533757124225854
Cs2ZnGe3S8,1.30625,1.2317960143869635,Cs Zn Ge S,0.0744539856130364
SrZnSO,1.36,1.325165929420228,Sr Zn S O,0.034834070579772065
Ba3ZnTa2O9,2.3,2.206297595505964,Ba Zn Ta O,0.093702404494036
ZnGeP2,1.9,2.3267771679116205,Zn Ge P,-0.42677716791162057
Ga0.1P0.1Zn0.9Se0.9,1.58,1.3530785445839566,Ga P Zn Se,0.2269214554160435
Zn2LiGaO4,1.76,2.1274898158585867,Zn Li Ga O,-0.3674898158585865
CsGdZnTe3,0.23,1.4800932160449802,Cs Gd Zn Te,-1.2500932160449802
ZnSnAs2,0.58,2.220378050698815,Zn Sn As,-1.640378050698815
Hg0.8Zn0.2Te,2.4,2.2396559763637525,Hg Zn Te,0.16034402363624745
ZnSiAs2,0.2,0.1113199178074522,Zn Si As,0.0886800821925478
CsTbZnTe3,1.8,2.2180970382344065,Cs Tb Zn Te,-0.4180970382344065
Zn0.99Hg0.01Se,0.33,1.5409457265463289,Zn Hg Se,-1.2109457265463288
ZnGa2Se4,1.0,0.9902223418946958,Zn Ga Se,0.009777658105304177
Zn0.95S0.95Ga0.05P0.05,1.55,1.4448690640795006,Zn S Ga P,0.10513093592049948
Ga0.3As0.3Zn0.7Se0.7,0.28,0.24203581593740164,Ga As Zn Se,0.03796418406259838
ZnGeN2,1.07,0.9317530754851928,Zn Ge N,0.13824692451480725
ZnSnSb2,1.04,1.0600186484697809,Zn Sn Sb,-0.020018648469781075
ZnSiP2,1.54,1.8178032494120824,Zn Si P,-0.27780324941208234
Na2ZnSn2S6,2.52,3.0613868874469463,Na Zn Sn S,-0.5413868874469463
Cu2ZnSiS4,1.714,0.3941019282435887,Cu Zn Si S,1.3198980717564113
CsZn4In5Te12,3.43,3.2662195320520038,Cs Zn In Te,0.16378046794799594
RbZn4In5Se12,7.1,5.386212835215797,Rb Zn In Se,1.7137871647842011
Zn3Sb2,0.9,0.7566855880294963,Zn Sb,0.14331441197050376
Ga0.1As0.1Zn0.9Se0.9,3.88,3.781132899943982,Ga As Zn Se,0.09886710005601797
ZnS,1.61,1.50922734264209,Zn S,0.10077265735790997
BiZn2VO6,2.4,2.025900907033231,Bi Zn V O,0.3740990929667691
Na2ZnGe2S6,0.075,0.17403313581495006,Na Zn Ge S,-0.09903313581495006
Hg0.1Zn0.9Te,0.95,0.4250770624278299,Hg Zn Te,0.52492293757217
Ga0.15As0.15Zn0.85Se0.85,2.9,2.379920188371853,Ga As Zn Se,0.5200798116281469
Zn3B2O6,2.44,2.211903907772792,Zn B O,0.22809609222720795
BaZnOS,2.36,2.4633270065492483,Ba Zn O S,-0.10332700654924842
Zn3P2S8,0.625,1.3877090734430748,Zn P S,-0.7627090734430748
La2O2ZnSe2,0.55,0.5742716271990229,La O Zn Se,-0.024271627199022868
ZnIn2S4,0.34,0.3983248205132508,Zn In S,-0.058324820513250775
Zn0.01S0.01Ga0.99P0.99,1.48,1.6338309322704534,Zn S Ga P,-0.1538309322704534
Cu2ZnGeSe4,3.15,2.773911698150469,Cu Zn Ge Se,0.37608830184953135
Zn0.85Hg0.15Se,0.28,1.379504965275598,Zn Hg Se,-1.099504965275598
Zn0.15Cd0.85Se,4.9,4.974358781052982,Zn Cd Se,-0.07435878105298155
Zn0.01Cd0.99Se,1.07,1.2883102484929312,Zn Cd Se,-0.21831024849293112
BaZnSiSe4,4.75,5.291589919407042,Ba Zn Si Se,-0.5415899194070422
Zn0.4Hg0.6Se,2.2,2.4535363103532264,Zn Hg Se,-0.2535363103532262
ZnSb,0.375,0.5996140110878203,Zn Sb,-0.2246140110878203
LaZnAsO,1.75,1.349216047408473,La Zn As O,0.4007839525915271
Zn0.7S0.7Ga0.3P0.3,3.26,3.12700269111937,Zn S Ga P,0.13299730888063
