formula,actual,predicted,elements,residual
Ta1.33Zr0.67O0.12N3.03,2.4,2.677748041532565,"['Ta', 'Zr', 'O', 'N']",-0.2777480415325653
ZrNiSb,2.0,3.363111741346499,"['Zr', 'Ni', 'Sb']",-1.3631117413464988
ZrSe2,2.3,2.1309394148250638,"['Zr', 'Se']",0.1690605851749365
Ta0.67Zr1.33O0.42N2.61,0.58,1.1841429859740042,"['Ta', 'Zr', 'O', 'N']",-0.6041429859740043
Gd2ZrS5,2.3480000000000003,1.7892201294255559,"['Gd', 'Zr', 'S']",0.5587798705744442
Hg4As2ZrCl6,1.5494374999999998,1.3751807008962351,"['Hg', 'As', 'Zr', 'Cl']",0.1742567991037649
Nd2ZrS5,6.53,5.853422757012848,"['Nd', 'Zr', 'S']",0.6765772429871522
Cs4Zr3S14,2.41,2.277922813611977,"['Cs', 'Zr', 'S']",0.13207718638802302
Ta0.67Zr1.33O1.89N1.63,0.55,0.5118416771223222,"['Ta', 'Zr', 'O', 'N']",0.038158322877677835
La2ZrS5,3.1,4.346799918611583,"['La', 'Zr', 'S']",-1.246799918611583
Hg4P2ZrCl6,1.71,1.8708651127733853,"['Hg', 'P', 'Zr', 'Cl']",-0.16086511277338533
KZrPSe6,3.16,2.7964718839941987,"['K', 'Zr', 'P', 'Se']",0.3635281160058015
ZrSe3,1.8,1.150763570856438,"['Zr', 'Se']",0.6492364291435622
ZrO2,0.95,1.4848540997065784,"['Zr', 'O']",-0.5348540997065785
Zr6O,3.81,3.458641968270709,"['Zr', 'O']",0.35135803172929103
K8Zr6Se30,0.94,1.2366971516568508,"['K', 'Zr', 'Se']",-0.29669715165685084
CsZrPSe6,0.495,0.2874925493835958,"['Cs', 'Zr', 'P', 'Se']",0.2075074506164042
SrZrS3,3.78,3.3396274492609828,"['Sr', 'Zr', 'S']",0.44037255073901693
Ta0.67Zr1.33O1.38N1.97,1.43,0.8959816713653499,"['Ta', 'Zr', 'O', 'N']",0.53401832863465
ZrS2,2.27,2.249117646856776,"['Zr', 'S']",0.020882353143224286
Sm2ZrSe5,1.67,1.0556789700383593,"['Sm', 'Zr', 'Se']",0.6143210299616406
CuZr1.86S4,1.0,0.9807274915816482,"['Cu', 'Zr', 'S']",0.01927250841835182
RbZrPSe6,2.0,1.955381388114514,"['Rb', 'Zr', 'P', 'Se']",0.04461861188548588
TaZrN3,1.72,1.9671435790385736,"['Ta', 'Zr', 'N']",-0.24714357903857365
Zr3O,0.2,0.7999646337917987,"['Zr', 'O']",-0.5999646337917988
ZrC,0.6,0.8832965039913994,"['Zr', 'C']",-0.2832965039913994
ZrS3,2.225,2.103442205330733,"['Zr', 'S']",0.12155779466926694
