bin_count,bin_freq,bin_range,x_value,bin_number
1,0.008064516129032258,"(-3.143, -2.844]",-3.143,1
0,0.0,"(-2.844, -2.545]",-2.844,2
0,0.0,"(-2.545, -2.246]",-2.545,3
0,0.0,"(-2.246, -1.947]",-2.246,4
0,0.0,"(-1.947, -1.648]",-1.947,5
0,0.0,"(-1.648, -1.349]",-1.648,6
4,0.03225806451612903,"(-1.349, -1.05]",-1.349,7
3,0.024193548387096774,"(-1.05, -0.751]",-1.05,8
8,0.06451612903225806,"(-0.751, -0.452]",-0.751,9
28,0.22580645161290322,"(-0.452, -0.154]",-0.452,10
41,0.33064516129032256,"(-0.154, 0.145]",-0.154,11
19,0.1532258064516129,"(0.145, 0.444]",0.145,12
9,0.07258064516129033,"(0.444, 0.743]",0.444,13
6,0.04838709677419355,"(0.743, 1.042]",0.743,14
3,0.024193548387096774,"(1.042, 1.341]",1.042,15
0,0.0,"(1.341, 1.64]",1.341,16
0,0.0,"(1.64, 1.939]",1.64,17
0,0.0,"(1.939, 2.238]",1.939,18
1,0.008064516129032258,"(2.238, 2.537]",2.238,19
1,0.008064516129032258,"(2.537, 2.836]",2.537,20
