bin_count,bin_freq,bin_range,x_value,bin_number
1,0.015625,"(-2.386, -2.134]",-2.386,1
1,0.015625,"(-2.134, -1.881]",-2.134,2
0,0.0,"(-1.881, -1.629]",-1.881,3
1,0.015625,"(-1.629, -1.376]",-1.629,4
1,0.015625,"(-1.376, -1.124]",-1.376,5
0,0.0,"(-1.124, -0.872]",-1.124,6
2,0.03125,"(-0.872, -0.619]",-0.872,7
3,0.046875,"(-0.619, -0.367]",-0.619,8
13,0.203125,"(-0.367, -0.114]",-0.367,9
21,0.328125,"(-0.114, 0.138]",-0.114,10
11,0.171875,"(0.138, 0.391]",0.138,11
4,0.0625,"(0.391, 0.643]",0.391,12
2,0.03125,"(0.643, 0.896]",0.643,13
2,0.03125,"(0.896, 1.148]",0.896,14
0,0.0,"(1.148, 1.4]",1.148,15
1,0.015625,"(1.4, 1.653]",1.4,16
0,0.0,"(1.653, 1.905]",1.653,17
0,0.0,"(1.905, 2.158]",1.905,18
0,0.0,"(2.158, 2.41]",2.158,19
1,0.015625,"(2.41, 2.663]",2.41,20
