bin_count,bin_freq,bin_range,x_value,bin_number
3,0.014705882352941176,"(-1.885, -1.725]",-1.885,1
1,0.004901960784313725,"(-1.725, -1.565]",-1.725,2
0,0.0,"(-1.565, -1.405]",-1.565,3
3,0.014705882352941176,"(-1.405, -1.246]",-1.405,4
2,0.00980392156862745,"(-1.246, -1.086]",-1.246,5
2,0.00980392156862745,"(-1.086, -0.926]",-1.086,6
1,0.004901960784313725,"(-0.926, -0.766]",-0.926,7
5,0.024509803921568627,"(-0.766, -0.606]",-0.766,8
7,0.03431372549019608,"(-0.606, -0.446]",-0.606,9
15,0.07352941176470588,"(-0.446, -0.286]",-0.446,10
30,0.14705882352941177,"(-0.286, -0.126]",-0.286,11
50,0.24509803921568626,"(-0.126, 0.0338]",-0.126,12
43,0.2107843137254902,"(0.0338, 0.194]",0.0338,13
20,0.09803921568627451,"(0.194, 0.354]",0.194,14
11,0.05392156862745098,"(0.354, 0.514]",0.354,15
4,0.0196078431372549,"(0.514, 0.673]",0.514,16
3,0.014705882352941176,"(0.673, 0.833]",0.673,17
2,0.00980392156862745,"(0.833, 0.993]",0.833,18
0,0.0,"(0.993, 1.153]",0.993,19
2,0.00980392156862745,"(1.153, 1.313]",1.153,20
