bin_count,bin_freq,bin_range,x_value,bin_number
2,0.18181818181818182,"(-0.428, -0.298]",-0.428,1
0,0.0,"(-0.298, -0.168]",-0.298,2
0,0.0,"(-0.168, -0.0377]",-0.168,3
2,0.18181818181818182,"(-0.0377, 0.0924]",-0.0377,4
3,0.2727272727272727,"(0.0924, 0.222]",0.0924,5
2,0.18181818181818182,"(0.222, 0.353]",0.222,6
0,0.0,"(0.353, 0.483]",0.353,7
1,0.09090909090909091,"(0.483, 0.613]",0.483,8
0,0.0,"(0.613, 0.743]",0.613,9
0,0.0,"(0.743, 0.873]",0.743,10
0,0.0,"(0.873, 1.003]",0.873,11
0,0.0,"(1.003, 1.133]",1.003,12
0,0.0,"(1.133, 1.263]",1.133,13
0,0.0,"(1.263, 1.393]",1.263,14
0,0.0,"(1.393, 1.524]",1.393,15
0,0.0,"(1.524, 1.654]",1.524,16
0,0.0,"(1.654, 1.784]",1.654,17
0,0.0,"(1.784, 1.914]",1.784,18
0,0.0,"(1.914, 2.044]",1.914,19
1,0.09090909090909091,"(2.044, 2.174]",2.044,20
