bin_count,bin_freq,bin_range,x_value,bin_number
1,0.0019267822736030828,"(-2.749, -2.37]",-2.749,1
3,0.005780346820809248,"(-2.37, -1.992]",-2.37,2
4,0.007707129094412331,"(-1.992, -1.613]",-1.992,3
12,0.023121387283236993,"(-1.613, -1.234]",-1.613,4
24,0.046242774566473986,"(-1.234, -0.856]",-1.234,5
47,0.0905587668593449,"(-0.856, -0.477]",-0.856,6
126,0.24277456647398843,"(-0.477, -0.0985]",-0.477,7
159,0.3063583815028902,"(-0.0985, 0.28]",-0.0985,8
86,0.16570327552986513,"(0.28, 0.659]",0.28,9
32,0.06165703275529865,"(0.659, 1.037]",0.659,10
14,0.02697495183044316,"(1.037, 1.416]",1.037,11
5,0.009633911368015413,"(1.416, 1.795]",1.416,12
3,0.005780346820809248,"(1.795, 2.173]",1.795,13
2,0.0038535645472061657,"(2.173, 2.552]",2.173,14
0,0.0,"(2.552, 2.931]",2.552,15
0,0.0,"(2.931, 3.309]",2.931,16
0,0.0,"(3.309, 3.688]",3.309,17
0,0.0,"(3.688, 4.067]",3.688,18
0,0.0,"(4.067, 4.445]",4.067,19
1,0.0019267822736030828,"(4.445, 4.824]",4.445,20
