bin_count,bin_freq,bin_range,x_value,bin_number
1,0.005263157894736842,"(-2.749, -2.495]",-2.749,1
0,0.0,"(-2.495, -2.241]",-2.495,2
0,0.0,"(-2.241, -1.987]",-2.241,3
0,0.0,"(-1.987, -1.733]",-1.987,4
2,0.010526315789473684,"(-1.733, -1.479]",-1.733,5
5,0.02631578947368421,"(-1.479, -1.225]",-1.479,6
7,0.03684210526315789,"(-1.225, -0.971]",-1.225,7
6,0.031578947368421054,"(-0.971, -0.717]",-0.971,8
14,0.07368421052631578,"(-0.717, -0.463]",-0.717,9
28,0.14736842105263157,"(-0.463, -0.209]",-0.463,10
38,0.2,"(-0.209, 0.0451]",-0.209,11
36,0.18947368421052632,"(0.0451, 0.299]",0.0451,12
24,0.12631578947368421,"(0.299, 0.553]",0.299,13
12,0.06315789473684211,"(0.553, 0.807]",0.553,14
7,0.03684210526315789,"(0.807, 1.061]",0.807,15
4,0.021052631578947368,"(1.061, 1.315]",1.061,16
2,0.010526315789473684,"(1.315, 1.569]",1.315,17
2,0.010526315789473684,"(1.569, 1.823]",1.569,18
1,0.005263157894736842,"(1.823, 2.077]",1.823,19
1,0.005263157894736842,"(2.077, 2.331]",2.077,20
