bin_count,bin_freq,bin_range,x_value,bin_number
1,0.1111111111111111,"(-1.481, -1.165]",-1.481,1
0,0.0,"(-1.165, -0.85]",-1.165,2
1,0.1111111111111111,"(-0.85, -0.535]",-0.85,3
1,0.1111111111111111,"(-0.535, -0.22]",-0.535,4
1,0.1111111111111111,"(-0.22, 0.0954]",-0.22,5
1,0.1111111111111111,"(0.0954, 0.411]",0.0954,6
1,0.1111111111111111,"(0.411, 0.726]",0.411,7
0,0.0,"(0.726, 1.041]",0.726,8
1,0.1111111111111111,"(1.041, 1.356]",1.041,9
0,0.0,"(1.356, 1.672]",1.356,10
1,0.1111111111111111,"(1.672, 1.987]",1.672,11
0,0.0,"(1.987, 2.302]",1.987,12
0,0.0,"(2.302, 2.617]",2.302,13
0,0.0,"(2.617, 2.932]",2.617,14
0,0.0,"(2.932, 3.248]",2.932,15
0,0.0,"(3.248, 3.563]",3.248,16
0,0.0,"(3.563, 3.878]",3.563,17
0,0.0,"(3.878, 4.193]",3.878,18
0,0.0,"(4.193, 4.509]",4.193,19
1,0.1111111111111111,"(4.509, 4.824]",4.509,20
